Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)	P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)				2888850.0	2884170.0	60554.3	2887320.0	54842.0	57768.5	3	4.227724093620665e-12	-5.644206063679019	True	2.6497085320614733e-05	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)	P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)				3996810.0	4025690.0	60554.3	4026510.0	54842.0	57768.5	3	3.4142169568878764e-06	-6.1206251062332875	True	5.299417064122947e-05	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)	P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)				1007790.0	1015640.0	60554.3	994716.0	54842.0	57768.5	3	1.2690123707237671e-05	-4.123444994812934	True	7.949125596184421e-05	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P69905ups|HBA_HUMAN_UPS Hemoglobin subunit alpha (Chain 2-142) - Homo sapiens (Human)	P69905ups|HBA_HUMAN_UPS Hemoglobin subunit alpha (Chain 2-142) - Homo sapiens (Human)				951803.0	946215.0	60554.3	969729.0	54842.0	57768.5	3	2.6982664961473624e-05	-4.049700149627124	False	0.00010598834128245893	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)				1339090.0	1336060.0	60554.3	1309000.0	54842.0	57768.5	3	3.5433557570543736e-05	-4.524054362953049	False	0.00013248542660307367	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)				4099670.0	4064650.0	60554.3	4008370.0	54842.0	57768.5	3	4.1494781530349754e-05	-6.135358512512272	False	0.00015898251192368842	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)	P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)				968665.0	991600.0	60554.3	996676.0	54842.0	57768.5	3	4.988242802321702e-05	-4.0938878558072505	False	0.00018547959724430314	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P69783	P69783		crr		161000000.0	159109000.0	144471000.0	160514000.0	144334000.0	145617000.0	0	5.3449906503011615e-05	-0.14580852369143157	False	0.00021197668256491787	True	False	Ecoli	False	True	False	True	msfragger	manual	min	1.660964047443681
P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)	P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)				3031330.0	2956440.0	896442.0	3108710.0	833587.0	865237.0	0	6.295139947783409e-05	-1.809425969690514	False	0.0002384737678855326	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P30847	P30847		baeS		401744.0	368097.0	97568.1	390533.0	54842.0	57768.5	2	9.741891232123521e-05	-2.4649021858404643	False	0.00026497085320614734	True	True	Ecoli	False	True	False	True	msfragger	manual	min	1.660964047443681
P0A6Y8	P0A6Y8		dnaK		46265300.0	46449700.0	44554500.0	46221300.0	44803200.0	44740600.0	0	9.749040102620564e-05	-0.051132634746903355	False	0.00029146793852676206	True	False	Ecoli	False	True	False	True	msfragger	manual	min	1.660964047443681
P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)	P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)				2379890.0	2291760.0	60554.3	2357760.0	54842.0	57768.5	3	0.00012693208486924294	-5.343186002779714	False	0.00031796502384737684	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P0A7R9	P0A7R9		rpsK		116603000.0	116971000.0	108653000.0	115808000.0	109171000.0	109440000.0	0	0.00014573524941192037	-0.0943503727597825	False	0.0003444621091679915	True	False	Ecoli	False	True	False	True	msfragger	manual	min	1.660964047443681
P0AA43	P0AA43		rsuA		5147190.0	5219620.0	4814840.0	5180280.0	4752080.0	4807030.0	0	0.00017342480627112738	-0.11318799890133009	False	0.0003709591944886063	True	False	Ecoli	False	True	False	True	msfragger	manual	min	1.660964047443681
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)				2957360.0	2998030.0	60554.3	2863480.0	54842.0	57768.5	3	0.0001866907495720616	-5.670376207094713	False	0.000397456279809221	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P09373	P09373		pflB		275395000.0	277830000.0	249703000.0	273176000.0	246897000.0	247543000.0	0	0.00020702363997851693	-0.15126211308033463	False	0.00042395336512983573	True	False	Ecoli	False	True	False	True	msfragger	manual	min	1.660964047443681
P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)	P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)				1738920.0	1773630.0	60554.3	1829410.0	54842.0	57768.5	3	0.00022225409885313666	-4.947151571506297	False	0.0004504504504504505	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)	P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)				2648210.0	2754630.0	60554.3	2621620.0	54842.0	57768.5	3	0.0002358888430786493	-5.534186708655998	False	0.0004769475357710652	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)	P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)				1407040.0	1462240.0	60554.3	1485580.0	54842.0	57768.5	3	0.000261700902755063	-4.6524087380546755	False	0.00050344462109168	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P0A7J3	P0A7J3		rplJ		541238000.0	532496000.0	486047000.0	531372000.0	487695000.0	478775000.0	0	0.0002799828855028951	-0.1441135262211942	False	0.0005299417064122947	True	False	Ecoli	False	True	False	True	msfragger	manual	min	1.660964047443681
P0AEK4	P0AEK4		fabI		63123700.0	61972100.0	56391600.0	63071300.0	55105400.0	56403700.0	0	0.0003250734172330348	-0.1644061576168147	False	0.0005564387917329094	True	False	Ecoli	False	True	False	True	msfragger	manual	min	1.660964047443681
P0A7W1	P0A7W1		rpsE		246504000.0	241311000.0	203489000.0	238853000.0	207856000.0	208192000.0	0	0.00042041855574188425	-0.23010593071450625	False	0.0005829358770535241	True	False	Ecoli	False	True	False	True	msfragger	manual	min	1.660964047443681
P00957	P00957		alaS		15346300.0	15381000.0	14292000.0	15147500.0	14309600.0	14106600.0	0	0.00044190290496141064	-0.10318877350977064	False	0.000609432962374139	True	False	Ecoli	False	True	False	True	msfragger	manual	min	1.660964047443681
P0A9X9	P0A9X9		cspA		26188200.0	26108400.0	29359500.0	26670200.0	29585300.0	30150600.0	0	0.0004979207495922233	0.17410471855374135	False	0.0006359300476947537	True	False	Ecoli	False	True	False	True	msfragger	manual	min	1.660964047443681
P10636-8ups|TAU_HUMAN_UPS Microtubule-associated protein tau {Isoform Tau-F (Tau-4)} (Chain 2-441) - Homo sapiens (Human)	P10636-8ups|TAU_HUMAN_UPS Microtubule-associated protein tau {Isoform Tau-F (Tau-4)} (Chain 2-441) - Homo sapiens (Human)				1238440.0	1337520.0	60554.3	1316150.0	54842.0	57768.5	3	0.0005696393675964968	-4.4903348828147225	False	0.0006624271330153683	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P0A6P9	P0A6P9		eno		115548000.0	115346000.0	105963000.0	113645000.0	107469000.0	105400000.0	0	0.000580487447663189	-0.11187086304025988	False	0.000688924218335983	True	False	Ecoli	False	True	False	True	msfragger	manual	min	1.660964047443681
P05055	P05055		pnp		43691300.0	43264400.0	41174700.0	43184000.0	41083900.0	41467100.0	0	0.0006191695364717322	-0.07291592859543193	False	0.0007154213036565979	True	False	Ecoli	False	True	False	True	msfragger	manual	min	1.660964047443681
P60422	P60422		rplB		155554000.0	154019000.0	145205000.0	156197000.0	144662000.0	145967000.0	0	0.0006235062640889514	-0.09583897187864326	False	0.0007419183889772126	True	False	Ecoli	False	True	False	True	msfragger	manual	min	1.660964047443681
Q47083	Q47083		cbl		438480.0	426923.0	60554.3	463996.0	54842.0	57768.5	3	0.0006350821715774324	-2.940556572017352	False	0.0007684154742978273	True	True	Ecoli	False	True	False	True	msfragger	manual	min	1.660964047443681
