Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P16083ups|NQO2_HUMAN_UPS Ribosyldihydronicotinamide dehydrogenase [quinone] (Chain 2-231) - Homo sapiens (Human)	P16083ups|NQO2_HUMAN_UPS Ribosyldihydronicotinamide dehydrogenase [quinone] (Chain 2-231) - Homo sapiens (Human)				1859990.0	1926210.0	1882720.0	1024160.0	1053630.0	1087050.0	0	6.4095631051850546e-06	-0.8409413445780783	True	2.660989888238425e-05	True	True	Human	True	False	False	True	msfragger	manual	min	0.5
P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)				4189630.0	4318020.0	4141790.0	2107470.0	2055860.0	2218120.0	0	8.674808599148263e-06	-0.9871173400788638	True	5.32197977647685e-05	True	True	Human	True	False	False	True	msfragger	manual	min	0.5
P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)				2674400.0	2676660.0	2595060.0	1529680.0	1527700.0	1440540.0	0	9.21697390448015e-06	-0.820992579181111	True	7.982969664715275e-05	True	True	Human	True	False	False	True	msfragger	manual	min	0.5
P30847	P30847		baeS		399601.0	372597.0	396561.0	39940.6	68334.9	40466.1	3	1.2429399127165096e-05	-2.974097373085605	True	0.000106439595529537	True	True	Ecoli	False	True	False	True	msfragger	manual	min	0.5
P0A7L0	P0A7L0		rplA		178937000.0	177666000.0	177780000.0	162130000.0	161923000.0	163380000.0	0	1.5304295603182016e-05	-0.13267018581771078	True	0.00013304949441192123	True	False	Ecoli	False	True	False	True	msfragger	manual	min	0.5
P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)	P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)				2868450.0	2843870.0	2769530.0	1802710.0	1723540.0	1829150.0	0	1.8620478306029554e-05	-0.6633846340698489	True	0.0001596593932943055	True	True	Human	True	False	False	True	msfragger	manual	min	0.5
P52614	P52614		fliK		302841.0	325228.0	366984.0	1205360.0	1257970.0	1170230.0	0	2.0770601322519968e-05	1.8685384535596228	True	0.00018626929217668975	True	True	Ecoli	False	True	False	True	msfragger	manual	min	0.5
P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)				2907380.0	2968480.0	2888050.0	1689150.0	1645710.0	1670130.0	0	2.2557029958361632e-05	-0.8082074822569669	True	0.000212879191059074	True	True	Human	True	False	False	True	msfragger	manual	min	0.5
P12081ups|SYHC_HUMAN_UPS Histidyl-tRNA synthetase, cytoplasmic (Chain 1-509, C terminal His tag) - Homo sapiens (Human)	P12081ups|SYHC_HUMAN_UPS Histidyl-tRNA synthetase, cytoplasmic (Chain 1-509, C terminal His tag) - Homo sapiens (Human)				3443340.0	3366200.0	3460600.0	1732270.0	1839890.0	1879040.0	0	2.4279442521488616e-05	-0.913810090591419	True	0.00023948908994145824	True	True	Human	True	False	False	True	msfragger	manual	min	0.5
P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)	P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)				2319510.0	2433930.0	2425520.0	1298210.0	1329360.0	1211790.0	0	2.6335051780427678e-05	-0.9029090174240467	True	0.00026609898882384245	True	True	Human	True	False	False	True	msfragger	manual	min	0.5
