protein	RD139_Wide_UPS1_0_25fmol_inj1	RD139_Wide_UPS1_0_25fmol_inj2	RD139_Wide_UPS1_0_25fmol_inj3	RD139_Wide_UPS1_10fmol_inj1r	RD139_Wide_UPS1_10fmol_inj2	RD139_Wide_UPS1_10fmol_inj3	Protein.Group	Protein.Ids	Protein.Names	Genes	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)	115353.95005594614	42511.71094000002	73437.59158591554	19130518.14904209	19197135.30839076	19455514.683362253	Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)	Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)			3	1.2216901908354125e-05	-7.9647199427941375	True	2.9744199881023203e-05	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)	9638431.015023695	5816932.227559622	12649964.51090879	81639211.19748911	77936317.06760211	76869947.08719756	P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)	P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)			0	1.994178812374993e-05	-3.072591990205549	True	5.9488399762046407e-05	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P61769ups|B2MG_HUMAN_UPS Beta-2-microglobulin (Chain 21-119) - Homo sapiens (Human)	115353.95005594614	42511.71094000002	73437.59158591554	1615932.5075813488	1671360.837635119	1747145.8839829888	P61769ups|B2MG_HUMAN_UPS Beta-2-microglobulin (Chain 21-119) - Homo sapiens (Human)	P61769ups|B2MG_HUMAN_UPS Beta-2-microglobulin (Chain 21-119) - Homo sapiens (Human)			3	3.148657392501834e-05	-4.443973631410321	False	8.923259964306962e-05	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)	2734472.765786225	2781475.358459296	2289199.4497169945	12827956.879002867	12054119.612026516	12038433.742162818	P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)	P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)			0	3.324900199741868e-05	-2.241924675858774	False	0.00011897679952409281	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P63165ups|SUMO1_HUMAN_UPS Small ubiquitin-related modifier 1 (Chain 1-97, N-terminal GST tag) - Homo sapiens (Human)	3150633.30321692	3029719.5299722524	3255356.397367306	6860422.4496527575	7033181.817826035	7235618.494998075	P63165ups|SUMO1_HUMAN_UPS Small ubiquitin-related modifier 1 (Chain 1-97, N-terminal GST tag) - Homo sapiens (Human)	P63165ups|SUMO1_HUMAN_UPS Small ubiquitin-related modifier 1 (Chain 1-97, N-terminal GST tag) - Homo sapiens (Human)			0	3.746507871516286e-05	-1.1630368322813345	False	0.000148720999405116	True	False	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P0A7T7	198018465.7943707	202116648.53076392	203257025.8365009	151528744.50931174	145946225.57839417	145117047.93030033	P0A7T7	P0A7T7		rpsR	0	4.640471343564858e-05	0.44711847102976426	False	0.00017846519928613923	True	False	Ecoli	False	True	False	True	umpire	directlfq	min	1.660964047443681
P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)	115353.95005594614	42511.71094000002	73437.59158591554	2666119.9028350986	2840437.901797386	2737016.930491593	P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)	P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)			3	5.0697160348252714e-05	-5.1554126234810065	False	0.00020820939916716243	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	115353.95005594614	42511.71094000002	73437.59158591554	6528929.838421937	6319203.415753354	6266466.219699025	P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)			3	6.35752793919387e-05	-6.36874560685557	False	0.00023795359904818563	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
Q06830ups|PRDX1_HUMAN_UPS Peroxiredoxin 1 (Chain 2-199) - Homo sapiens (Human)	115353.95005594614	42511.71094000002	73437.59158591554	7862700.44718168	8137800.8593297	8253011.032108445	Q06830ups|PRDX1_HUMAN_UPS Peroxiredoxin 1 (Chain 2-199) - Homo sapiens (Human)	Q06830ups|PRDX1_HUMAN_UPS Peroxiredoxin 1 (Chain 2-199) - Homo sapiens (Human)			3	0.00013484842399296934	-6.712264326759687	False	0.0002676977989292088	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	8616072.719159234	42511.71094000002	7432197.151174751	67984460.10063803	58522087.01810069	59727444.88069658	P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)			1	0.0001542307920436596	-3.5328101128174336	False	0.000297441998810232	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
