Protein.Group	pval	log2fc	-log10(p-value)	color	gene_names_	label	FC_pass	Bonf_pass	BH_thr	BH_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)	1.9929007078818654e-08	-1.8213136615799002	7.700514338576591	down		ids:P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)	True	True	2.9815146094215862e-05	True	Human	True	False	False	True	umpire	AlphaPeptStats	randomforest	1.0
P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)	2.8166043488116318e-08	-1.8454528991840888	7.550274154503685	down		ids:P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)	True	True	5.9630292188431724e-05	True	Human	True	False	False	True	umpire	AlphaPeptStats	randomforest	1.0
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	7.435293748676253e-08	-1.8155910436113594	7.128701868983441	down		ids:P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	True	True	8.94454382826476e-05	True	Human	True	False	False	True	umpire	AlphaPeptStats	randomforest	1.0
P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	3.237674124375052e-07	-1.977331182739988	6.489766865622126	down		ids:P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	True	True	0.00011926058437686345	True	Human	True	False	False	True	umpire	AlphaPeptStats	randomforest	1.0
P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	7.359615095442873e-07	-1.7366863469404166	6.1331448984745105	down		ids:P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	True	True	0.0001490757304710793	True	Human	True	False	False	True	umpire	AlphaPeptStats	randomforest	1.0
P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)	8.017840016826334e-07	-2.0622149053279735	6.095942613650812	down		ids:P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)	True	True	0.0001788908765652952	True	Human	True	False	False	True	umpire	AlphaPeptStats	randomforest	1.0
P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	9.91061631036962e-07	-1.876078432730278	6.003899337253371	down		ids:P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	True	True	0.00020870602265951106	True	Human	True	False	False	True	umpire	AlphaPeptStats	randomforest	1.0
Q06830ups|PRDX1_HUMAN_UPS Peroxiredoxin 1 (Chain 2-199) - Homo sapiens (Human)	1.0136013882016905e-06	-1.6767441158195382	5.9941328033259555	down		ids:Q06830ups|PRDX1_HUMAN_UPS Peroxiredoxin 1 (Chain 2-199) - Homo sapiens (Human)	True	True	0.0002385211687537269	True	Human	True	False	False	True	umpire	AlphaPeptStats	randomforest	1.0
P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	1.0235048200306198e-06	-1.7278952854693266	5.98991010775695	down		ids:P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	True	True	0.00026833631484794273	True	Human	True	False	False	True	umpire	AlphaPeptStats	randomforest	1.0
P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)	1.0664066313835195e-06	-1.6866869711074024	5.972077162952491	down		ids:P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)	True	True	0.0002981514609421586	True	Human	True	False	False	True	umpire	AlphaPeptStats	randomforest	1.0
P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)	1.2712448842912946e-06	-1.8627053933952809	5.895770781741594	down		ids:P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)	True	True	0.0003279666070363745	True	Human	True	False	False	True	umpire	AlphaPeptStats	randomforest	1.0
P12081ups|SYHC_HUMAN_UPS Histidyl-tRNA synthetase, cytoplasmic (Chain 1-509, C terminal His tag) - Homo sapiens (Human)	1.8173113346662693e-06	-1.8617490625909454	5.7405706646870005	down		ids:P12081ups|SYHC_HUMAN_UPS Histidyl-tRNA synthetase, cytoplasmic (Chain 1-509, C terminal His tag) - Homo sapiens (Human)	True	True	0.0003577817531305904	True	Human	True	False	False	True	umpire	AlphaPeptStats	randomforest	1.0
P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)	2.3389534849818037e-06	-1.7125497831738272	5.630978414965793	down		ids:P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)	True	True	0.0003875968992248062	True	Human	True	False	False	True	umpire	AlphaPeptStats	randomforest	1.0
P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)	4.00451224483752e-06	-2.039016651487618	5.397450374030584	down		ids:P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)	True	True	0.0004174120453190221	True	Human	True	False	False	True	umpire	AlphaPeptStats	randomforest	1.0
P62937ups|PPIA_HUMAN_UPS Peptidyl-prolyl cis-trans isomerase A (Chain 1-165, N terminal His tag)- Homo sapiens (Human)	4.352467817753613e-06	-1.6061520952482944	5.361264431382072	down		ids:P62937ups|PPIA_HUMAN_UPS Peptidyl-prolyl cis-trans isomerase A (Chain 1-165, N terminal His tag)- Homo sapiens (Human)	True	True	0.0004472271914132379	True	Human	True	False	False	True	umpire	AlphaPeptStats	randomforest	1.0
P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)	5.884401718920522e-06	-1.8621050258139284	5.23029768632603	down		ids:P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)	True	True	0.0004770423375074538	True	Human	True	False	False	True	umpire	AlphaPeptStats	randomforest	1.0
P0A7E1	8.543283100740298e-06	0.04559042223239018	5.068375202082289	non_sig	pyrD		False	True	0.0005068574836016697	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	randomforest	1.0
P10636-8ups|TAU_HUMAN_UPS Microtubule-associated protein tau {Isoform Tau-F (Tau-4)} (Chain 2-441) - Homo sapiens (Human)	8.61524061316182e-06	-1.900799529051028	5.064732588731426	down		ids:P10636-8ups|TAU_HUMAN_UPS Microtubule-associated protein tau {Isoform Tau-F (Tau-4)} (Chain 2-441) - Homo sapiens (Human)	True	True	0.0005366726296958855	True	Human	True	False	False	True	umpire	AlphaPeptStats	randomforest	1.0
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	8.841694752475106e-06	-1.8761423972618019	5.053464482599564	down		ids:O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	True	True	0.0005664877757901014	True	Human	True	False	False	True	umpire	AlphaPeptStats	randomforest	1.0
Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)	1.1786378383024037e-05	-1.737041234487883	4.92861962068007	down		ids:Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)	True	True	0.0005963029218843172	True	Human	True	False	False	True	umpire	AlphaPeptStats	randomforest	1.0
