protein	RD139_Wide_UPS1_10fmol_inj1r	RD139_Wide_UPS1_10fmol_inj2	RD139_Wide_UPS1_10fmol_inj3	RD139_Wide_UPS1_2_5fmol_inj1	RD139_Wide_UPS1_2_5fmol_inj2	RD139_Wide_UPS1_2_5fmol_inj3	Protein.Group	Protein.Ids	Protein.Names	Genes	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)	4281927.419859807	4177765.771285524	4205335.076153884	993711.2953930178	1059500.3955189155	947451.8060218948	P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)	P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)			0	2.340606108095007e-07	2.0774968518969077	True	2.9850746268656717e-05	True	True	Human	True	False	False	True	umpire	directlfq	min	1.0
Q06830ups|PRDX1_HUMAN_UPS Peroxiredoxin 1 (Chain 2-199) - Homo sapiens (Human)	6646172.123432578	6803135.585047432	6831309.452697848	1904925.573263865	2093721.681181949	2065111.034777516	Q06830ups|PRDX1_HUMAN_UPS Peroxiredoxin 1 (Chain 2-199) - Homo sapiens (Human)	Q06830ups|PRDX1_HUMAN_UPS Peroxiredoxin 1 (Chain 2-199) - Homo sapiens (Human)			0	5.464286618185575e-07	1.7418174040703616	True	5.9701492537313435e-05	True	True	Human	True	False	False	True	umpire	directlfq	min	1.0
P16083ups|NQO2_HUMAN_UPS Ribosyldihydronicotinamide dehydrogenase [quinone] (Chain 2-231) - Homo sapiens (Human)	7956412.760034852	7625258.884329474	7651463.226350193	2329568.4929935536	2329722.434746776	2086223.504517397	P16083ups|NQO2_HUMAN_UPS Ribosyldihydronicotinamide dehydrogenase [quinone] (Chain 2-231) - Homo sapiens (Human)	P16083ups|NQO2_HUMAN_UPS Ribosyldihydronicotinamide dehydrogenase [quinone] (Chain 2-231) - Homo sapiens (Human)			0	4.174763489261741e-06	1.784183455063263	True	8.955223880597017e-05	True	True	Human	True	False	False	True	umpire	directlfq	min	1.0
P10145ups|IL8_HUMAN_UPS Interleukin-8, IL-8 (Chain 28-99) - Homo sapiens (Human)	1396219.9814852066	1345143.084561454	1429402.6756102042	290913.92980989174	245856.4493892792	214425.1387783793	P10145ups|IL8_HUMAN_UPS Interleukin-8, IL-8 (Chain 28-99) - Homo sapiens (Human)	P10145ups|IL8_HUMAN_UPS Interleukin-8, IL-8 (Chain 28-99) - Homo sapiens (Human)			0	4.64480770462374e-06	2.473051922753299	True	0.00011940298507462687	True	True	Human	True	False	False	True	umpire	directlfq	min	1.0
P12081ups|SYHC_HUMAN_UPS Histidyl-tRNA synthetase, cytoplasmic (Chain 1-509, C terminal His tag) - Homo sapiens (Human)	31883355.70181059	30582286.53107668	31737979.047066	8188852.94135166	8899973.02791329	7969355.902484588	P12081ups|SYHC_HUMAN_UPS Histidyl-tRNA synthetase, cytoplasmic (Chain 1-509, C terminal His tag) - Homo sapiens (Human)	P12081ups|SYHC_HUMAN_UPS Histidyl-tRNA synthetase, cytoplasmic (Chain 1-509, C terminal His tag) - Homo sapiens (Human)			0	4.838435303358924e-06	1.910500777638059	True	0.00014925373134328358	True	True	Human	True	False	False	True	umpire	directlfq	min	1.0
P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	70284460.75146261	74440368.94714491	71709018.29250811	20582709.13698993	22831529.63115825	23175950.966950163	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)			0	1.592534689213416e-05	1.700544583293374	True	0.00017910447761194034	True	True	Human	True	False	False	True	umpire	directlfq	min	1.0
P61769ups|B2MG_HUMAN_UPS Beta-2-microglobulin (Chain 21-119) - Homo sapiens (Human)	1419323.6334511912	1472905.193937417	1539805.833779505	483441.33389400574	389425.2811999998	414724.6640507456	P61769ups|B2MG_HUMAN_UPS Beta-2-microglobulin (Chain 21-119) - Homo sapiens (Human)	P61769ups|B2MG_HUMAN_UPS Beta-2-microglobulin (Chain 21-119) - Homo sapiens (Human)			0	2.8284241692218884e-05	1.7832944535830044	True	0.00020895522388059704	True	True	Human	True	False	False	True	umpire	directlfq	min	1.0
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	8314245.338596946	8240109.157795316	8768631.461224936	2897717.4793356247	2704794.999546044	2522099.324867444	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)			0	3.0042739959293462e-05	1.6400767426423406	False	0.00023880597014925374	True	True	Human	True	False	False	True	umpire	directlfq	min	1.0
Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)	15713550.743918786	14946803.747509811	15847496.78233848	4213794.55010695	4769016.848767023	4544877.16045323	Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)	Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)			0	3.410517945765283e-05	1.7815589360678623	False	0.00026865671641791044	True	True	Human	True	False	False	True	umpire	directlfq	min	1.0
P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)	16729528.449508226	18110571.563586704	17718032.82617789	6274226.645867299	5672988.960682591	6748106.854593583	P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)	P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)			0	4.48667416304256e-05	1.4912366685813252	False	0.00029850746268656717	True	True	Human	True	False	False	True	umpire	directlfq	min	1.0
