Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
Q06830ups|PRDX1_HUMAN_UPS Peroxiredoxin 1 (Chain 2-199) - Homo sapiens (Human)	Q06830ups|PRDX1_HUMAN_UPS Peroxiredoxin 1 (Chain 2-199) - Homo sapiens (Human)				2177190.0	2190290.0	705638.0	652537.0	678618.0	2141240.0	0	2.519721014844157e-07	1.6760744858174865	True	2.9850746268656717e-05	True	True	Human	True	False	False	True	umpire	manual	min	1.0
P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)	P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)				25971100.0	25847600.0	7261770.0	7475440.0	7356080.0	26255800.0	0	9.217060392949906e-07	1.8212431528869064	True	5.9701492537313435e-05	True	True	Human	True	False	False	True	umpire	manual	min	1.0
P12081ups|SYHC_HUMAN_UPS Histidyl-tRNA synthetase, cytoplasmic (Chain 1-509, C terminal His tag) - Homo sapiens (Human)	P12081ups|SYHC_HUMAN_UPS Histidyl-tRNA synthetase, cytoplasmic (Chain 1-509, C terminal His tag) - Homo sapiens (Human)				6431160.0	6516650.0	1685820.0	1751610.0	1859090.0	6288720.0	0	1.3798767526882126e-06	1.860731905991216	True	8.955223880597017e-05	True	True	Human	True	False	False	True	umpire	manual	min	1.0
P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)				5663620.0	5546350.0	1552610.0	1596410.0	1469420.0	5734810.0	0	1.8037064717644179e-06	1.8753633752192866	True	0.00011940298507462687	True	True	Human	True	False	False	True	umpire	manual	min	1.0
P06396ups|GELS_HUMAN_UPS Gelsolin (Chain 28-782) - Homo sapiens (Human)	P06396ups|GELS_HUMAN_UPS Gelsolin (Chain 28-782) - Homo sapiens (Human)				1866210.0	1914030.0	607921.0	655490.0	562190.0	1944350.0	0	4.262761706075194e-06	1.6488008828678644	True	0.00014925373134328358	True	True	Human	True	False	False	True	umpire	manual	min	1.0
P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)	P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)				1453240.0	1526010.0	342592.0	359466.0	389950.0	1503020.0	0	7.737275162759669e-06	2.0372461301569835	True	0.00017910447761194034	True	True	Human	True	False	False	True	umpire	manual	min	1.0
P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)	P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)				5589180.0	5393490.0	1554450.0	1516990.0	1429720.0	5380010.0	0	1.2131451335565946e-05	1.8620403094790667	True	0.00020895522388059704	True	True	Human	True	False	False	True	umpire	manual	min	1.0
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)				5023240.0	5166910.0	1438530.0	1478280.0	1428340.0	5104280.0	0	2.1137358006096723e-05	1.8155284542166563	True	0.00023880597014925374	True	True	Human	True	False	False	True	umpire	manual	min	1.0
P62937ups|PPIA_HUMAN_UPS Peptidyl-prolyl cis-trans isomerase A (Chain 1-165, N terminal His tag)- Homo sapiens (Human)	P62937ups|PPIA_HUMAN_UPS Peptidyl-prolyl cis-trans isomerase A (Chain 1-165, N terminal His tag)- Homo sapiens (Human)				1673820.0	1729140.0	577886.0	586302.0	534885.0	1766790.0	0	2.2941640683915476e-05	1.6053466773610918	True	0.00026865671641791044	True	True	Human	True	False	False	True	umpire	manual	min	1.0
P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)	P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)				3123170.0	3194130.0	859896.0	807986.0	713860.0	3348650.0	0	2.753627771585104e-05	2.0208943889565467	True	0.00029850746268656717	True	True	Human	True	False	False	True	umpire	manual	min	1.0
