protein	RD139_Wide_UPS1_10fmol_inj1r	RD139_Wide_UPS1_10fmol_inj2	RD139_Wide_UPS1_10fmol_inj3	RD139_Wide_UPS1_5fmol_inj1	RD139_Wide_UPS1_5fmol_inj2	RD139_Wide_UPS1_5fmol_inj3	Protein.Group	Protein.Ids	Protein.Names	Genes	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)	12075979.413035424	11835129.29555886	12186831.868977468	6749298.613070434	7077769.579182687	7006394.551090672	P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)	P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)			0	3.8862234944831654e-06	0.7930138817261848	True	3.026634382566586e-05	True	True	Human	True	False	False	True	umpire	directlfq	min	0.5
P16083ups|NQO2_HUMAN_UPS Ribosyldihydronicotinamide dehydrogenase [quinone] (Chain 2-231) - Homo sapiens (Human)	9083356.964347975	9262251.80861076	9327975.371605804	5297187.011938255	5010804.058781232	5070415.414219183	P16083ups|NQO2_HUMAN_UPS Ribosyldihydronicotinamide dehydrogenase [quinone] (Chain 2-231) - Homo sapiens (Human)	P16083ups|NQO2_HUMAN_UPS Ribosyldihydronicotinamide dehydrogenase [quinone] (Chain 2-231) - Homo sapiens (Human)			0	4.787171771223899e-06	0.8476034881589843	True	6.053268765133172e-05	True	True	Human	True	False	False	True	umpire	directlfq	min	0.5
P52613	685642.9246917634	735350.189014346	714738.8041481982	90012.18750000007	135039.95778097774	103300.9510695146	P52613	P52613		fliJ	3	7.125917431065167e-06	2.7014106029333647	True	9.079903147699759e-05	True	True	Ecoli	False	True	False	True	umpire	directlfq	min	0.5
P62937ups|PPIA_HUMAN_UPS Peptidyl-prolyl cis-trans isomerase A (Chain 1-165, N terminal His tag)- Homo sapiens (Human)	5556286.883766553	5308412.559540436	5445067.902546499	2617760.3898777617	2469462.2716117147	2405724.2815093566	P62937ups|PPIA_HUMAN_UPS Peptidyl-prolyl cis-trans isomerase A (Chain 1-165, N terminal His tag)- Homo sapiens (Human)	P62937ups|PPIA_HUMAN_UPS Peptidyl-prolyl cis-trans isomerase A (Chain 1-165, N terminal His tag)- Homo sapiens (Human)			0	7.729944282517154e-06	1.1221310615619866	True	0.00012106537530266344	True	True	Human	True	False	False	True	umpire	directlfq	min	0.5
Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)	17753461.3947907	18473536.88122259	17680686.47868992	8904150.256295856	9610689.376583751	8951171.2537142	Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)	Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)			0	1.4536686343923235e-05	0.972843558321944	True	0.0001513317191283293	True	True	Human	True	False	False	True	umpire	directlfq	min	0.5
P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)	25013011.2469312	24132211.784723934	24567235.35305225	12201899.73201824	13348286.293808706	13066809.922679417	P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)	P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)			0	2.2106410963994224e-05	0.9326725344712778	True	0.00018159806295399517	True	True	Human	True	False	False	True	umpire	directlfq	min	0.5
P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	78787453.78486054	82002745.33055384	79803145.51842228	43460030.44541919	41874974.219288826	43796854.39061277	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)			0	2.4245905957669092e-05	0.8977517525046987	True	0.00021186440677966104	True	True	Human	True	False	False	True	umpire	directlfq	min	0.5
P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)	76794265.84191899	75705773.73704793	73982755.25157851	41169005.30213514	40437026.95775968	39744890.97162576	P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)	P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)			0	4.5177985869400505e-05	0.9002163730525177	False	0.00024213075060532688	True	True	Human	True	False	False	True	umpire	directlfq	min	0.5
Q06830ups|PRDX1_HUMAN_UPS Peroxiredoxin 1 (Chain 2-199) - Homo sapiens (Human)	6506288.208327776	6678407.478222007	6846399.414528429	3659598.849038145	3494787.3161895094	3692391.6448945575	Q06830ups|PRDX1_HUMAN_UPS Peroxiredoxin 1 (Chain 2-199) - Homo sapiens (Human)	Q06830ups|PRDX1_HUMAN_UPS Peroxiredoxin 1 (Chain 2-199) - Homo sapiens (Human)			0	5.243469582433634e-05	0.8849747623257493	False	0.0002723970944309927	True	True	Human	True	False	False	True	umpire	directlfq	min	0.5
P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)	4687974.599504469	4568031.523665333	4409106.376091055	2633680.7858968214	2344015.891243545	2545280.5055424697	P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)	P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)			0	6.588763409287218e-05	0.8611217172598535	False	0.0003026634382566586	True	True	Human	True	False	False	True	umpire	directlfq	min	0.5
