Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P0A7X3	P0A7X3		rpsI		65948100.0	80678400.0	81767800.0	66508100.0	81424600.0	65881100.0	0	1.3574246940894518e-05	-0.29816100530486395	True	3.0731407498463434e-05	True	False	Ecoli	False	True	False	True	umpire	manual	min	1.660964047443681
P0AD59	P0AD59		ivy		2153800.0	2940580.0	2968990.0	2219020.0	2925180.0	2198960.0	0	1.8874964048480357e-05	-0.4269051261518513	True	6.146281499692687e-05	True	False	Ecoli	False	True	False	True	umpire	manual	min	1.660964047443681
P0A7K2	P0A7K2		rplL		237393000.0	224003000.0	222677000.0	238976000.0	222708000.0	237396000.0	0	3.547305931782366e-05	0.09260647117421535	False	9.219422249539031e-05	True	False	Ecoli	False	True	False	True	umpire	manual	min	1.660964047443681
P0A7V0	P0A7V0		rpsB		122291000.0	126616000.0	127102000.0	122738000.0	126882000.0	122171000.0	0	4.928551166482869e-05	-0.051709502860214036	False	0.00012292562999385374	True	False	Ecoli	False	True	False	True	umpire	manual	min	1.660964047443681
P45578	P45578		luxS		17366400.0	23751000.0	22926000.0	16669800.0	23516900.0	17408500.0	0	5.357484638897099e-05	-0.4483232090448859	False	0.00015365703749231714	True	False	Ecoli	False	True	False	True	umpire	manual	min	1.660964047443681
P02358	P02358		rpsF		99239300.0	107318000.0	108107000.0	98835600.0	107719000.0	98970400.0	0	5.494472012856291e-05	-0.12149424284641676	False	0.00018438844499078062	True	False	Ecoli	False	True	False	True	umpire	manual	min	1.660964047443681
P60422	P60422		rplB		144864000.0	152927000.0	152232000.0	145104000.0	151867000.0	144034000.0	0	6.965743928582394e-05	-0.07457455086002096	False	0.00021511985248924402	True	False	Ecoli	False	True	False	True	umpire	manual	min	1.660964047443681
P0AAI9	P0AAI9		fabD		5024750.0	4695040.0	4742110.0	5074250.0	4721210.0	5039270.0	0	8.608848848076404e-05	0.09654617975148798	False	0.00024585125998770747	True	False	Ecoli	False	True	False	True	umpire	manual	min	1.660964047443681
P0A6A0	P0A6A0		ubiB		1814100.0	1503400.0	1550210.0	1792680.0	1530830.0	1831470.0	0	0.00010877214777723375	0.2463969585149837	False	0.00027658266748617087	True	False	Ecoli	False	True	False	True	umpire	manual	min	1.660964047443681
P0A9L8	P0A9L8		proC		2077190.0	3247670.0	3411270.0	1993320.0	3293970.0	2079670.0	0	0.00011933858138019701	-0.694489762840291	False	0.00030731407498463427	True	False	Ecoli	False	True	False	True	umpire	manual	min	1.660964047443681
