Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P65556	P65556		yfcD		2372610.0	2170880.0	2185560.0	2360280.0	2381770.0	2191770.0	0	2.768314967702451e-05	0.11969422440728535	True	3.0413625304136255e-05	True	False	Ecoli	False	True	False	True	umpire	manual	min	1.0
P18355	P18355				3054900.0	2210990.0	2249500.0	3159610.0	3139470.0	2120840.0	0	6.13858929876024e-05	0.5072011810289966	False	6.082725060827251e-05	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P71243	P71243		wcaL		15920500.0	18380300.0	18676300.0	15893100.0	16281900.0	18335600.0	0	0.0001432805263893637	-0.20378092263357175	False	9.124087591240877e-05	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P0A7M6	P0A7M6		rpmC		20568900.0	24808400.0	24090400.0	20199900.0	19753800.0	24887500.0	0	0.0002234552996582676	-0.28587900820045675	False	0.00012165450121654502	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P39342	P39342		yjgR		1258600.0	1117470.0	1135940.0	1237770.0	1235960.0	1111570.0	0	0.00028982604105983416	0.14947861994744382	False	0.00015206812652068127	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P0A7V0	P0A7V0		rpsB		87070200.0	92139600.0	92048800.0	86650500.0	87108600.0	92197100.0	0	0.0003296402208698565	-0.08357598728191047	False	0.00018248175182481753	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P11557	P11557		damX		8330680.0	7791070.0	7781470.0	8422200.0	8305970.0	7897010.0	0	0.0004972690328294562	0.09453002785272885	False	0.0002128953771289538	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P0A7B8	P0A7B8		hslV		16000400.0	13986100.0	13680100.0	16255100.0	16569700.0	14205800.0	0	0.0005108378120708971	0.22164012425848334	False	0.00024330900243309004	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P0AAS7	P0AAS7		ybcJ		2700840.0	3018810.0	3098960.0	2753920.0	2705530.0	3046610.0	0	0.0005347154051350677	-0.1674168575367469	False	0.0002737226277372263	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.0
P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)				102880.0	747839.0	819227.0	55823.5	119063.0	690516.0	2	0.0005805365737216262	-3.0228338714579017	False	0.00030413625304136254	False	True	Human	True	False	False	False	umpire	manual	min	1.0
