Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human)	P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human)				4551520.0	4543000.0	102842.0	4556460.0	91953.9	79287.6	3	4.074169558899057e-09	-5.638245235683173	True	3.0469226081657528e-05	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P02741ups|CRP_HUMAN_UPS C-reactive protein (Chain 19-224) - Homo sapiens (Human)	P02741ups|CRP_HUMAN_UPS C-reactive protein (Chain 19-224) - Homo sapiens (Human)				1061220.0	1036610.0	102842.0	1026320.0	91953.9	79287.6	3	1.041921423207956e-06	-3.5107763386089426	True	6.0938452163315055e-05	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P0A9L8	P0A9L8		proC		4055220.0	4134480.0	1887480.0	4127870.0	1893950.0	1796050.0	0	1.0721377842968805e-06	-1.143032330116392	True	9.14076782449726e-05	True	False	Ecoli	False	True	False	True	umpire	manual	min	1.660964047443681
P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)	P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)				4599550.0	4666360.0	102842.0	4668230.0	91953.9	79287.6	3	5.203935218135187e-06	-5.667864673767574	True	0.00012187690432663011	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
Q06830ups|PRDX1_HUMAN_UPS Peroxiredoxin 1 (Chain 2-199) - Homo sapiens (Human)	Q06830ups|PRDX1_HUMAN_UPS Peroxiredoxin 1 (Chain 2-199) - Homo sapiens (Human)				4795080.0	4750030.0	102842.0	4711290.0	91953.9	79287.6	3	7.036493095170207e-06	-5.700850431213978	True	0.00015234613040828764	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P69905ups|HBA_HUMAN_UPS Hemoglobin subunit alpha (Chain 2-142) - Homo sapiens (Human)	P69905ups|HBA_HUMAN_UPS Hemoglobin subunit alpha (Chain 2-142) - Homo sapiens (Human)				3884230.0	3858410.0	102842.0	3803690.0	91953.9	79287.6	3	1.054040986618033e-05	-5.396675074158172	True	0.0001828153564899452	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)				6036460.0	5987650.0	102842.0	6092970.0	91953.9	79287.6	3	1.1047585252941327e-05	-6.046591159519953	True	0.0002132845825716027	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P61626ups|LYSC_HUMAN_UPS Lysozyme C (Chain 19-148) - Homo sapiens (Human)	P61626ups|LYSC_HUMAN_UPS Lysozyme C (Chain 19-148) - Homo sapiens (Human)				8676880.0	8445640.0	763214.0	9049420.0	91953.9	79287.6	2	1.3510718600133782e-05	-4.807751095596153	True	0.00024375380865326022	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P45578	P45578		luxS		25230300.0	24961300.0	18412900.0	25760000.0	17594900.0	17922900.0	0	2.539516744775966e-05	-0.49397359732587687	True	0.0002742230347349177	True	False	Ecoli	False	True	False	True	umpire	manual	min	1.660964047443681
Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)	Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)				11390700.0	11556000.0	102842.0	11345500.0	91953.9	79287.6	3	2.624658101593374e-05	-6.967121172816545	True	0.0003046922608165753	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
