Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)				5717780.0	13559200.0	5923200.0	13544400.0	13351300.0	5803170.0	0	1.3388085392564732e-07	-1.2135711549834634	True	3.0303030303030306e-05	True	True	Human	True	False	False	True	umpire	manual	min	0.6609640474436812
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)				2871560.0	6506190.0	2887740.0	6455500.0	6569800.0	2976910.0	0	1.6792942498114637e-07	-1.1607225712669977	True	6.060606060606061e-05	True	True	Human	True	False	False	True	umpire	manual	min	0.6609640474436812
P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)				5982650.0	14384900.0	5760740.0	14040200.0	14087200.0	5684280.0	0	7.062049852612677e-07	-1.286500613151634	True	9.090909090909092e-05	True	True	Human	True	False	False	True	umpire	manual	min	0.6609640474436812
P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)	P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)				8429920.0	20273700.0	8325940.0	19753800.0	20107500.0	7895310.0	0	8.119707265284789e-07	-1.2865487964285522	True	0.00012121212121212122	True	True	Human	True	False	False	True	umpire	manual	min	0.6609640474436812
P41159ups|LEP_HUMAN_UPS Leptin (Chain 22-167) - Homo sapiens (Human)	P41159ups|LEP_HUMAN_UPS Leptin (Chain 22-167) - Homo sapiens (Human)				3497050.0	9807050.0	3426130.0	9628840.0	9801170.0	3547810.0	0	1.0258580516123747e-06	-1.4814003939466331	True	0.00015151515151515152	True	True	Human	True	False	False	True	umpire	manual	min	0.6609640474436812
P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)	P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)				3151260.0	7396380.0	3083270.0	7461240.0	7549220.0	3282600.0	0	1.1627597540195517e-06	-1.2353407193209365	True	0.00018181818181818183	True	True	Human	True	False	False	True	umpire	manual	min	0.6609640474436812
P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)				5084740.0	11854200.0	4956280.0	11478200.0	11739500.0	4670080.0	0	2.3298784887917368e-06	-1.253410463940541	True	0.00021212121212121215	True	True	Human	True	False	False	True	umpire	manual	min	0.6609640474436812
P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)	P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)				4142080.0	9963280.0	4168910.0	9708180.0	9980660.0	3976600.0	0	2.743319366365205e-06	-1.2709332714243202	True	0.00024242424242424245	True	True	Human	True	False	False	True	umpire	manual	min	0.6609640474436812
P10145ups|IL8_HUMAN_UPS Interleukin-8, IL-8 (Chain 28-99) - Homo sapiens (Human)	P10145ups|IL8_HUMAN_UPS Interleukin-8, IL-8 (Chain 28-99) - Homo sapiens (Human)				2378190.0	5994520.0	2393240.0	5858710.0	6107920.0	2162310.0	0	3.826627021872239e-06	-1.3731740798114431	True	0.00027272727272727274	True	True	Human	True	False	False	True	umpire	manual	min	0.6609640474436812
P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human)	P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human)				2848150.0	6270200.0	2766550.0	6215010.0	6218160.0	2723310.0	0	5.068629494456653e-06	-1.1655232328707132	True	0.00030303030303030303	True	True	Human	True	False	False	True	umpire	manual	min	0.6609640474436812
P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)	P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)				4298240.0	10431100.0	4628930.0	10893100.0	10557600.0	4257030.0	0	5.404711734070396e-06	-1.2739230510774204	True	0.0003333333333333334	True	True	Human	True	False	False	True	umpire	manual	min	0.6609640474436812
P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)	P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)				3597720.0	8931890.0	3532220.0	8775460.0	8564760.0	3916500.0	0	6.486750133404663e-06	-1.2499505738722503	True	0.00036363636363636367	True	True	Human	True	False	False	True	umpire	manual	min	0.6609640474436812
P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)	P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)				6125740.0	14720800.0	5862020.0	14295000.0	14940600.0	5650770.0	0	7.491079926007863e-06	-1.3173429040594755	True	0.00039393939393939396	True	True	Human	True	False	False	True	umpire	manual	min	0.6609640474436812
P12081ups|SYHC_HUMAN_UPS Histidyl-tRNA synthetase, cytoplasmic (Chain 1-509, C terminal His tag) - Homo sapiens (Human)	P12081ups|SYHC_HUMAN_UPS Histidyl-tRNA synthetase, cytoplasmic (Chain 1-509, C terminal His tag) - Homo sapiens (Human)				6824500.0	16076400.0	7055170.0	16751900.0	16182200.0	6534440.0	0	8.293476267212234e-06	-1.2635241937157038	True	0.0004242424242424243	True	True	Human	True	False	False	True	umpire	manual	min	0.6609640474436812
P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)				5900960.0	14180800.0	6149360.0	13729300.0	14003200.0	6096760.0	0	8.56587381139415e-06	-1.2076706884864639	True	0.00045454545454545455	True	True	Human	True	False	False	True	umpire	manual	min	0.6609640474436812
P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)				7609780.0	19686900.0	7562390.0	19569300.0	20455000.0	8197320.0	0	8.862840125746519e-06	-1.353375312401128	True	0.0004848484848484849	True	True	Human	True	False	False	True	umpire	manual	min	0.6609640474436812
P16083ups|NQO2_HUMAN_UPS Ribosyldihydronicotinamide dehydrogenase [quinone] (Chain 2-231) - Homo sapiens (Human)	P16083ups|NQO2_HUMAN_UPS Ribosyldihydronicotinamide dehydrogenase [quinone] (Chain 2-231) - Homo sapiens (Human)				4433850.0	9793990.0	4365010.0	9767680.0	9963400.0	4455560.0	0	9.617953983573937e-06	-1.1554669393518155	True	0.0005151515151515152	True	True	Human	True	False	False	True	umpire	manual	min	0.6609640474436812
P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)				3350140.0	7887120.0	3351560.0	7649940.0	7719380.0	3652930.0	0	1.1448328577856109e-05	-1.167354268965047	True	0.0005454545454545455	True	True	Human	True	False	False	True	umpire	manual	min	0.6609640474436812
P42628	P42628		yhaO		11639300.0	9360090.0	11509300.0	9448170.0	9258600.0	11613200.0	0	1.1921380122004255e-05	0.3086351179060294	True	0.0005757575757575758	True	False	Ecoli	False	True	False	True	umpire	manual	min	0.6609640474436812
P69905ups|HBA_HUMAN_UPS Hemoglobin subunit alpha (Chain 2-142) - Homo sapiens (Human)	P69905ups|HBA_HUMAN_UPS Hemoglobin subunit alpha (Chain 2-142) - Homo sapiens (Human)				2233460.0	5390280.0	2209710.0	5205720.0	5168000.0	2086530.0	0	1.1924603638643976e-05	-1.2715450392437917	True	0.0006060606060606061	True	True	Human	True	False	False	True	umpire	manual	min	0.6609640474436812
Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)	Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)				5761170.0	12349100.0	5692170.0	12024200.0	12342300.0	5254720.0	0	1.3769784531270362e-05	-1.1358489469811797	True	0.0006363636363636364	True	True	Human	True	False	False	True	umpire	manual	min	0.6609640474436812
