protein	RD139_Wide_UPS1_25fmol_inj1	RD139_Wide_UPS1_25fmol_inj2	RD139_Wide_UPS1_25fmol_inj3	RD139_Wide_UPS1_2_5fmol_inj1	RD139_Wide_UPS1_2_5fmol_inj2	RD139_Wide_UPS1_2_5fmol_inj3	Protein.Group	Protein.Ids	Protein.Names	Genes	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	64785563.78774778	65872353.98374385	65187517.38082511	8322403.030757669	7394473.715719747	7606592.275346106	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)			0	2.2091185151959777e-08	3.0698612125310882	True	3.0066145520144318e-05	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	201144721.38514057	201922892.89926505	199009371.49642277	28493380.902728308	29982212.114612665	30290515.50156365	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)			0	9.410398975771666e-08	2.7618671154643595	True	6.0132291040288637e-05	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P06396ups|GELS_HUMAN_UPS Gelsolin (Chain 28-782) - Homo sapiens (Human)	43350894.51442726	42916501.4067782	42208488.30290674	7668574.479281592	8488854.378010333	7576546.949201183	P06396ups|GELS_HUMAN_UPS Gelsolin (Chain 28-782) - Homo sapiens (Human)	P06396ups|GELS_HUMAN_UPS Gelsolin (Chain 28-782) - Homo sapiens (Human)			0	1.955055622632458e-07	2.4364718818723143	True	9.019843656043297e-05	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P10599ups|THIO_HUMAN_UPS Thioredoxin (Chain 2-105, N-terminal His tag)- Homo sapiens (Human)	2141475.2784375856	2214069.405137404	2154958.234120784	132204.94720056604	66162.66153843296	153842.02573077223	P10599ups|THIO_HUMAN_UPS Thioredoxin (Chain 2-105, N-terminal His tag)- Homo sapiens (Human)	P10599ups|THIO_HUMAN_UPS Thioredoxin (Chain 2-105, N-terminal His tag)- Homo sapiens (Human)			3	6.633629973222676e-07	4.2082627129299945	True	0.00012026458208057727	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	20976875.747225117	21987206.859680787	21593826.755034603	2404245.2180800308	2428920.487953492	3071448.5393706374	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)			0	2.059379709312085e-06	3.029826895077128	True	0.0001503307276007216	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P10636-8ups|TAU_HUMAN_UPS Microtubule-associated protein tau {Isoform Tau-F (Tau-4)} (Chain 2-441) - Homo sapiens (Human)	41542768.06146594	41741739.48586392	41100222.1652267	4882105.876915144	4701668.19177429	4682876.024868144	P10636-8ups|TAU_HUMAN_UPS Microtubule-associated protein tau {Isoform Tau-F (Tau-4)} (Chain 2-441) - Homo sapiens (Human)	P10636-8ups|TAU_HUMAN_UPS Microtubule-associated protein tau {Isoform Tau-F (Tau-4)} (Chain 2-441) - Homo sapiens (Human)			0	4.048658861998845e-06	3.1240908565219216	True	0.00018039687312086593	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human)	27374727.156844385	29191046.753426254	27973546.7300038	5359195.163541748	3918448.4697890063	5084409.926215888	P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human)	P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human)			0	6.435465592991138e-06	2.557360471095172	True	0.00021046301864101024	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P51965ups|UB2E1_HUMAN_UPS Ubiquitin-conjugating enzyme E2 E1 (Chain 1-193, N terminal His tag)- Homo sapiens (Human)	1760929.3751975964	1702926.2499999995	1638402.2282206716	132204.94720056604	66162.66153843296	195865.24612708736	P51965ups|UB2E1_HUMAN_UPS Ubiquitin-conjugating enzyme E2 E1 (Chain 1-193, N terminal His tag)- Homo sapiens (Human)	P51965ups|UB2E1_HUMAN_UPS Ubiquitin-conjugating enzyme E2 E1 (Chain 1-193, N terminal His tag)- Homo sapiens (Human)			2	7.127953741512977e-06	3.6940158915562766	True	0.00024052916416115455	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)	14343967.640703484	14311604.578458734	15107448.65476748	1413576.224602206	1842540.6355902196	1337404.435286759	P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)	P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)			0	1.2242309229564676e-05	3.2520399058056433	True	0.0002705953096812989	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P16083ups|NQO2_HUMAN_UPS Ribosyldihydronicotinamide dehydrogenase [quinone] (Chain 2-231) - Homo sapiens (Human)	27099441.806253187	28825452.15700266	29544935.431174062	4008327.836604362	4058616.1497045616	6267049.779726116	P16083ups|NQO2_HUMAN_UPS Ribosyldihydronicotinamide dehydrogenase [quinone] (Chain 2-231) - Homo sapiens (Human)	P16083ups|NQO2_HUMAN_UPS Ribosyldihydronicotinamide dehydrogenase [quinone] (Chain 2-231) - Homo sapiens (Human)			0	2.201972826645465e-05	2.5759746104460675	True	0.0003006614552014432	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	37766001.117572	36600160.723766856	37764586.30000439	4887137.319312709	4524883.024370489	4435710.516637904	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)			0	2.5778127863383943e-05	3.0174604482113576	True	0.0003307276007215875	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	26542447.47045658	26671696.83341152	24970897.901813947	4289421.843760793	3526762.6053837943	4637322.900096996	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)			0	2.650028500773463e-05	2.6503405143974725	True	0.00036079374624173186	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P12081ups|SYHC_HUMAN_UPS Histidyl-tRNA synthetase, cytoplasmic (Chain 1-509, C terminal His tag) - Homo sapiens (Human)	102358582.51105888	100964968.53503744	103732505.88518724	10894814.318745373	11444549.865811337	10780121.107212467	P12081ups|SYHC_HUMAN_UPS Histidyl-tRNA synthetase, cytoplasmic (Chain 1-509, C terminal His tag) - Homo sapiens (Human)	P12081ups|SYHC_HUMAN_UPS Histidyl-tRNA synthetase, cytoplasmic (Chain 1-509, C terminal His tag) - Homo sapiens (Human)			0	2.8467124666659337e-05	3.212749904426014	True	0.0003908598917618761	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P61626ups|LYSC_HUMAN_UPS Lysozyme C (Chain 19-148) - Homo sapiens (Human)	24479353.726446684	25934684.498512834	24982540.338219944	5470204.470621711	6250294.676769279	5926187.252845826	P61626ups|LYSC_HUMAN_UPS Lysozyme C (Chain 19-148) - Homo sapiens (Human)	P61626ups|LYSC_HUMAN_UPS Lysozyme C (Chain 19-148) - Homo sapiens (Human)			0	3.092010640632283e-05	2.095101749204723	False	0.0004209260372820205	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)	219927893.17904344	224537461.20701456	226018056.77158883	25673917.23716202	26131942.389534023	24637000.054027405	P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)	P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)			0	3.619620358332269e-05	3.1327479831877425	False	0.0004509921828021648	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
