Protein.Group	pval	log2fc	-log10(p-value)	color	gene_names_	label	FC_pass	Bonf_pass	BH_thr	BH_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P0AEK4	9.260627833856062e-08	-0.12851794629838764	7.033359568875707	non_sig	fabI		False	True	3.094059405940594e-05	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	mean	1.660964047443681
P60422	5.655081797390117e-05	-0.11990967282714493	4.247561108882072	non_sig	rplB		False	False	6.188118811881188e-05	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	mean	1.660964047443681
P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)	6.564202609187018e-05	-1.1747478893019583	4.182818022577214	non_sig			False	False	9.282178217821784e-05	True	Human	True	False	False	True	umpire	AlphaPeptStats	mean	1.660964047443681
P0AG63	7.404366383832621e-05	-0.13346621515069756	4.130512099570681	non_sig	rpsQ		False	False	0.00012376237623762376	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	mean	1.660964047443681
P0AD59	9.938703167870762e-05	-0.34306576644394937	4.002670279966929	non_sig	ivy		False	False	0.0001547029702970297	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	mean	1.660964047443681
P0A9L3	0.0001300629742846106	0.12370153635881209	3.885846318753275	non_sig	fklB		False	False	0.00018564356435643567	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	mean	1.660964047443681
P17169	0.0001798509718773187	-0.050627216585482415	3.7450872110018993	non_sig	glmS		False	False	0.00021658415841584161	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	mean	1.660964047443681
P0AED0	0.00019020279293499758	-0.2080939008840339	3.720783110178036	non_sig	uspA		False	False	0.00024752475247524753	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	mean	1.660964047443681
P02358	0.00023330704024185703	-0.13771579006462886	3.6320721557966573	non_sig	rpsF		False	False	0.0002784653465346535	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	mean	1.660964047443681
P45578	0.0002421526510873469	-0.33119752248436285	3.6159107719352064	non_sig	luxS		False	False	0.0003094059405940594	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	mean	1.660964047443681
P0A6P1	0.0002840756813832199	-0.09392374580767537	3.546565942951208	non_sig	tsf		False	False	0.0003403465346534654	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	mean	1.660964047443681
