Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P0AEK4	P0AEK4		fabI		54709300.0	59685600.0	59687200.0	59825700.0	54604400.0	54611800.0	0	3.1709645559794926e-07	-0.12851826588647888	True	3.0959752321981425e-05	True	False	Ecoli	False	True	False	True	umpire	manual	min	1.660964047443681
P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)				135752.0	1526100.0	1447210.0	1463070.0	68299.9	55122.3	3	2.335549665414602e-06	-4.097388930846402	True	6.191950464396285e-05	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)				135752.0	1321450.0	1308780.0	1382010.0	68299.9	55122.3	3	3.464780979734464e-06	-3.9524138915647833	True	9.287925696594428e-05	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)				135752.0	1839020.0	1826980.0	1956970.0	68299.9	55122.3	3	2.0541382492205296e-05	-4.4393383351497375	True	0.0001238390092879257	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)				135752.0	861332.0	814905.0	870781.0	68299.9	55122.3	3	3.9202083208821725e-05	-3.2968151407026065	False	0.00015479876160990713	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)				135752.0	1386260.0	1377100.0	1349660.0	68299.9	55122.3	3	4.467002271442086e-05	-3.9882040725162664	False	0.00018575851393188856	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)	P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)				135752.0	779665.0	833828.0	794618.0	68299.9	55122.3	3	6.07876157838209e-05	-3.215907878935823	False	0.00021671826625387	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)	P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)				135752.0	711960.0	691969.0	647128.0	68299.9	55122.3	3	7.294691881924577e-05	-2.984373571063921	False	0.0002476780185758514	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P41159ups|LEP_HUMAN_UPS Leptin (Chain 22-167) - Homo sapiens (Human)	P41159ups|LEP_HUMAN_UPS Leptin (Chain 22-167) - Homo sapiens (Human)				135752.0	869837.0	917085.0	800647.0	68299.9	55122.3	3	9.172771565477373e-05	-3.319603319368626	False	0.0002786377708978328	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)	Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)				135752.0	625944.0	730372.0	691047.0	68299.9	55122.3	3	0.00014191499010137207	-2.9817729020626023	False	0.00030959752321981426	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)				135752.0	1300780.0	1443760.0	1306010.0	68299.9	55122.3	3	0.000143851329301167	-3.9661238016457694	False	0.0003405572755417957	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P0AG63	P0AG63		rpsQ		184363000.0	202552000.0	202390000.0	200685000.0	185333000.0	182424000.0	0	0.0001471883548588451	-0.13344766256288873	False	0.0003715170278637771	True	False	Ecoli	False	True	False	True	umpire	manual	min	1.660964047443681
P60422	P60422		rplB		140542000.0	152305000.0	150852000.0	152742000.0	139746000.0	139248000.0	0	0.00016051950290539758	-0.11991963238308215	False	0.00040247678018575853	True	False	Ecoli	False	True	False	True	umpire	manual	min	1.660964047443681
P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)	P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)				135752.0	565883.0	579785.0	522068.0	68299.9	55122.3	3	0.00021367970700770833	-2.6858969158901367	False	0.00043343653250774	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)	P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)				135752.0	6496790.0	6925460.0	6755320.0	68299.9	55122.3	3	0.00021651701552091577	-6.2826865203409765	False	0.00046439628482972134	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)	P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)				135752.0	1531690.0	1433470.0	1352110.0	68299.9	55122.3	3	0.0002228874462991699	-4.058125306480201	False	0.0004953560371517028	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)	P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)				135752.0	1078290.0	941632.0	951766.0	68299.9	55122.3	3	0.00027350012431033306	-3.5192886394744574	False	0.0005263157894736843	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
