Protein.Group	pval	log2fc	-log10(p-value)	color	gene_names_	label	FC_pass	Bonf_pass	BH_thr	BH_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	5.493406960051942e-07	-3.704028323484412	6.260158226582473	down		ids:P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	True	True	3.0321406913280777e-05	True	Human	True	False	False	True	umpire	AlphaPeptStats	randomforest	1.660964047443681
P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)	7.273289432661261e-06	-1.0034924770521378	5.138269129807005	non_sig			False	True	6.0642813826561554e-05	True	Human	True	False	False	True	umpire	AlphaPeptStats	randomforest	1.660964047443681
P14407	3.140729901349522e-05	-0.03848261250898588	4.502969410751209	non_sig	fumB		False	False	9.096422073984234e-05	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	randomforest	1.660964047443681
P0A7T7	4.5361606280053066e-05	0.1977211087038775	4.343311575230403	non_sig	rpsR		False	False	0.00012128562765312311	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	randomforest	1.660964047443681
P0A972	9.259436370645707e-05	0.13541207817672785	4.033415448368634	non_sig	cspE		False	False	0.00015160703456640388	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	randomforest	1.660964047443681
P0AEX9	9.914872786199133e-05	-0.11981929576297645	4.003712853683204	non_sig	malE		False	False	0.0001819284414796847	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	randomforest	1.660964047443681
P0A850	0.00013939949541022338	0.05065100865743588	3.855738798267796	non_sig	tig		False	False	0.00021224984839296547	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	randomforest	1.660964047443681
P0ADK0	0.00020985474135336055	-0.020138652670663504	3.6780812141087247	non_sig	yiaF		False	False	0.00024257125530624622	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	randomforest	1.660964047443681
P61949	0.00024292456781885703	0.12096784302836383	3.614528561240101	non_sig	fldA		False	False	0.000272892662219527	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	randomforest	1.660964047443681
P0A9Y6	0.0003198236160511071	0.08665608687138615	3.4950894707273603	non_sig	cspC		False	False	0.00030321406913280777	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	1.660964047443681
P0A7R5	0.000503351163781488	0.11013443815891932	3.2981289229336026	non_sig	rpsJ		False	False	0.00033353547604608855	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	1.660964047443681
P0AB71	0.0006010481204329588	-0.08093007699362786	3.221090756613059	non_sig	fbaA		False	False	0.0003638568829593694	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	1.660964047443681
P0AG99	0.0006224628317230229	-0.1402678343716346	3.205886575894098	non_sig	secG		False	False	0.0003941782898726501	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	1.660964047443681
P31467	0.0007669254748138935	-0.16446164175857092	3.115246836115684	non_sig	yieH		False	False	0.00042449969678593093	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	1.660964047443681
P76291	0.0008569749181373421	-0.11495829122499046	3.067031888781531	non_sig	cmoB		False	False	0.00045482110369921165	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	1.660964047443681
P27836	0.0009616007766958222	-0.12942760501487882	3.0170051945566296	non_sig	wecG		False	False	0.00048514251061249243	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	1.660964047443681
P0A7F3	0.0011558363336008097	-0.14192449816803787	2.937103657650979	non_sig	pyrI		False	False	0.0005154639175257732	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	1.660964047443681
