protein	RD139_Wide_UPS1_0_25fmol_inj1	RD139_Wide_UPS1_0_25fmol_inj2	RD139_Wide_UPS1_0_25fmol_inj3	RD139_Wide_UPS1_2_5fmol_inj1	RD139_Wide_UPS1_2_5fmol_inj2	RD139_Wide_UPS1_2_5fmol_inj3	Protein.Group	Protein.Ids	Protein.Names	Genes	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	168654.53681940047	31130.78711000001	187789.18493729545	4940048.437838538	5085786.990773899	4999661.152239351	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)			3	2.535111094807904e-07	-5.27679517494786	True	3.0395136778115502e-05	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	168654.53681940047	31130.78711000001	187789.18493729545	2573808.0401572604	2399925.310551522	2385024.7435503146	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)			3	1.0991501632441713e-05	-4.24691671782896	True	6.0790273556231004e-05	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	168654.53681940047	31130.78711000001	187789.18493729545	5955440.810989704	6259744.805263356	5909850.062553395	P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)			3	3.651543793489969e-05	-5.547366338335947	False	9.118541033434651e-05	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P0A7T7	216256957.34048665	215714913.3712686	214104003.8268001	187544019.08991724	184224805.9857819	186367784.3736248	P0A7T7	P0A7T7		rpsR	0	4.6415538507226944e-05	0.21108532446735456	False	0.00012158054711246201	True	False	Ecoli	False	True	False	True	umpire	directlfq	min	1.660964047443681
P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)	168654.53681940047	31130.78711000001	187789.18493729545	2655205.827247952	2601213.200453697	2664995.4769671145	P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)	P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)			3	6.316849407490051e-05	-4.353212479696205	False	0.00015197568389057752	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	288468.4127672179	310051.2655058031	350113.8351435209	3921321.229403601	4101246.904347885	3928016.943014831	P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)			0	8.004268960130915e-05	-3.6550866041885346	False	0.00018237082066869303	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)	168654.53681940047	31130.78711000001	187789.18493729545	2201987.558769757	2208281.9629871896	2266187.175453352	P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)	P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)			3	9.254044920822021e-05	-4.106537052773732	False	0.00021276595744680854	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P69905ups|HBA_HUMAN_UPS Hemoglobin subunit alpha (Chain 2-142) - Homo sapiens (Human)	168654.53681940047	31130.78711000001	187789.18493729545	1196406.924069377	1280500.0088793149	1140951.8501737053	P69905ups|HBA_HUMAN_UPS Hemoglobin subunit alpha (Chain 2-142) - Homo sapiens (Human)	P69905ups|HBA_HUMAN_UPS Hemoglobin subunit alpha (Chain 2-142) - Homo sapiens (Human)			3	9.361674437408107e-05	-3.222590504344573	False	0.00024316109422492402	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)	1372414.5366451028	1396676.921054998	1393550.8311387375	2813630.7988213385	2741850.00861984	2723729.1767141637	P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)	P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)			0	0.00016280744507224482	-0.9919935222428075	False	0.0002735562310030395	True	False	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)	168654.53681940047	31130.78711000001	187789.18493729545	1649787.4026032796	1782781.1974815014	1937092.1776320548	P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)	P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)			3	0.00026196826794676765	-3.7922853588510623	False	0.00030395136778115504	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
