Protein.Group	pval	log2fc	-log10(p-value)	color	gene_names_	label	FC_pass	Bonf_pass	BH_thr	BH_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	4.454981861293086e-06	-1.3889713415879044	5.351154059877692	down		ids:P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	True	True	2.9886431560071728e-05	True	Human	True	False	False	True	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	5.091645665196057e-06	-1.1387696177057052	5.293141827132391	down		ids:P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	True	True	5.9772863120143455e-05	True	Human	True	False	False	True	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	7.071245802825078e-06	-1.3648632094039677	5.150504066029218	down		ids:P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	True	True	8.96592946802152e-05	True	Human	True	False	False	True	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P10636-8ups|TAU_HUMAN_UPS Microtubule-associated protein tau {Isoform Tau-F (Tau-4)} (Chain 2-441) - Homo sapiens (Human)	9.663608299931416e-06	-1.657513046900494	5.014860681850628	down		ids:P10636-8ups|TAU_HUMAN_UPS Microtubule-associated protein tau {Isoform Tau-F (Tau-4)} (Chain 2-441) - Homo sapiens (Human)	True	True	0.00011954572624028691	True	Human	True	False	False	True	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)	1.1803767573420082e-05	-1.239390341870088	4.927979350728746	down		ids:P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)	True	True	0.00014943215780035862	True	Human	True	False	False	True	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P69905ups|HBA_HUMAN_UPS Hemoglobin subunit alpha (Chain 2-142) - Homo sapiens (Human)	1.5801179895185587e-05	-1.0189342393108411	4.801310482486322	down		ids:P69905ups|HBA_HUMAN_UPS Hemoglobin subunit alpha (Chain 2-142) - Homo sapiens (Human)	True	True	0.0001793185893604304	True	Human	True	False	False	True	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)	2.659612083402226e-05	-1.723216708461873	4.5751817025882255	down		ids:P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)	True	True	0.0002092050209205021	True	Human	True	False	False	True	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P0A862	3.2071263125134106e-05	-0.04471759708883738	4.4938839350677275	non_sig	tpx		False	False	0.00023909145248057382	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	4.0919268230853956e-05	-1.166665031525067	4.388072141483431	down		ids:P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	True	False	0.00026897788404064553	True	Human	True	False	False	True	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)	4.909907970297627e-05	-1.219344214843268	4.3089266480738715	down		ids:P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)	True	False	0.00029886431560071725	True	Human	True	False	False	True	umpire	AlphaPeptStats	randomforest	0.6609640474436812
