protein	RD139_Wide_UPS1_1fmol_inj1	RD139_Wide_UPS1_1fmol_inj2	RD139_Wide_UPS1_1fmol_inj3	RD139_Wide_UPS1_2_5fmol_inj1	RD139_Wide_UPS1_2_5fmol_inj2	RD139_Wide_UPS1_2_5fmol_inj3	Protein.Group	Protein.Ids	Protein.Names	Genes	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)	627783.1446820454	610901.18113285	708524.1649409768	2080288.0793410696	2050703.308192792	2170014.5151276616	P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)	P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)			0	8.506802885497242e-06	-1.6941747971273815	True	2.997601918465228e-05	True	True	Human	True	False	False	True	umpire	directlfq	min	0.6609640474436812
P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)	15917863.094588576	17977697.26394569	17936176.831837624	41220163.76172007	41709520.623091325	39357989.72796983	P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)	P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)			0	1.8969322672883636e-05	-1.2383713429601433	True	5.995203836930456e-05	True	True	Human	True	False	False	True	umpire	directlfq	min	0.6609640474436812
P0ADZ0	18415302.021034192	18653309.74500925	18413898.7419863	20386531.818759404	20458490.93945155	20615701.55328012	P0ADZ0	P0ADZ0		rplW	0	5.3751210583783654e-05	-0.14763169999426234	False	8.992805755395685e-05	True	False	Ecoli	False	True	False	True	umpire	directlfq	min	0.6609640474436812
P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	1144769.7010007426	1177393.8175563572	930712.0287239013	2628992.9262923715	2560114.645616544	2468876.018480098	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)			0	0.00030331086863713	-1.2352489418261985	False	0.00011990407673860912	False	True	Human	True	False	False	False	umpire	directlfq	min	0.6609640474436812
P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	3485512.0450813333	3617925.992499603	3638216.6908125966	7728979.62384165	8007834.935015089	7506684.6641490115	P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)			0	0.000438318206795204	-1.1136110230499543	False	0.00014988009592326138	False	True	Human	True	False	False	False	umpire	directlfq	min	0.6609640474436812
P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)	716045.4116006339	687988.1278747588	784425.6127302813	1408617.5654089504	1301384.5313782254	1440944.4276827374	P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)	P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)			0	0.0004417124912583336	-0.9235248900175235	False	0.0001798561151079137	False	True	Human	True	False	False	False	umpire	directlfq	min	0.6609640474436812
P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	800709.3979787866	970355.4412496522	831754.3711744549	2003743.652960345	2076178.621934573	2013385.362449848	P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)			0	0.0004535808505612238	-1.2271504737512848	False	0.00020983213429256597	False	True	Human	True	False	False	False	umpire	directlfq	min	0.6609640474436812
P18355	2206301.636430288	2317581.000000001	2204994.675596104	2959998.8626718414	3053614.0285000424	2880558.359828936	P18355	P18355			0	0.0004876357920914805	-0.4024943663827146	False	0.00023980815347721823	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.6609640474436812
P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)	620033.2313259421	740059.6875000008	669203.0261798901	1558281.0976692871	1489848.7816507604	1684587.3569530318	P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)	P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)			0	0.0005247535673095355	-1.2216894507987033	False	0.0002697841726618705	False	True	Human	True	False	False	False	umpire	directlfq	min	0.6609640474436812
P69905ups|HBA_HUMAN_UPS Hemoglobin subunit alpha (Chain 2-142) - Homo sapiens (Human)	575944.879210374	496094.67333813285	556383.4433255862	1131179.9323472644	1212369.0793047496	1079705.180376715	P69905ups|HBA_HUMAN_UPS Hemoglobin subunit alpha (Chain 2-142) - Homo sapiens (Human)	P69905ups|HBA_HUMAN_UPS Hemoglobin subunit alpha (Chain 2-142) - Homo sapiens (Human)			0	0.0005355945133371444	-1.0718929230843899	False	0.00029976019184652276	False	True	Human	True	False	False	False	umpire	directlfq	min	0.6609640474436812
