Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)				603424.0	592980.0	1506320.0	1516070.0	1467180.0	548104.0	0	2.629040285462596e-06	-1.3637570603041234	True	2.997601918465228e-05	True	True	Human	True	False	False	True	umpire	manual	min	0.6609640474436812
P10636-8ups|TAU_HUMAN_UPS Microtubule-associated protein tau {Isoform Tau-F (Tau-4)} (Chain 2-441) - Homo sapiens (Human)	P10636-8ups|TAU_HUMAN_UPS Microtubule-associated protein tau {Isoform Tau-F (Tau-4)} (Chain 2-441) - Homo sapiens (Human)				157138.0	143854.0	493868.0	474526.0	496403.0	163915.0	0	4.206047730550867e-06	-1.65568668804979	True	5.995203836930456e-05	True	True	Human	True	False	False	True	umpire	manual	min	0.6609640474436812
P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)				705946.0	708323.0	1500150.0	1512680.0	1567340.0	666240.0	0	1.7247156811400168e-05	-1.1384646178449287	True	8.992805755395685e-05	True	True	Human	True	False	False	True	umpire	manual	min	0.6609640474436812
P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)				440387.0	491553.0	1017540.0	1046940.0	998495.0	434321.0	0	2.6565231404219873e-05	-1.1647004803815002	True	0.00011990407673860912	True	True	Human	True	False	False	True	umpire	manual	min	0.6609640474436812
P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)	P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)				9456960.0	9633040.0	21176300.0	22369500.0	22328400.0	8822020.0	0	4.442319618438377e-05	-1.2388269998583559	False	0.00014988009592326138	True	True	Human	True	False	False	True	umpire	manual	min	0.6609640474436812
P0A862	P0A862		tpx		41013600.0	41071600.0	42290300.0	42363300.0	42459500.0	41148300.0	0	4.7336815375885546e-05	-0.044718225049588174	False	0.0001798561151079137	True	False	Ecoli	False	True	False	True	umpire	manual	min	0.6609640474436812
P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)				395669.0	335900.0	918056.0	855912.0	918945.0	347777.0	0	4.745039849770718e-05	-1.3190102056432242	False	0.00020983213429256597	True	True	Human	True	False	False	True	umpire	manual	min	0.6609640474436812
P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)	P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)				1138100.0	1113310.0	1801230.0	1894760.0	1898250.0	1220440.0	0	9.895865977867505e-05	-0.6882375305699082	False	0.00023980815347721823	True	True	Human	True	False	False	True	umpire	manual	min	0.6609640474436812
P0A7U3	P0A7U3		rpsS		86216300.0	86886200.0	77984100.0	79239800.0	78556600.0	85777800.0	0	0.00010136399964168995	0.13484077818706977	False	0.0002697841726618705	True	False	Ecoli	False	True	False	True	umpire	manual	min	0.6609640474436812
P0A7S9	P0A7S9		rpsM		33940100.0	34021000.0	31946500.0	32124600.0	32262500.0	33786800.0	0	0.0001545070765936631	0.07888803304130597	False	0.00029976019184652276	True	False	Ecoli	False	True	False	True	umpire	manual	min	0.6609640474436812
