Protein.Group	pval	log2fc	-log10(p-value)	color	gene_names_	label	FC_pass	Bonf_pass	BH_thr	BH_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)	4.118437846373319e-08	-4.608532009941666	7.385267483809417	down		ids:P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)	True	True	3.1191515907673116e-05	True	Human	True	False	False	True	umpire	AlphaPeptStats	mean	1.660964047443681
P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human)	3.75358837389802e-06	-0.5566788950102151	5.425553354715821	non_sig			False	True	6.238303181534623e-05	True	Human	True	False	False	True	umpire	AlphaPeptStats	mean	1.660964047443681
P62988ups|UBIQ_HUMAN_UPS Ubiquitin (Chain 1-76, N-terminal His tag) - Homo sapiens (Human)	6.697593206097776e-06	-3.497137446021803	5.174081233880667	down		ids:P62988ups|UBIQ_HUMAN_UPS Ubiquitin (Chain 1-76, N-terminal His tag) - Homo sapiens (Human)	True	True	9.357454772301935e-05	True	Human	True	False	False	True	umpire	AlphaPeptStats	mean	1.660964047443681
P0AF98	6.8183091358414715e-06	-0.4392944858849077	5.166323312149876	non_sig	lptF		False	True	0.00012476606363069246	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	mean	1.660964047443681
P76177	1.5208690933849589e-05	0.06575160195827934	4.817908165609865	non_sig	ydgH		False	True	0.00015595757953836556	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	mean	1.660964047443681
P0A6F9	1.6327183940356495e-05	0.4540097263793328	4.787088714505664	non_sig	groS		False	True	0.0001871490954460387	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	mean	1.660964047443681
P45795	2.6234844006939987e-05	-1.2447083200766578	4.58112151378417	non_sig	yrdB		False	True	0.00021834061135371182	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	mean	1.660964047443681
P30177	2.626881341894495e-05	-0.1782146368487183	4.580559544162662	non_sig	ybiB		False	True	0.0002495321272613849	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	mean	1.660964047443681
P76594	3.610291651511244e-05	0.28162006278909146	4.442457712907163	non_sig	yfiQ		False	False	0.000280723643169058	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	mean	1.660964047443681
P0A972	6.199945533864995e-05	0.60560536527694	4.207612125734937	non_sig	cspE		False	False	0.00031191515907673113	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	mean	1.660964047443681
P0AG63	9.606458149853938e-05	0.09903973180392711	4.0174367048916535	non_sig	rpsQ		False	False	0.0003431066749844043	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	mean	1.660964047443681
P0AC51	9.883934682392093e-05	0.4384639457397981	4.005070133279106	non_sig	zur		False	False	0.0003742981908920774	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	mean	1.660964047443681
P64499	0.00011121699768725463	0.10129812312585784	3.953828832919048	non_sig	yebO		False	False	0.0004054897067997505	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	mean	1.660964047443681
P0AGJ5	0.00012508903086083406	-0.03835060786114752	3.9027807722048764	non_sig	yfiF		False	False	0.00043668122270742364	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	mean	1.660964047443681
P23871	0.00015865430839052765	-0.19894739861458888	3.7995481297733007	non_sig	hemH		False	False	0.0004678727386150967	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	mean	1.660964047443681
P45464	0.00016217916470209447	0.1136270307633005	3.790004940729848	non_sig	lpoA		False	False	0.0004990642545227698	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	mean	1.660964047443681
P0ABP8	0.00019807019911105786	-0.12831572042020767	3.703180861842593	non_sig	deoD		False	False	0.000530255770430443	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	mean	1.660964047443681
P0AG44	0.00023914080339891143	-0.09585799247297899	3.6213463160669614	non_sig	rplQ		False	False	0.000561447286338116	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	mean	1.660964047443681
P0A6H1	0.00024761235693951747	0.05140665170583958	3.6062276859171205	non_sig	clpX		False	False	0.0005926388022457892	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	mean	1.660964047443681
P0A917	0.0002544826813660521	0.16831174449994535	3.59434176791694	non_sig	ompX		False	False	0.0006238303181534623	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	mean	1.660964047443681
Q46893	0.0002629749895430117	0.2113563703767447	3.5800855534872715	non_sig	ispD		False	False	0.0006550218340611354	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	mean	1.660964047443681
P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)	0.00026718062357357033	-1.973287078062171	3.5731950408829003	down		ids:P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)	True	False	0.0006862133499688086	True	Human	True	False	False	True	umpire	AlphaPeptStats	mean	1.660964047443681
P08622	0.0003016491834773209	0.13471353439679845	3.520497845921168	non_sig	dnaJ		False	False	0.0007174048658764817	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	mean	1.660964047443681
P61175	0.00030452127470368973	0.1345948260290477	3.5163823609501175	non_sig	rplV		False	False	0.0007485963817841548	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	mean	1.660964047443681
P68919	0.00033350781141788	0.14785046183856565	3.476893989585658	non_sig	rplY		False	False	0.0007797878976918279	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	mean	1.660964047443681
P0A800	0.00033370073191211596	0.11335456278605704	3.4766428407978753	non_sig	rpoZ		False	False	0.000810979413599501	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	mean	1.660964047443681
P0A805	0.00033373039665136043	-0.2592770612022548	3.4766042353687365	non_sig	frr		False	False	0.0008421709295071741	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	mean	1.660964047443681
P0AD59	0.00033916360776607154	-0.2933570021590768	3.469590753686208	non_sig	ivy		False	False	0.0008733624454148473	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	mean	1.660964047443681
P0AE67	0.00034327628459618575	-0.21355904474969023	3.464356198976744	non_sig	cheY		False	False	0.0009045539613225204	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	mean	1.660964047443681
P0A717	0.00036679710478749973	-0.2046117353118042	3.4355741009730503	non_sig	prs		False	False	0.0009357454772301934	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	mean	1.660964047443681
P0A746	0.0003791046982432417	0.342652909672978	3.4212408333301707	non_sig	msrB		False	False	0.0009669369931378665	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	mean	1.660964047443681
P0A715	0.0003983405292685874	-0.1249889280036598	3.3997455039290325	non_sig	kdsA		False	False	0.0009981285090455397	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	mean	1.660964047443681
P0ADW8	0.0004055628095450483	0.5325118205873416	3.3919418770226013	non_sig	yheV		False	False	0.001029320024953213	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	mean	1.660964047443681
P45578	0.00044039239168583086	-0.3151628991608497	3.3561601926008366	non_sig	luxS		False	False	0.001060511540860886	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	mean	1.660964047443681
P0A9L5	0.0005123744984490158	0.10018145008513102	3.290412493795581	non_sig	ppiC		False	False	0.001091703056768559	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	mean	1.660964047443681
P77330	0.0005188151206212304	0.28859603195302697	3.2849873750963052	non_sig	borD		False	False	0.001122894572676232	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	mean	1.660964047443681
P45523	0.0005544808139516461	0.1025843891629421	3.2561134766367075	non_sig	fkpA		False	False	0.0011540860885839053	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	mean	1.660964047443681
P61949	0.0005708358010762972	0.20134732247449705	3.243488797081035	non_sig	fldA		False	False	0.0011852776044915783	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	mean	1.660964047443681
P08337	0.0006032478794791716	0.3059724044311878	3.2195041960368527	non_sig	mutT		False	False	0.0012164691203992515	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	mean	1.660964047443681
P63165ups|SUMO1_HUMAN_UPS Small ubiquitin-related modifier 1 (Chain 1-97, N-terminal GST tag) - Homo sapiens (Human)	0.0006052325593466537	-1.7961369661781497	3.218077716530825	down		ids:P63165ups|SUMO1_HUMAN_UPS Small ubiquitin-related modifier 1 (Chain 1-97, N-terminal GST tag) - Homo sapiens (Human)	True	False	0.0012476606363069245	True	Human	True	False	False	True	umpire	AlphaPeptStats	mean	1.660964047443681
P24186	0.0006176951049885762	0.138404165438061	3.2092258402761535	non_sig	folD		False	False	0.0012788521522145977	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	mean	1.660964047443681
P0ACF8	0.000655103586323504	0.0993330745701897	3.1836900230436442	non_sig	hns		False	False	0.0013100436681222707	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	mean	1.660964047443681
P0AG40	0.0006794307922261343	-0.14893306458498756	3.167854774523899	non_sig	ribF		False	False	0.0013412351840299437	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	mean	1.660964047443681
P0A7L0	0.0007051017547496021	0.12012926059892237	3.1517482045158083	non_sig	rplA		False	False	0.0013724266999376171	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	mean	1.660964047443681
P0AA04	0.000705976633166118	0.36505369150884803	3.1512096732470014	non_sig	ptsH		False	False	0.0014036182158452901	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	mean	1.660964047443681
P0A6I6	0.0007452098738227814	0.5750040243605952	3.127721399457034	non_sig	coaD		False	False	0.0014348097317529633	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	mean	1.660964047443681
P0A7J3	0.0007694110933799702	-0.1275231868240887	3.1138415563201116	non_sig	rplJ		False	False	0.0014660012476606363	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	mean	1.660964047443681
P0A968	0.0007950755931368038	0.1866046952515532	3.0995915781089813	non_sig	cspD		False	False	0.0014971927635683095	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	mean	1.660964047443681
P62937ups|PPIA_HUMAN_UPS Peptidyl-prolyl cis-trans isomerase A (Chain 1-165, N terminal His tag)- Homo sapiens (Human)	0.0008028842177293032	0.2902242255879166	3.0953470789140196	non_sig			False	False	0.0015283842794759825	True	Human	True	False	False	True	umpire	AlphaPeptStats	mean	1.660964047443681
P22256	0.0008132059763756323	-0.2846128964411996	3.089799438325414	non_sig	gabT		False	False	0.0015595757953836558	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	mean	1.660964047443681
P0ABC3	0.0008219605003897285	0.04634534121628775	3.085149052137509	non_sig	hflC		False	False	0.001590767311291329	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	mean	1.660964047443681
P76002	0.0008738426505259747	0.1893650962800777	3.0585667620571657	non_sig	pliG		False	False	0.001621958827199002	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	mean	1.660964047443681
P0A932	0.0008913887966746701	-0.13167843702073512	3.049932828599568	non_sig	gfcE		False	False	0.0016531503431066752	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	mean	1.660964047443681
P04036	0.0008941743207644032	-0.11686181932855888	3.0485778065217293	non_sig	dapB		False	False	0.0016843418590143482	True	Ecoli	False	True	False	True	umpire	AlphaPeptStats	mean	1.660964047443681
