Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P69905ups|HBA_HUMAN_UPS Hemoglobin subunit alpha (Chain 2-142) - Homo sapiens (Human)	P69905ups|HBA_HUMAN_UPS Hemoglobin subunit alpha (Chain 2-142) - Homo sapiens (Human)				76079.7	4123200.0	81038.7	4147590.0	109544.0	4121610.0	3	1.6073834654299289e-09	-5.538297390883706	True	3.050640634533252e-05	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)				76079.7	7266940.0	81038.7	7247000.0	109544.0	7212320.0	3	4.571459020668717e-09	-6.348281621406565	True	6.101281269066504e-05	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P63165ups|SUMO1_HUMAN_UPS Small ubiquitin-related modifier 1 (Chain 1-97, N-terminal GST tag) - Homo sapiens (Human)	P63165ups|SUMO1_HUMAN_UPS Small ubiquitin-related modifier 1 (Chain 1-97, N-terminal GST tag) - Homo sapiens (Human)				3785380.0	12685400.0	4090880.0	12750100.0	4205830.0	12407600.0	0	1.1152296616897278e-06	-1.6471602366025726	True	9.151921903599757e-05	True	False	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P0A972	P0A972		cspE		242476000.0	152582000.0	241120000.0	151866000.0	242833000.0	152578000.0	0	1.3339462061975875e-06	0.6685455561810987	True	0.00012202562538133008	True	False	Ecoli	False	True	False	True	umpire	manual	min	1.660964047443681
P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)	P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)				76079.7	7706120.0	81038.7	7623760.0	109544.0	7733960.0	3	3.3093647741898387e-06	-6.434474507421685	True	0.0001525320317266626	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)	P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)				76079.7	7314530.0	81038.7	7239150.0	109544.0	7204690.0	3	3.397940962508098e-06	-6.350412256814192	True	0.00018303843807199513	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)				76079.7	24480000.0	81038.7	24494300.0	109544.0	24747900.0	2	9.629652340072623e-06	-8.11094089796749	True	0.00021354484441732765	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)				76079.7	18157300.0	81038.7	17955800.0	109544.0	17940900.0	3	1.0026728071977888e-05	-7.663243155251214	True	0.00024405125076266016	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)	P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)				76079.7	19828400.0	81038.7	19951900.0	109544.0	20098400.0	3	1.1090956078397562e-05	-7.810884673822914	True	0.0002745576571079927	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P18355	P18355				2993470.0	1643810.0	3072510.0	1713400.0	3111430.0	1777420.0	0	1.438137613930686e-05	0.8378267412452034	True	0.0003050640634533252	True	False	Ecoli	False	True	False	True	umpire	manual	min	1.660964047443681
