Protein.Group	pval	log2fc	-log10(p-value)	color	gene_names_	label	FC_pass	Bonf_pass	BH_thr	BH_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)	5.900047895951296e-09	-2.150034477088788	8.229144462787868	down		ids:P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)	True	True	3.043213633597079e-05	True	Human	True	False	False	True	umpire	AlphaPeptStats	mean	1.160964047443681
P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)	1.8001848991538964e-08	-2.004880892057294	7.744682885697686	down		ids:P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)	True	True	6.086427267194158e-05	True	Human	True	False	False	True	umpire	AlphaPeptStats	mean	1.160964047443681
P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	2.0653108818919875e-08	-2.1480804464193923	7.685014566705808	down		ids:P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	True	True	9.129640900791237e-05	True	Human	True	False	False	True	umpire	AlphaPeptStats	mean	1.160964047443681
P09211ups|GSTP1_HUMAN_UPS Glutathione S-transferase P (Chain 2-210) - Homo sapiens (Human)	2.163920148146727e-08	-1.9033155273625226	7.664758769378359	down		ids:P09211ups|GSTP1_HUMAN_UPS Glutathione S-transferase P (Chain 2-210) - Homo sapiens (Human)	True	True	0.00012172854534388315	True	Human	True	False	False	True	umpire	AlphaPeptStats	mean	1.160964047443681
P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	2.961321762469572e-08	-2.141249094601836	7.528514401772121	down		ids:P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	True	True	0.00015216068167985393	True	Human	True	False	False	True	umpire	AlphaPeptStats	mean	1.160964047443681
P06396ups|GELS_HUMAN_UPS Gelsolin (Chain 28-782) - Homo sapiens (Human)	3.6471260989380606e-08	-1.8674523968824666	7.438049220748124	down		ids:P06396ups|GELS_HUMAN_UPS Gelsolin (Chain 28-782) - Homo sapiens (Human)	True	True	0.00018259281801582473	True	Human	True	False	False	True	umpire	AlphaPeptStats	mean	1.160964047443681
Q06830ups|PRDX1_HUMAN_UPS Peroxiredoxin 1 (Chain 2-199) - Homo sapiens (Human)	4.6533122072394466e-08	-2.182573202812595	7.332237808130262	down		ids:Q06830ups|PRDX1_HUMAN_UPS Peroxiredoxin 1 (Chain 2-199) - Homo sapiens (Human)	True	True	0.0002130249543517955	True	Human	True	False	False	True	umpire	AlphaPeptStats	mean	1.160964047443681
P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)	5.348352368435681e-08	-2.232503586637918	7.271779987605647	down		ids:P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)	True	True	0.0002434570906877663	True	Human	True	False	False	True	umpire	AlphaPeptStats	mean	1.160964047443681
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	5.612246066782478e-08	-2.255118902306741	7.250863295750762	down		ids:O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	True	True	0.0002738892270237371	True	Human	True	False	False	True	umpire	AlphaPeptStats	mean	1.160964047443681
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	5.9084349292399145e-08	-1.9997236416160575	7.228527543079689	down		ids:P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	True	True	0.00030432136335970786	True	Human	True	False	False	True	umpire	AlphaPeptStats	mean	1.160964047443681
P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)	7.184561811315541e-08	-2.079357230922156	7.1435997144790795	down		ids:P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)	True	True	0.0003347534996956787	True	Human	True	False	False	True	umpire	AlphaPeptStats	mean	1.160964047443681
P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	7.553651396368879e-08	-2.1613879560603486	7.121843061886945	down		ids:P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	True	True	0.00036518563603164946	True	Human	True	False	False	True	umpire	AlphaPeptStats	mean	1.160964047443681
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	9.786731349618108e-08	-2.0824221268258825	7.009362333105461	down		ids:O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	True	True	0.00039561777236762024	True	Human	True	False	False	True	umpire	AlphaPeptStats	mean	1.160964047443681
