protein	RD139_Wide_UPS1_25fmol_inj1	RD139_Wide_UPS1_25fmol_inj2	RD139_Wide_UPS1_25fmol_inj3	RD139_Wide_UPS1_50fmol_inj1	RD139_Wide_UPS1_50fmol_inj2	RD139_Wide_UPS1_50fmol_inj3	Protein.Group	Protein.Ids	Protein.Names	Genes	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)	230212641.18939844	234325769.43318328	230483647.4679593	434109278.677476	435731263.1218405	437819703.2764464	P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)	P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)			0	5.4758996114596477e-08	-0.9118570791462393	True	3.0618493570116355e-05	True	True	Human	True	False	False	True	umpire	directlfq	min	0.5
P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	201474143.6862065	207180961.39072964	204176304.82926527	374311069.3369948	376789707.8638495	378475090.4214601	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)			0	3.629729357167622e-07	-0.8822190243647815	True	6.123698714023271e-05	True	True	Human	True	False	False	True	umpire	directlfq	min	0.5
P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	184887958.5759367	178409068.72783488	178731275.8680745	342789868.43296087	348576641.8179232	347202586.74809664	P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)			0	6.727833077640117e-07	-0.9381571111831911	True	9.185548071034907e-05	True	True	Human	True	False	False	True	umpire	directlfq	min	0.5
P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human)	50067122.04922863	52335970.09688492	50587050.55152672	95119653.97461884	94304364.72346176	96396331.15569562	P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human)	P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human)			0	1.2896991712614257e-06	-0.9016699354950949	True	0.00012247397428046542	True	True	Human	True	False	False	True	umpire	directlfq	min	0.5
P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)	53216210.23807658	54648282.94108555	53543255.27770302	99228085.06110445	97231872.79850416	98751297.3343222	P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)	P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)			0	1.3942504468358006e-06	-0.8710378889396753	True	0.00015309246785058175	True	True	Human	True	False	False	True	umpire	directlfq	min	0.5
P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	25485075.008292355	25465569.90719043	25200287.24950336	47341799.65834136	48004497.28052198	47680416.56995127	P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)			0	3.0379769317423696e-06	-0.9093510264637601	True	0.00018371096142069814	True	True	Human	True	False	False	True	umpire	directlfq	min	0.5
P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)	29185658.844895232	29652937.72511474	28703410.20550497	53869283.17929991	53979351.63227569	55120741.981665015	P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)	P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)			0	3.16004502213341e-06	-0.8965535351708076	True	0.00021432945499081448	True	True	Human	True	False	False	True	umpire	directlfq	min	0.5
P69905ups|HBA_HUMAN_UPS Hemoglobin subunit alpha (Chain 2-142) - Homo sapiens (Human)	21404104.792032614	22664644.83952025	22238622.201006465	40837635.75230773	40099893.1139324	41208714.61838061	P69905ups|HBA_HUMAN_UPS Hemoglobin subunit alpha (Chain 2-142) - Homo sapiens (Human)	P69905ups|HBA_HUMAN_UPS Hemoglobin subunit alpha (Chain 2-142) - Homo sapiens (Human)			0	3.461120848139847e-06	-0.8813683168995744	True	0.00024494794856093084	True	True	Human	True	False	False	True	umpire	directlfq	min	0.5
P12081ups|SYHC_HUMAN_UPS Histidyl-tRNA synthetase, cytoplasmic (Chain 1-509, C terminal His tag) - Homo sapiens (Human)	99705966.74726065	100512488.74940072	103734426.55442204	195831236.4692108	200402980.1545339	202235733.80567223	P12081ups|SYHC_HUMAN_UPS Histidyl-tRNA synthetase, cytoplasmic (Chain 1-509, C terminal His tag) - Homo sapiens (Human)	P12081ups|SYHC_HUMAN_UPS Histidyl-tRNA synthetase, cytoplasmic (Chain 1-509, C terminal His tag) - Homo sapiens (Human)			0	8.243533601930991e-06	-0.9774311119779132	True	0.00027556644213104714	True	True	Human	True	False	False	True	umpire	directlfq	min	0.5
P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)	34117083.699241124	35113119.48805364	34032463.88464895	65629180.600365534	66040740.987420455	64180594.09713122	P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)	P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)			0	8.500759862599852e-06	-0.923434161313691	True	0.0003061849357011635	True	True	Human	True	False	False	True	umpire	directlfq	min	0.5
