Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)				1536620.0	22777800.0	1593920.0	1439140.0	23015500.0	22799800.0	0	4.7561212364661024e-08	-3.9078984117367455	True	3.0543677458766035e-05	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)				1127730.0	13187400.0	824019.0	1001600.0	13417600.0	13180900.0	0	6.237358987245244e-08	-3.751833478408796	True	6.108735491753207e-05	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)	P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)				646397.0	10072300.0	648392.0	774131.0	9987030.0	10001300.0	0	7.382446820612183e-08	-3.8609254791075003	True	9.163103237629813e-05	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)	P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)				472559.0	9986020.0	495293.0	689769.0	10000100.0	10165300.0	0	7.457334013164728e-08	-4.185039857830986	True	0.00012217470983506414	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P62937ups|PPIA_HUMAN_UPS Peptidyl-prolyl cis-trans isomerase A (Chain 1-165, N terminal His tag)- Homo sapiens (Human)	P62937ups|PPIA_HUMAN_UPS Peptidyl-prolyl cis-trans isomerase A (Chain 1-165, N terminal His tag)- Homo sapiens (Human)				620445.0	6082120.0	646669.0	496520.0	6160820.0	6251040.0	0	1.3165681751112241e-07	-3.390432633312829	True	0.00015271838729383018	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)	P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)				2151850.0	33572900.0	2224420.0	2059990.0	33502600.0	33237600.0	0	2.3044181305561126e-07	-3.9621436046519296	True	0.00018326206475259625	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)				687464.0	8657320.0	764996.0	867963.0	8674550.0	8891440.0	0	4.667548093988716e-07	-3.498390069589783	True	0.00021380574221136227	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)	P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)				699310.0	9687220.0	666626.0	652442.0	9708560.0	9795920.0	0	6.265040328494896e-07	-3.8542899382094165	True	0.0002443494196701283	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P08263ups|GSTA1_HUMAN_UPS Glutathione S-transferase A1 (Chain 2-222) - Homo sapiens (Human)	P08263ups|GSTA1_HUMAN_UPS Glutathione S-transferase A1 (Chain 2-222) - Homo sapiens (Human)				1674140.0	19649300.0	1433210.0	1725820.0	19589800.0	19177900.0	0	6.617196256182157e-07	-3.5953466250374637	True	0.00027489309712889435	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P16083ups|NQO2_HUMAN_UPS Ribosyldihydronicotinamide dehydrogenase [quinone] (Chain 2-231) - Homo sapiens (Human)	P16083ups|NQO2_HUMAN_UPS Ribosyldihydronicotinamide dehydrogenase [quinone] (Chain 2-231) - Homo sapiens (Human)				989558.0	17070100.0	970272.0	1065770.0	16856800.0	17079100.0	0	1.3541180695384062e-06	-4.075373792416258	True	0.00030543677458766036	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
