Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)				4521430.0	4550300.0	4556350.0	911630.0	946684.0	942261.0	0	2.013422986764623e-09	-2.282787351928962	True	2.9291154071470417e-05	True	True	Human	True	False	False	True	umpire	manual	min	1.160964047443681
P77562	P77562		yaiW		1385980.0	1363730.0	1395850.0	47852.4	52135.4	32694.8	3	3.4559873531915327e-07	-4.965515907154484	True	5.858230814294083e-05	True	True	Ecoli	False	True	False	True	umpire	manual	min	1.160964047443681
P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)	P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)				2846130.0	2884720.0	2850660.0	651378.0	707295.0	653054.0	0	3.994912826334748e-07	-2.0927969877520516	True	8.787346221441127e-05	True	True	Human	True	False	False	True	umpire	manual	min	1.160964047443681
P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)				3099910.0	3137670.0	3043560.0	873580.0	919082.0	823115.0	0	5.658287147028861e-07	-1.8270624685290213	True	0.00011716461628588167	True	True	Human	True	False	False	True	umpire	manual	min	1.160964047443681
P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)	P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)				2652770.0	2616690.0	2561910.0	489870.0	501310.0	399323.0	0	1.3086925717618207e-06	-2.493657853712877	True	0.00014645577035735208	True	True	Human	True	False	False	True	umpire	manual	min	1.160964047443681
P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)				2974230.0	2896510.0	2973550.0	673762.0	735678.0	616448.0	0	1.7987191768977426e-06	-2.126191913387956	True	0.00017574692442882253	True	True	Human	True	False	False	True	umpire	manual	min	1.160964047443681
P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)				2465180.0	2360880.0	2439590.0	524407.0	525155.0	426685.0	0	1.8517577492204636e-06	-2.2991577422897818	True	0.00020503807850029293	True	True	Human	True	False	False	True	umpire	manual	min	1.160964047443681
P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)	P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)				1696270.0	1649790.0	1622800.0	546566.0	527977.0	487271.0	0	3.1805481929165284e-06	-1.6696922439807924	True	0.00023432923257176333	True	True	Human	True	False	False	True	umpire	manual	min	1.160964047443681
P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human)	P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human)				566704.0	566882.0	592595.0	47852.4	52135.4	32694.8	3	3.3495035129720803e-06	-3.701532654160331	True	0.00026362038664323376	True	True	Human	True	False	False	True	umpire	manual	min	1.160964047443681
P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)				5107160.0	5203550.0	5266550.0	1363600.0	1321190.0	1408400.0	0	4.316449993146435e-06	-1.9281439480861153	True	0.00029291154071470416	True	True	Human	True	False	False	True	umpire	manual	min	1.160964047443681
Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)	Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)				1545060.0	1451920.0	1476680.0	222599.0	295048.0	280672.0	0	6.849183339538729e-06	-2.4864183623882834	True	0.0003222026947861746	True	True	Human	True	False	False	True	umpire	manual	min	1.160964047443681
P12081ups|SYHC_HUMAN_UPS Histidyl-tRNA synthetase, cytoplasmic (Chain 1-509, C terminal His tag) - Homo sapiens (Human)	P12081ups|SYHC_HUMAN_UPS Histidyl-tRNA synthetase, cytoplasmic (Chain 1-509, C terminal His tag) - Homo sapiens (Human)				2943180.0	2823200.0	2964850.0	767472.0	763512.0	836526.0	0	2.3759728830492015e-05	-1.8828143864185714	True	0.00035149384885764507	True	True	Human	True	False	False	True	umpire	manual	min	1.160964047443681
P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)	P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)				4417590.0	4368300.0	4313570.0	1235180.0	1201430.0	1040460.0	0	2.4060844214455578e-05	-1.9135633240128234	True	0.0003807850029291154	True	True	Human	True	False	False	True	umpire	manual	min	1.160964047443681
P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)	P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)				5587290.0	5533920.0	5580200.0	1377270.0	1216370.0	1333360.0	0	2.421530631069949e-05	-2.088470402824151	True	0.00041007615700058587	True	True	Human	True	False	False	True	umpire	manual	min	1.160964047443681
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)				3631240.0	3676660.0	3651810.0	797711.0	825558.0	920810.0	0	3.517989133953257e-05	-2.106994248582442	False	0.0004393673110720562	True	True	Human	True	False	False	True	umpire	manual	min	1.160964047443681
P16083ups|NQO2_HUMAN_UPS Ribosyldihydronicotinamide dehydrogenase [quinone] (Chain 2-231) - Homo sapiens (Human)	P16083ups|NQO2_HUMAN_UPS Ribosyldihydronicotinamide dehydrogenase [quinone] (Chain 2-231) - Homo sapiens (Human)				2203730.0	2248090.0	2091160.0	732776.0	574119.0	552873.0	0	3.863067176713803e-05	-1.8148251997536442	False	0.00046865846514352667	True	True	Human	True	False	False	True	umpire	manual	min	1.160964047443681
P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)	P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)				1385540.0	1430070.0	1436360.0	520672.0	467582.0	428810.0	0	3.9209850633826984e-05	-1.5852265005708457	False	0.0004979496192149971	True	True	Human	True	False	False	True	umpire	manual	min	1.160964047443681
P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)	P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)				4607850.0	4594230.0	4608630.0	1170330.0	1066520.0	1132380.0	0	5.28258142084031e-05	-2.03529666725317	False	0.0005272407732864675	True	True	Human	True	False	False	True	umpire	manual	min	1.160964047443681
Q06830ups|PRDX1_HUMAN_UPS Peroxiredoxin 1 (Chain 2-199) - Homo sapiens (Human)	Q06830ups|PRDX1_HUMAN_UPS Peroxiredoxin 1 (Chain 2-199) - Homo sapiens (Human)				937996.0	1026500.0	1002900.0	142793.0	170648.0	194512.0	0	7.67864348232109e-05	-2.546430549562782	False	0.0005565319273579379	True	True	Human	True	False	False	True	umpire	manual	min	1.160964047443681
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)				2960040.0	2839420.0	2917130.0	47852.4	52135.4	32694.8	3	0.00010339347120942038	-6.037712758330847	False	0.0005858230814294083	True	True	Human	True	False	False	True	umpire	manual	min	1.160964047443681
P41159ups|LEP_HUMAN_UPS Leptin (Chain 22-167) - Homo sapiens (Human)	P41159ups|LEP_HUMAN_UPS Leptin (Chain 22-167) - Homo sapiens (Human)				1794150.0	1805190.0	1810040.0	298590.0	272755.0	354448.0	0	0.00016029967379383955	-2.546701688549103	False	0.0006151142355008787	True	True	Human	True	False	False	True	umpire	manual	min	1.160964047443681
P77690	P77690		arnB		1341720.0	1376860.0	1364070.0	986505.0	999553.0	989915.0	0	0.00018314285318600306	-0.45614445517231894	False	0.0006444053895723492	True	False	Ecoli	False	True	False	True	umpire	manual	min	1.160964047443681
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)				2609820.0	2684820.0	2395810.0	601958.0	684753.0	770855.0	0	0.00023775635873220355	-1.9021293103677648	False	0.0006736965436438196	True	True	Human	True	False	False	True	umpire	manual	min	1.160964047443681
P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)	P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)				3115380.0	3064150.0	2900600.0	869378.0	847345.0	922449.0	0	0.00028462855311525947	-1.782627575708722	False	0.0007029876977152901	True	True	Human	True	False	False	True	umpire	manual	min	1.160964047443681
P0A9C5	P0A9C5		glnA		36519600.0	36862600.0	36649500.0	38333300.0	38497000.0	38161600.0	0	0.00028926065516587013	0.06361301934486986	False	0.0007322788517867604	True	False	Ecoli	False	True	False	True	umpire	manual	min	1.160964047443681
P45795	P45795		yrdB		3253700.0	3109100.0	3479000.0	1345920.0	1425530.0	1601240.0	0	0.00030475873131682754	-1.1704011262665819	False	0.0007615700058582308	True	True	Ecoli	False	True	False	True	umpire	manual	min	1.160964047443681
P62707	P62707		gpmA		46133300.0	45849600.0	45881700.0	47959100.0	48406300.0	48123800.0	0	0.00031936782570923024	0.06770960267342002	False	0.0007908611599297013	True	False	Ecoli	False	True	False	True	umpire	manual	min	1.160964047443681
P0A9D8	P0A9D8		dapD		41037500.0	41293600.0	41235900.0	40137700.0	40017700.0	39901800.0	0	0.00037809332606911564	-0.041571579619716414	False	0.0008201523140011717	True	False	Ecoli	False	True	False	True	umpire	manual	min	1.160964047443681
P67660	P67660		yhaJ		1614740.0	1558520.0	1527160.0	1149300.0	1223130.0	1178300.0	0	0.0003896121650834941	-0.4046740117280969	False	0.0008494434680726421	True	False	Ecoli	False	True	False	True	umpire	manual	min	1.160964047443681
P67080	P67080		yggS		3538060.0	3490110.0	3522670.0	3222300.0	3276400.0	3273310.0	0	0.00041245831604634045	-0.11063061789661725	False	0.0008787346221441124	True	False	Ecoli	False	True	False	True	umpire	manual	min	1.160964047443681
P06129	P06129		btuB		14923000.0	14866900.0	15033000.0	16070200.0	15878200.0	15848200.0	0	0.0005584407549020863	0.09267200318333353	False	0.0009080257762155829	True	False	Ecoli	False	True	False	True	umpire	manual	min	1.160964047443681
P0AAB6	P0AAB6		galF		12220700.0	12028600.0	12089200.0	12974400.0	12846700.0	12835000.0	0	0.0005697900679751698	0.08919722344309904	False	0.0009373169302870533	True	False	Ecoli	False	True	False	True	umpire	manual	min	1.160964047443681
P39411	P39411		yjjX		2691120.0	2741060.0	2760670.0	3012060.0	3036210.0	2975640.0	0	0.0005936035017120886	0.13938727781242502	False	0.0009666080843585238	True	False	Ecoli	False	True	False	True	umpire	manual	min	1.160964047443681
P61316	P61316		lolA		4153480.0	4164750.0	4079700.0	4522530.0	4491140.0	4444040.0	0	0.0006171287626623738	0.11833367446510577	False	0.0009958992384299942	True	False	Ecoli	False	True	False	True	umpire	manual	min	1.160964047443681
P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)	P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)				2160900.0	2196980.0	2141950.0	551892.0	344120.0	409077.0	0	0.0006525582763069624	-2.316253791487016	False	0.0010251903925014645	True	True	Human	True	False	False	True	umpire	manual	min	1.160964047443681
P10636-8ups|TAU_HUMAN_UPS Microtubule-associated protein tau {Isoform Tau-F (Tau-4)} (Chain 2-441) - Homo sapiens (Human)	P10636-8ups|TAU_HUMAN_UPS Microtubule-associated protein tau {Isoform Tau-F (Tau-4)} (Chain 2-441) - Homo sapiens (Human)				1457260.0	1577450.0	1603210.0	339247.0	314181.0	306164.0	0	0.0008465200666551777	-2.272984899766941	False	0.001054481546572935	True	True	Human	True	False	False	True	umpire	manual	min	1.160964047443681
