Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_03.mzML
A0A024R1R8;Q9Y2S6	TMA7B_HUMAN;TMA7_HUMAN	TMA7;TMA7B	Translation machinery-associated protein 7B	1	0	4.77454e+07	3.96335e+07	2.59382e+07	4.45262e+07	4.17883e+07	3.85765e+07	3.9278e+07	4.43071e+07	3.64226e+07	4.84801e+07	4.57421e+07	3.70115e+07	6.60768e+07	4.34458e+07	3.82972e+07	4.12876e+07	4.23987e+07	4.00498e+07
A0A024RBG1	NUD4B_HUMAN	NUDT4B	Diphosphoinositol polyphosphate phosphohydrolase NUDT4B	1	1	6.88299e+06	6.69754e+06	6.54448e+06	7.39486e+06	6.65937e+06	6.12165e+06	6.75769e+06	6.18067e+06	6.33716e+06	5.81566e+06	7.03539e+06	6.04108e+06	5.45822e+06	6.64474e+06	5.38077e+06	6.01203e+06	5.75382e+06	6.12038e+06
A0A096LP01	SIM26_HUMAN	SMIM26	Small integral membrane protein 26	2	2	775775	2.10758e+06	919231			992560	1.14026e+06			2.24019e+06	2.22421e+06	1.20922e+06		2.28894e+06				
A0A096LP55;P07919	QCR6L_HUMAN;QCR6_HUMAN	UQCRH;UQCRHL	Cytochrome b-c1 complex subunit 6-like, mitochondrial	1	0	1.37878e+06	1.62749e+06	1.35323e+06		1.54415e+06	1.06337e+06		1.96029e+06						974165			1.07861e+06	1.07118e+06
A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1	Protein PIGBOS1	1	1		6.46982e+06	5.88904e+06	3.58525e+06	2.00905e+06	4.05383e+06	6.2359e+06	6.29548e+06	5.31051e+06					2.71501e+06		4.01241e+06	4.58422e+06	4.9541e+06
A0A0U1RRL7	MMPOS_HUMAN	MMP24OS	Protein MMP24OS	1	1	958292	876032	996316	523565	907653	1.10439e+06	714283	1.01216e+06	906250	1.0219e+06	920230	947476	303634	896808	1.16344e+06	912627	817354	1.00577e+06
A0A3B3ISX7	A0A3B3ISX7_HUMAN	LOC128706665	Uncharacterized protein	2	2	7.77259e+06	7.2202e+06	8.47338e+06	5.82661e+06	7.36518e+06	7.55164e+06	7.11327e+06	7.20631e+06	7.48704e+06	8.24852e+06	7.09741e+06	7.24109e+06	5.97626e+06	7.45948e+06	6.8645e+06	7.1594e+06	6.46317e+06	7.63196e+06
A0A804HLA8;P63218	GBG5B_HUMAN;GBG5_HUMAN	GNG5;GNG5B	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-5B	1	0	2.01798e+07	1.57177e+07		1.81609e+07	2.27543e+07	1.7756e+07	1.77707e+07	1.95352e+07	1.80096e+07	1.81249e+07	1.91826e+07	1.99763e+07	2.22086e+07		1.59963e+07	1.45912e+07	1.68956e+07	2.08148e+07
A0ACI8SQ87	A0ACI8SQ87_HUMAN	ERVK3-1	Endogenous retrovirus group K3 member 1	2	2	7.87928e+06	9.74758e+06	7.61892e+06	5.74828e+06	6.23595e+06	5.89724e+06	9.61996e+06	8.63406e+06	8.61582e+06	5.29015e+06	9.6676e+06	2.26488e+06	2.58016e+06	2.66821e+06	2.14402e+06	5.3084e+06	6.4195e+06	4.10687e+06
A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	33	33	2.74443e+07	2.90348e+07	2.74429e+07	3.09819e+07	2.97636e+07	2.60894e+07	3.15057e+07	3.14645e+07	2.83911e+07	2.93928e+07	3.00033e+07	2.71706e+07	3.11198e+07	3.02744e+07	2.64689e+07	3.0464e+07	2.99496e+07	2.78399e+07
A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	12	12	4.6214e+06	5.07911e+06	4.68532e+06	4.81244e+06	4.80258e+06	5.32247e+06	4.81085e+06	4.88683e+06	5.00937e+06	5.30806e+06	5.3059e+06	5.27727e+06	5.11731e+06	5.05744e+06	4.90163e+06	4.83817e+06	5.08459e+06	5.16865e+06
A0JLT2	MED19_HUMAN	MED19	Mediator of RNA polymerase II transcription subunit 19	2	2	450517	417515	448419	300239	502354	375280	540686	589145	527770	466574	523190	521286		570516	532314	481732	350964	584913
A0JNW5	BLT3B_HUMAN	BLTP3B	Bridge-like lipid transfer protein family member 3B	1	1					347248			490123		281978		255606			477397			
