Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Alpha_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Alpha_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Alpha_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Beta_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Beta_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Beta_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Gamma_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Gamma_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Gamma_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Alpha_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Alpha_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Alpha_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Beta_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Beta_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Beta_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Gamma_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Gamma_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Gamma_03.d
A0A024R1R8;Q9Y2S6	TMA7B_HUMAN;TMA7_HUMAN	TMA7;TMA7B	Translation machinery-associated protein 7B	1	0								312796					202847	321995	324181			
A0A024RBG1	NUD4B_HUMAN	NUDT4B	Diphosphoinositol polyphosphate phosphohydrolase NUDT4B	1	1	45883.7	39466.1	43150.5	40259.3	53649	33761.2	43431.6	55253.1	43252.4	39574.6	43417.7	54612.2	31735.2	48043	71447.4	41609.1	36332.5	48394.7
A0A096LP01	SIM26_HUMAN	SMIM26	Small integral membrane protein 26	1	1	55269.3	58094.6	40694.3	47971.9	55896.4	63382.9			55483.7	55080.7	46338.3		44461.2	55595.3	56375.9		45779.4	54402
A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1	Protein PIGBOS1	1	1	64208.3	61027.1	69826.5	83231.1	57791.3	66543.2	32507.9	57912.1	68626.4	97666.8	78937.8	92503.4	100299	75309.7	77082.9	70661.8	56340.4	79457.8
A0A0U1RR11;A0A0U1RRI6;P0DPI3	CENL1_HUMAN;CENL2_HUMAN;CENL3_HUMAN	CENPVL1;CENPVL2;CENPVL3	Centromere protein V-like protein 1	1	0	185318	154052	139305	120745	124904	96024.9	123590		80202.8				296895			304082		287333
A0A0U1RRL7	MMPOS_HUMAN	MMP24OS	Protein MMP24OS	2	2	55970.9			43249.8		45430.3	41431			33649.5								
A0A1B0GTL2	CT204_HUMAN	C20orf204	Uncharacterized protein C20orf204	1	1	61397.3	51254.7		54339.2		49239.6	54234.8	47826.4	25495.6			27047.1	22592.2		22542.8	19319.8		
A0A3B3ISX7	A0A3B3ISX7_HUMAN	LOC128706665	Uncharacterized protein	1	1	135164	112105	123058	126963	110929	87778.3	123120	119574	100923	194230	159421	117712	199387	188868	150424	192669	189776	137975
A0A3B3IU46;Q9BTL3	RAMAC_HUMAN;RMACL_HUMAN	RAMAC;RAMACL	RNA guanine-N7 methyltransferase-activating subunit-like protein	1	0	192513	165927	169330	168338	174851	181595	152659	164772	176536	165932	158185	167245	168795	191375	173373	166437	144178	170570
A0A804HLA8;P63218	GBG5B_HUMAN;GBG5_HUMAN	GNG5;GNG5B	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-5B	1	0	61727.7	78866.5	74603.2	77637.3	76387.5	69048.3	81491.1	75510.9	70614.6	54036.2	66933.6	66814.3	59632	57946.8	58183.8	51272.9	61445.6	50065.4
A0A994J5G1	A0A994J5G1_HUMAN	TUBA3FP	Tubulin alpha 3f pseudogene	2	2	37612.8	32506.1			31600.1	36022.8				38814.9			52053.3	24491.2	34537.6	30108.1		22193.5
A0AAG2SUK6	A0AAG2SUK6_HUMAN		Large ribosomal subunit protein uL23m	1	1	62927.7	61878.2	68839.5	72970.3	52597.8	63967.2	56260.7	66738.5	46903.9	72339.1	51681.8	43562.4	64753.4	60399.4	56594.7	58489.7	76416.8	51968.9
A0AAG2UWQ9	A0AAG2UWQ9_HUMAN	NKRF	NF-kappa-B-repressing factor	14	14	356557	337294	342241	346397	349664	343076	347612	341209	323325	367223	355229	348615	351011	356099	366905	320768	353379	350454
A0AAQ5BGK1	A0AAQ5BGK1_HUMAN		Uncharacterized protein	1	1	54430												129169		112908			
A0AB56IDB0	A0AB56IDB0_HUMAN		Uncharacterized protein	1	1	83112.7	90400.9	96230.9	85726.2	81679.8	83476	91495.3	86681.5	76178.1	77676.6	82520.9	88700.1	77088.6	71094.1	69029.1	78351.1	82827.3	69345.5
A0ACI8SQ87	A0ACI8SQ87_HUMAN	ERVK3-1	Endogenous retrovirus group K3 member 1	2	2	179111	140183	170896	183823	166677	163428	156911	162846	156622	168258	156981	139052	161961	181287	157149	167348	156836	164981
A0AV96	RBM47_HUMAN	RBM47	RNA-binding protein 47	7	6	1.697e+06	1.63115e+06	1.56993e+06	1.50327e+06	1.69037e+06	1.82743e+06	1.32355e+06	2.16703e+06	1.50774e+06	1.48112e+06	1.40652e+06	1.41271e+06	1.41549e+06	1.26736e+06	1.32685e+06	1.32045e+06	1.07911e+06	1.17971e+06
A0AVF1	IFT56_HUMAN	IFT56	Intraflagellar transport protein 56	2	2		33683.6	36315.4	41401.6					41077.2									35165
A0AVK6	E2F8_HUMAN	E2F8	Transcription factor E2F8	2	2	13352.4			9775.11	14672.1	7308.05	7162.56			12526.2	12092.1	12400.5		11855	11431.3	13160.8	14229.5	14435.1
A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	26	26	651723	658690	663848	662266	658137	664045	639789	697267	662694	638660	645755	638043	668032	650921	670506	664135	635067	676416
A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	17	17	104670	104690	112993	110062	104403	111207	97319.6	114396	110665	94894.9	97164.8	111373	102250	97487.9	100366	92069.4	100696	95922
A0JLT2	MED19_HUMAN	MED19	Mediator of RNA polymerase II transcription subunit 19	2	2	86423.5	91436.6	87244.9	91592.7	88962.9	91987.5	87477.1	69768.5	75079.1	104424	67518	84712.7	55128.4	79790.5	96545.1	83099.8	88980.5	85383.6
A0JNW5	BLT3B_HUMAN	BLTP3B	Bridge-like lipid transfer protein family member 3B	7	7	51638.3	44589.5	47346.9	43752.8	39813.7	46540.6	41941.7	45505.3	43649.9	42579.2	43623.7	46809	41004.3	39259.5	41987.2	44144.9	48339.6	48640
A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	18	18	256407	235156	239763	264724	245476	245075	236683	263246	227664	247909	249146	248770	231194	246614	239739	232003	241754	249712
A0PJW6	TM223_HUMAN	TMEM223	Transmembrane protein 223	3	3	33754.3	28394.2	32668.8	29129.6	34538.4	18558.1	34596.8	35456.1	21060.5	28524	29032.8	31959	31149.6	27373.4	25877	25013.8	28815	30325.3
A1L020	MEX3A_HUMAN	MEX3A	RNA-binding protein MEX3A	1	1										4515.41						8394.51	9570.9	
A1L0T0	HACL2_HUMAN	HACL2	2-hydroxyacyl-CoA lyase 2	2	2	220302	231570	217033	243514	197294	252530	194479	218180	172985	164217	206556	183869	201119	191922	165879	139004	160254	106238
A2RRP1	NBAS_HUMAN	NBAS	NBAS subunit of NRZ tethering complex	36	36	158305	159621	160847	159155	156668	156378	168517	164402	161271	156055	160999	161038	156151	159349	162408	152401	161456	156488
A2RTX5	SYTC2_HUMAN	TARS3	Threonine--tRNA ligase 2, cytoplasmic	5	5	26761.3	30121.8	24798.4	28757.6	31267.2	33049.5	24840.1	28425.5	26799.6	24273.3	35646.1	25648.9	23862.3	26251.7	30872.3	30227.2	29145.2	24041.6
A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	16	16	166191	187046	191475	159922	183085	195495	178887	187803	200100	152611	157568	164368	153921	169756	152165	148015	159764	156001
A3KN83	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1	25	19	133036	134418	123579	133159	124441	130666	122470	123958	109381	134095	125163	120672	129446	119742	118794	128864	120243	122262
A4D0V7	CPED1_HUMAN	CPED1	Cadherin-like and PC-esterase domain-containing protein 1	1	1	15982.5															17215.7		
A4D126	ISPD_HUMAN	CRPPA	D-ribitol-5-phosphate cytidylyltransferase	4	4	18008	17399.3	18840.1	20433.6	20660.9	20085.1	25995.1	23348.8	21694.3	17660	21712.2	21909.4	21928.1	16169.4	21262.2	18405.8	20675.7	21492
A4D1E9	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10	10	10	147865	157572	166977	168743	172420	174044	168457	158228	164207	153172	146837	164966	156036	158633	156580	154759	147785	158159
A4D1P6	WDR91_HUMAN	WDR91	WD repeat-containing protein 91	11	11	81345.1	85250.8	85259.5	92245.3	79478.5	88588.8	82915.9	78011	89741.2	87133.3	88168	78390.7	80959.3	85173.9	85305.2	81738.9	79262.7	84793.1
A4FU69	EFCB5_HUMAN	EFCAB5	EF-hand calcium-binding domain-containing protein 5	1	1	161501	212855	111901		159268	90286.8	136752		71769.1	291106	206499	151358				260654	300652	
A5D8V6	VP37C_HUMAN	VPS37C	Vacuolar protein sorting-associated protein 37C	2	2	17001.7	17987.8		23787.1	20242	19703.4				19839.5			18448.4	17854.6		13734.3		
A5PLN9	TPC13_HUMAN	TRAPPC13	Trafficking protein particle complex subunit 13	2	2	43752.8	62287.8	81350	49133.3	58067.3	74194.6	62960.7	63193.8	68274.8	45922.1	54950.6	66477.2	46443.8	63193.1	60470.3	50404.5	69472.1	76275.4
A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	58	58	560368	532910	562731	566209	553215	569159	565871	584328	549640	569897	557450	576657	559857	566511	535151	549608	538170	550812
A5Z2X5	YP010_YEAST	YPR010C-A	UPF0495 protein YPR010C-A	2	2	158985	201785	184450	198636	179283	172899	193115	161592	192037	78750.2	88767.4	60225.6	91869.9	92423	86165.6	88464.6	83908.4	82009.1
A6NCE7;Q9GZQ8	MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3B;MAP1LC3B2	Microtubule-associated protein 1 light chain 3 beta 2	3	0	245427	264761	303183	285952	295238	318071	291162	295408	292666	279582	277896	281104	270736	293433	284564	276760	278470	278526
A6NCW0;A8MUK1;C9J2P7;C9JJH3;C9JPN9;C9JVI0;D6R901;D6R9N7;D6RA61;D6RBQ6;D6RCP7;D6RJB6;Q0WX57;Q7RTZ2;C9JLJ4	U17L1_HUMAN;U17L3_HUMAN;U17L5_HUMAN;U17LA_HUMAN;U17LB_HUMAN;U17LD_HUMAN;U17LF_HUMAN;U17LH_HUMAN;U17LI_HUMAN;U17LJ_HUMAN;U17LK_HUMAN;U17LL_HUMAN;U17LM_HUMAN;U17LO_HUMAN;UL17C_HUMAN	USP17L1;USP17L10;USP17L11;USP17L12;USP17L13;USP17L15;USP17L17;USP17L18;USP17L19;USP17L20;USP17L21;USP17L22;USP17L24;USP17L3;USP17L5	Ubiquitin carboxyl-terminal hydrolase 17-like protein 3	1	0	135880		137518	132840				118444	144129	66254.4								
A6NDG6	PGP_HUMAN	PGP	Phosphoglycolate phosphatase	2	2	114827	112119	86767.5	110264	84086.5	94505.5	105078	95918.3	74935.7	113298	120697	106922	153157	121920	110680	167401	145921	120914
A6NDU8	RIMC1_HUMAN	RIMOC1	RAB7A-interacting MON1-CCZ1 complex subunit 1	6	6	221064	253400	252057	240627	231317	246220	234389	251105	233130	231888	236533	250476	216486	232265	234023	218500	212754	221283
A6NED2	RCCD1_HUMAN	RCCD1	RCC1 domain-containing protein 1	7	7	126256	123508	102935	127661	120175	124708	113670	114787	112927	118078	120676	129993	129384	136975	127716	138780	122995	128943
A6NER3;O76087;P0CL80;P0CL81;P0CL82;P0DSO3;P0DTW1;Q13069;Q13070;Q4V321;Q4V326	GAG13_HUMAN;GAG2E_HUMAN;GAGE1_HUMAN;GAGE4_HUMAN;GAGE5_HUMAN;GAGE6_HUMAN;GAGE7_HUMAN;GG12F_HUMAN;GG12G_HUMAN;GG12I_HUMAN;GG12J_HUMAN	GAGE1;GAGE12F;GAGE12G;GAGE12I;GAGE12J;GAGE13;GAGE2E;GAGE4;GAGE5;GAGE6;GAGE7	G antigen 12J	3	0	236194	235094	216953	265996	222897	237291	211114	228751	246061	251662	252481	209747	226844	204618	208270	242247	213002	231903
A6NFI3	ZN316_HUMAN	ZNF316	Zinc finger protein 316	5	5	86839	87695.3	101451	89854.7	100693	93861.7	93607.7	91546.4	113457	93309	102852	96003.8	84155.4	92130.3	83592.7	88354.8	85155.4	101246
A6NFQ2	TCAF2_HUMAN	TCAF2	TRPM8 channel-associated factor 2	4	2	45452.5	42868.3	48771.9	52131.4	39831.2	43074.9	46165.7	37787.6	43525.6	44910.9	41143.7	40622.2	45820.6	43187.1	51027	47078.9	30859.9	47440.6
A6NGB9	WIPF3_HUMAN	WIPF3	WAS/WASL-interacting protein family member 3	1	1	18872.9	20379.2	20793.9	18967.8	19254.8	17299.3	15741.3	19999.9	17829.5	22563.6	14520.7	15782.4		14757.4	16787.5	19068.2	21591.6	19704.4
A6NHL2	TBAL3_HUMAN	TUBAL3	Tubulin alpha chain-like 3	3	3	2.06274e+06	1.79851e+06	1.66398e+06	1.90846e+06	1.71835e+06	1.76651e+06	1.78311e+06	1.75923e+06	1.66649e+06	1.57678e+06	1.51103e+06	1.55922e+06	1.53435e+06	1.48622e+06	1.556e+06	1.5405e+06	1.5101e+06	1.38022e+06
A6NHQ2	FBLL1_HUMAN	FBLL1	RNA 2'-O-methyltransferase FBLL1	1	1	158551		151558															182290
A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	50	50	738185	750072	770128	759090	752687	772737	758335	778019	746171	765146	760694	761510	741431	772183	743489	752631	743376	748291
A6NHT5	HMX3_HUMAN	HMX3	Homeobox protein HMX3	2	2	26824.3		22266.3	18875.7	22466.2	32055		27553.7	29384	24970.1	23195.8	22033.7	26673.1	30989.5	24907.5	23860.7	23403.2	25816.2
A6NHX0	CAST2_HUMAN	CASTOR2	Cytosolic arginine sensor for mTORC1 subunit 2	5	5	27166.6	27374.2	24191.9	34263.8	32537.8	31320.1	26217.9	30068.6	30238.2	25650.8	28338.1	26514	23625.5	26762.8	28583.1	22353.1	28919.1	27538.7
A6NIZ1	RP1BL_HUMAN	RAP1BL	Ras-related protein Rap-1b-like protein	4	0	635806	563773	398179	823506	440017	412239	669811	429108	410376	636751	476230	379974	592979	403196	395470	601997	420592	411471
A6NJ78	MET15_HUMAN	METTL15	12S rRNA N(4)-cytidine methyltransferase METTL15	8	6	121365	117150	127539	106597	125503	123454	109810	121173	125114	115529	105328	125782	120015	106283	119294	110975	111854	118405
A6NJT0	UNC4_HUMAN	UNCX	Homeobox protein unc-4 homolog	1	1		140034				172506		135768				99333.9						59207.8
A6NK53	ZN233_HUMAN	ZNF233	Zinc finger protein 233	1	1				40141.4	122480						41170.5							
A6NKD9	CC85C_HUMAN	CCDC85C	Coiled-coil domain-containing protein 85C	4	4	64237.3	52052	67435.3	72273.4	78463.2	72354.9	65029.6	81401.6	67263	68095.4	72687.9	77199.4	55847.7	58664.4	66751.7	67920.3	69258.4	70451.8
A6NKT7	RGPD3_HUMAN	RGPD3	RanBP2-like and GRIP domain-containing protein 3	1	0								325064			313980							308086
A7E2V4	ZSWM8_HUMAN	ZSWIM8	Zinc finger SWIM domain-containing protein 8	3	3	35708.9	43732.6	49728	48861.1	46537.7	39182.9	37540.7	51374.1	46536.4	40333.9	42871.5	46235.7	46245.5	49546.4	42819.4	43025.5	49217.8	44400.3
