Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML
O00762ups|UBE2C_HUMAN_UPS	Ubiquitin-conjugating	Ubiquitin-conjugating		4	4		2.2066e+07		2.09892e+07		2.13682e+07
O76070ups|SYUG_HUMAN_UPS	Gamma-synuclein	Gamma-synuclein		7	7		9.19865e+07		9.32145e+07		9.4203e+07
P00167ups|CYB5_HUMAN_UPS	Cytochrome	Cytochrome		5	5		2.15437e+07		2.15167e+07		2.12105e+07
P00350	6PGD_ECOLI	gnd	6-phosphogluconate dehydrogenase, decarboxylating	28	28	2.77271e+08	2.64766e+08	2.7474e+08	2.74841e+08	2.66449e+08	2.68212e+08
P00363	FRDA_ECOLI	frdA	Fumarate reductase flavoprotein subunit	28	28	2.44367e+08	2.29355e+08	2.29226e+08	2.43163e+08	2.3998e+08	2.38179e+08
P00370	DHE4_ECOLI	gdhA	NADP-specific glutamate dehydrogenase	10	10	1.55421e+07	1.57257e+07	1.47411e+07	1.48911e+07	1.62112e+07	1.52451e+07
P00393	DHNA_ECOLI	ndh	NADH dehydrogenase	17	17	2.49846e+07	2.61391e+07	2.48432e+07	2.53474e+07	2.56514e+07	2.49442e+07
P00441ups|SODC_HUMAN_UPS	Superoxide	Superoxide		1	1		1.29054e+07		1.30414e+07		1.30474e+07
P00448	SODM_ECOLI	sodA	Superoxide dismutase [Mn]	8	8	4.92285e+07	4.66853e+07	4.5585e+07	4.75839e+07	4.74475e+07	4.83468e+07
P00452	RIR1_ECOLI	nrdA	Ribonucleoside-diphosphate reductase 1 subunit alpha	33	33	4.28037e+07	4.47224e+07	4.27635e+07	4.18439e+07	4.37271e+07	4.18918e+07
P00490	PHSM_ECOLI	malP	Maltodextrin phosphorylase	33	33	3.57949e+07	3.56203e+07	3.63367e+07	3.66645e+07	3.66276e+07	3.58139e+07
P00509	AAT_ECOLI	aspC	Aspartate aminotransferase	27	27	9.86324e+07	9.91836e+07	9.69635e+07	9.90894e+07	9.69824e+07	9.98514e+07
P00547	KHSE_ECOLI	thrB	Homoserine kinase	3	3	3.21942e+06	3.76786e+06	3.71753e+06	3.70182e+06	3.72645e+06	3.74266e+06
P00550	PTM3C_ECOLI	mtlA	PTS system mannitol-specific EIICBA component	5	5	3.54974e+06	3.70143e+06	3.73241e+06	3.26096e+06	3.53271e+06	3.3599e+06
P00561	AK1H_ECOLI	thrA	Bifunctional aspartokinase/homoserine dehydrogenase 1	15	15	1.3506e+07	1.46728e+07	1.45905e+07	1.42137e+07	1.42182e+07	1.46734e+07
P00562	AK2H_ECOLI	metL	Bifunctional aspartokinase/homoserine dehydrogenase 2	16	16	7.75238e+06	8.89186e+06	8.19015e+06	8.41684e+06	8.14761e+06	8.33494e+06
P00579	RPOD_ECOLI	rpoD	RNA polymerase sigma factor RpoD	18	17	1.39915e+08	1.5091e+08	1.40033e+08	1.48767e+08	1.45726e+08	1.49981e+08
P00582	DPO1_ECOLI	polA	DNA polymerase I	39	39	2.37742e+07	2.19155e+07	2.38054e+07	2.40573e+07	2.34564e+07	2.3479e+07
P00709ups|LALBA_HUMAN_UPS	Alpha-lactalbumin	Alpha-lactalbumin		1	1		1.3966e+07		8.91302e+06		1.30974e+07
P00803	LEP_ECOLI	lepB	Signal peptidase I	6	6	1.52398e+07	1.5862e+07	1.4645e+07	1.4458e+07	1.39438e+07	1.46938e+07
P00805	ASPG2_ECOLI	ansB	L-asparaginase 2	19	19	1.30252e+08	1.30129e+08	1.31694e+08	1.30102e+08	1.31555e+08	1.25753e+08
P00811	AMPC_ECOLI	ampC	Beta-lactamase	4	4	3.39328e+06	2.94138e+06	3.48243e+06	3.40926e+06	3.16564e+06	3.10603e+06
P00861	DCDA_ECOLI	lysA	Diaminopimelate decarboxylase	2	2	1.34602e+06	1.49296e+06	1.14165e+06	1.16335e+06	1.53779e+06	1.1632e+06
P00864	CAPP_ECOLI	ppc	Phosphoenolpyruvate carboxylase	38	38	6.28257e+07	6.099e+07	6.16619e+07	6.2418e+07	6.14018e+07	6.39886e+07
P00887	AROH_ECOLI	aroH	Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive	3	3	6.91816e+06	7.07516e+06	6.60756e+06	6.7525e+06	6.2199e+06	6.39302e+06
P00888	AROF_ECOLI	aroF	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive	7	6	1.00219e+07	9.93825e+06	9.72616e+06	9.94991e+06	1.0032e+07	9.83391e+06
P00892	ILVG_ECOLI	ilvG	Acetolactate synthase isozyme 2 large subunit	1	1		245555	317827	346905	317546	310045
P00894	ILVH_ECOLI	ilvH	Acetolactate synthase isozyme 3 small subunit	3	3	1.09269e+06	1.25288e+06	1.27043e+06	1.27577e+06	1.19803e+06	982109
P00914	PHR_ECOLI	phrB	Deoxyribodipyrimidine photo-lyase	5	5	803439	719048	686675	748495	716867	813885
P00915ups|CAH1_HUMAN_UPS	Carbonic	Carbonic		9	9		3.00545e+07		2.85695e+07		2.87254e+07
P00918ups|CAH2_HUMAN_UPS	Carbonic	Carbonic		8	8		3.29111e+07		3.27717e+07		3.34779e+07
P00926	SDHD_ECOLI	dsdA	D-serine dehydratase	4	4	2.69549e+06	3.18209e+06	2.9327e+06	2.84417e+06	3.09751e+06	3.23224e+06
P00934	THRC_ECOLI	thrC	Threonine synthase	14	14	1.72468e+07	1.54967e+07	1.73648e+07	1.72363e+07	1.73514e+07	1.69602e+07
P00935	METB_ECOLI	metB	Cystathionine gamma-synthase	2	2	2.39551e+06	1.8485e+06	2.09652e+06	2.03048e+06	2.31217e+06	1.99857e+06
P00936	CYAA_ECOLI	cyaA	Adenylate cyclase	3	3		2.76742e+06		2.46763e+06	2.57497e+06	2.724e+06
P00946	MANA_ECOLI	manA	Mannose-6-phosphate isomerase	11	11	5.1454e+07	5.30634e+07	5.19718e+07	5.13423e+07	5.38207e+07	5.04911e+07
P00954	SYW_ECOLI	trpS	Tryptophan--tRNA ligase	11	11	7.98466e+07	8.60817e+07	8.12251e+07	9.06078e+07	7.83645e+07	8.76122e+07
P00956	SYI_ECOLI	ileS	Isoleucine--tRNA ligase	38	38	1.15962e+08	1.15047e+08	1.12748e+08	1.19179e+08	1.1644e+08	1.19619e+08
P00957	SYA_ECOLI	alaS	Alanine--tRNA ligase	41	41	1.18339e+08	1.12901e+08	1.15727e+08	1.1928e+08	1.16506e+08	1.20387e+08
P00959	SYM_ECOLI	metG	Methionine--tRNA ligase	31	31	5.97187e+07	5.80506e+07	5.99798e+07	5.96988e+07	5.99156e+07	5.88924e+07
P00960	SYGA_ECOLI	glyQ	Glycine--tRNA ligase alpha subunit	9	9	3.13281e+07	3.29858e+07	3.23238e+07	3.26238e+07	3.37146e+07	3.10455e+07
P00961	SYGB_ECOLI	glyS	Glycine--tRNA ligase beta subunit	40	40	7.75901e+07	7.72011e+07	7.65172e+07	7.96323e+07	7.8254e+07	7.83027e+07
P00962	SYQ_ECOLI	glnS	Glutamine--tRNA ligase	29	29	7.7081e+07	7.29527e+07	7.68431e+07	7.88189e+07	7.738e+07	7.84403e+07
P00963	ASNA_ECOLI	asnA	Aspartate--ammonia ligase	9	9	1.03771e+08	1.07436e+08	1.07429e+08	1.04772e+08	1.00418e+08	1.06849e+08
P00968	CARB_ECOLI	carB	Carbamoyl-phosphate synthase large chain	33	33	1.93706e+07	2.12406e+07	1.9202e+07	1.96232e+07	1.93349e+07	1.98709e+07
P01008ups|ANT3_HUMAN_UPS	Antithrombin-III	Antithrombin-III		9	9		2.58044e+07		2.83911e+07		2.68998e+07
P01112ups|RASH_HUMAN_UPS	GTPase	GTPase		6	6		2.0653e+07		2.20903e+07		2.31679e+07
P01127ups|PDGFB_HUMAN_UPS	Platelet-derived	Platelet-derived		3	3		2.90175e+07		2.80035e+07		2.80251e+07
P01133ups|EGF_HUMAN_UPS	Pro-Epidermal	Pro-Epidermal		1	1		1.07762e+07		9.54022e+06		8.50721e+06
P01344ups|IGF2_HUMAN_UPS	Insulin-like	Insulin-like		1	1		9.56028e+06		7.93325e+06		8.58023e+06
P01375ups|TNFA_HUMAN_UPS	Tumor	Tumor		6	6		1.63363e+07		1.56115e+07		1.54184e+07
P01579ups|IFNG_HUMAN_UPS	Interferon	Interferon		5	5		2.82743e+07		2.53919e+07		2.64717e+07
P02144ups|MYG_HUMAN_UPS	Myoglobin	Myoglobin		7	7		2.72576e+07		2.90624e+07		2.98012e+07
P02358	RS6_ECOLI	rpsF	30S ribosomal protein S6	10	10	8.10394e+08	6.57347e+08	7.85259e+08	9.05356e+08	7.91235e+08	8.62848e+08
P02359	RS7_ECOLI	rpsG	30S ribosomal protein S7	14	14	9.81665e+08	9.22845e+08	9.62817e+08	9.78131e+08	9.37268e+08	1.00559e+09
P02413	RL15_ECOLI	rplO	50S ribosomal protein L15	12	12	7.94325e+08	7.40394e+08	7.99391e+08	8.21171e+08	8.0698e+08	8.14259e+08
P02741ups|CRP_HUMAN_UPS	C-reactive	C-reactive		4	4		5.37266e+06		5.57392e+06		5.68228e+06
P02753ups|RETBP_HUMAN_UPS	Retinol-binding	Retinol-binding		1	1		3.29889e+06		2.98726e+06		2.58589e+06
P02768ups|ALBU_HUMAN_UPS	Serum	Serum		18	18		5.3114e+07		5.03123e+07		5.10852e+07
P02787ups|TRFE_HUMAN_UPS	Serotransferrin	Serotransferrin		15	15		2.68136e+07		2.79876e+07		2.73801e+07
P02788ups|TRFL_HUMAN_UPS	Lactotransferrin	Lactotransferrin		18	18		3.10093e+07		3.08182e+07		3.03304e+07
P02918	PBPA_ECOLI	mrcA	Penicillin-binding protein 1A	10	10	1.02261e+07	1.07943e+07	1.12213e+07	1.04837e+07	9.90716e+06	9.57127e+06
P02919	PBPB_ECOLI	mrcB	Penicillin-binding protein 1B	16	16	4.12283e+07	4.62791e+07	4.47916e+07	4.2845e+07	4.47732e+07	4.3227e+07
P02925	RBSB_ECOLI	rbsB	D-ribose-binding periplasmic protein	14	14	3.95528e+07	4.20504e+07	3.93297e+07	3.95791e+07	3.97142e+07	3.93574e+07
P02930	TOLC_ECOLI	tolC	Outer membrane protein TolC	16	16	1.27317e+08	1.24789e+08	1.24408e+08	1.21934e+08	1.24808e+08	1.21359e+08
P02931	OMPF_ECOLI	ompF	Outer membrane protein F	18	17	1.87628e+08	1.99344e+08	1.86572e+08	1.8037e+08	1.83598e+08	1.78419e+08
P02932	PHOE_ECOLI	phoE	Outer membrane pore protein E	2	2	1.21055e+06	1.52092e+06	1.11083e+06	1.50754e+06	1.21399e+06	1.43055e+06
P02942	MCP1_ECOLI	tsr	Methyl-accepting chemotaxis protein I	15	13	5.65172e+07	6.07314e+07	5.79317e+07	6.10274e+07	5.85552e+07	6.03937e+07
P02943	LAMB_ECOLI	lamB	Maltoporin	9	9	8.35038e+06	9.17479e+06	8.11531e+06	9.42572e+06	9.13433e+06	9.31909e+06
P03004	DNAA_ECOLI	dnaA	Chromosomal replication initiator protein DnaA	13	13	6.22604e+06	7.05992e+06	6.57528e+06	6.51208e+06	6.54101e+06	6.88468e+06
P03007	DPO3E_ECOLI	dnaQ	DNA polymerase III subunit epsilon	3	3	1.3044e+06		1.37131e+06	1.63168e+06	1.62853e+06	
P03018	UVRD_ECOLI	uvrD	DNA helicase II	10	10	8.75732e+06	8.97381e+06	8.84149e+06	8.09803e+06	8.67768e+06	8.93029e+06
P03023	LACI_ECOLI	lacI	Lactose operon repressor	2	2	2.59887e+06	3.12987e+06	2.77557e+06	2.45938e+06	2.55474e+06	2.78107e+06
P03024	GALR_ECOLI	galR	HTH-type transcriptional regulator GalR	2	2	7.16568e+06	7.56628e+06	7.55684e+06	7.50812e+06	6.4681e+06	7.3196e+06
P03817	MIOC_ECOLI	mioC	Protein MioC	1	1	3.97082e+07	3.45032e+07	3.85352e+07	3.83297e+07	3.95046e+07	3.83986e+07
P03841	MALM_ECOLI	malM	Maltose operon periplasmic protein	7	7	3.14975e+07	2.60341e+07	3.15738e+07	3.00037e+07	3.16212e+07	3.03658e+07
P04036	DAPB_ECOLI	dapB	4-hydroxy-tetrahydrodipicolinate reductase	8	8	3.35874e+07	3.12036e+07	3.38585e+07	3.44625e+07	3.41444e+07	3.42873e+07
P04040ups|CATA_HUMAN_UPS	Catalase	Catalase		10	10		8.6426e+06		8.58052e+06		8.66335e+06
P04079	GUAA_ECOLI	guaA	GMP synthase [glutamine-hydrolyzing]	27	27	7.99681e+07	8.06562e+07	7.81868e+07	7.82793e+07	7.86459e+07	7.81231e+07
P04335	FRSA_ECOLI	frsA	Esterase FrsA	13	13	1.75986e+07	1.71231e+07	1.74357e+07	1.67144e+07	1.70596e+07	1.73235e+07
P04425	GSHB_ECOLI	gshB	Glutathione synthetase	15	15	2.92111e+07	3.20823e+07	3.13195e+07	3.31002e+07	3.3088e+07	3.29529e+07
