Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML
O00762ups|UBE2C_HUMAN_UPS	Ubiquitin-conjugating	Ubiquitin-conjugating		4	4		2.19062e+07			2.15619e+07	2.24719e+07
O76070ups|SYUG_HUMAN_UPS	Gamma-synuclein	Gamma-synuclein		7	7		8.81923e+07			9.51479e+07	9.7056e+07
P00167ups|CYB5_HUMAN_UPS	Cytochrome	Cytochrome		5	5		2.29113e+07			2.31893e+07	2.18267e+07
P00350	6PGD_ECOLI	gnd	6-phosphogluconate dehydrogenase, decarboxylating	30	30	2.75138e+08	2.88061e+08	2.69363e+08	2.66435e+08	2.84932e+08	2.80071e+08
P00363	FRDA_ECOLI	frdA	Fumarate reductase flavoprotein subunit	27	27	2.30947e+08	2.19735e+08	2.33049e+08	2.32562e+08	2.3604e+08	2.32716e+08
P00370	DHE4_ECOLI	gdhA	NADP-specific glutamate dehydrogenase	12	12	1.45762e+07	1.53427e+07	1.40684e+07	1.4877e+07	1.47572e+07	1.46801e+07
P00393	DHNA_ECOLI	ndh	NADH dehydrogenase	18	18	2.62796e+07	2.91935e+07	2.69643e+07	2.70097e+07	2.85028e+07	2.82407e+07
P00441ups|SODC_HUMAN_UPS	Superoxide	Superoxide		1	1		1.42797e+07			1.42155e+07	1.45131e+07
P00448	SODM_ECOLI	sodA	Superoxide dismutase [Mn]	8	8	4.17002e+07	4.50205e+07	4.41881e+07	4.15628e+07	4.55813e+07	4.69646e+07
P00452	RIR1_ECOLI	nrdA	Ribonucleoside-diphosphate reductase 1 subunit alpha	32	32	4.35499e+07	4.73828e+07	4.34962e+07	4.47202e+07	4.3048e+07	4.33671e+07
P00490	PHSM_ECOLI	malP	Maltodextrin phosphorylase	31	31	3.57131e+07	3.58777e+07	3.49398e+07	3.55881e+07	3.59247e+07	3.57874e+07
P00509	AAT_ECOLI	aspC	Aspartate aminotransferase	27	27	9.70341e+07	1.04304e+08	1.01059e+08	1.01274e+08	1.0576e+08	1.05382e+08
P00547	KHSE_ECOLI	thrB	Homoserine kinase	3	3	3.66606e+06	3.65505e+06	3.74875e+06	3.60315e+06	3.29645e+06	3.52601e+06
P00550	PTM3C_ECOLI	mtlA	PTS system mannitol-specific EIICBA component	5	5	3.48866e+06	3.71629e+06	3.96909e+06	3.41142e+06	3.17538e+06	3.10265e+06
P00561	AK1H_ECOLI	thrA	Bifunctional aspartokinase/homoserine dehydrogenase 1	16	16	1.07455e+07	1.15178e+07	1.11776e+07	1.11298e+07	1.08112e+07	1.14216e+07
P00562	AK2H_ECOLI	metL	Bifunctional aspartokinase/homoserine dehydrogenase 2	18	18	7.56711e+06	8.73762e+06	7.79493e+06	7.87831e+06	8.06481e+06	7.92259e+06
P00579	RPOD_ECOLI	rpoD	RNA polymerase sigma factor RpoD	20	19	1.40355e+08	1.51535e+08	1.42164e+08	1.41631e+08	1.45686e+08	1.50133e+08
P00582	DPO1_ECOLI	polA	DNA polymerase I	43	43	2.44078e+07	2.35614e+07	2.52419e+07	2.47604e+07	2.47036e+07	2.41917e+07
P00709ups|LALBA_HUMAN_UPS	Alpha-lactalbumin	Alpha-lactalbumin		1	1		1.63345e+07			1.04099e+07	1.48285e+07
P00803	LEP_ECOLI	lepB	Signal peptidase I	6	6	1.50064e+07	1.64774e+07	1.51392e+07	1.46079e+07	1.52419e+07	1.5638e+07
P00805	ASPG2_ECOLI	ansB	L-asparaginase 2	19	19	1.35165e+08	1.37572e+08	1.38605e+08	1.33834e+08	1.37125e+08	1.31158e+08
P00811	AMPC_ECOLI	ampC	Beta-lactamase	5	5	6.42048e+06	5.42295e+06	5.99527e+06	6.27064e+06	6.31424e+06	5.72871e+06
P00861	DCDA_ECOLI	lysA	Diaminopimelate decarboxylase	2	2	1.75685e+06	2.32651e+06	1.40983e+06	1.77947e+06	1.90551e+06	1.82746e+06
