Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML
A5A614	YCIZ_ECOLI	yciZ	UPF0509 protein YciZ	1	1		2.0755e+06			2.51746e+06	
O00762ups|UBE2C_HUMAN_UPS	Ubiquitin-conjugating	Ubiquitin-conjugating		3	3	2.28215e+07	1.05755e+06	1.94619e+06	2.10324e+07	2.16567e+07	1.60519e+06
O76070ups|SYUG_HUMAN_UPS	Gamma-synuclein	Gamma-synuclein		7	7	7.49717e+07	1.16606e+07	6.72186e+06	7.83488e+07	7.88667e+07	
P00167ups|CYB5_HUMAN_UPS	Cytochrome	Cytochrome		5	5	2.52465e+07			2.57261e+07	2.27619e+07	
P00350	6PGD_ECOLI	gnd	6-phosphogluconate dehydrogenase, decarboxylating	28	28	3.35456e+08	3.33473e+08	3.30593e+08	3.44533e+08	3.4102e+08	3.33177e+08
P00363	FRDA_ECOLI	frdA	Fumarate reductase flavoprotein subunit	28	28	2.23325e+08	2.43763e+08	2.38776e+08	2.43826e+08	2.40272e+08	2.40831e+08
P00370	DHE4_ECOLI	gdhA	NADP-specific glutamate dehydrogenase	10	10	1.55762e+07	1.44844e+07	1.50783e+07	1.5598e+07	1.46402e+07	1.49628e+07
P00393	DHNA_ECOLI	ndh	NADH dehydrogenase	18	18	2.93676e+07	2.87125e+07	2.97379e+07	2.95574e+07	2.98389e+07	2.84878e+07
P00441ups|SODC_HUMAN_UPS	Superoxide	Superoxide		1	1	1.37849e+07			1.45922e+07	1.37973e+07	
P00448	SODM_ECOLI	sodA	Superoxide dismutase [Mn]	9	9	4.7978e+07	4.63914e+07	4.60968e+07	4.72796e+07	5.00625e+07	4.72403e+07
P00452	RIR1_ECOLI	nrdA	Ribonucleoside-diphosphate reductase 1 subunit alpha	33	33	4.50651e+07	4.40754e+07	4.37548e+07	4.39352e+07	4.47813e+07	4.37671e+07
P00490	PHSM_ECOLI	malP	Maltodextrin phosphorylase	31	31	3.52008e+07	3.78745e+07	3.77159e+07	3.78831e+07	3.85814e+07	3.80513e+07
P00509	AAT_ECOLI	aspC	Aspartate aminotransferase	28	28	1.02646e+08	1.0192e+08	1.02826e+08	1.05033e+08	1.04966e+08	1.0161e+08
P00547	KHSE_ECOLI	thrB	Homoserine kinase	3	3	3.76004e+06	3.8355e+06	3.19991e+06	3.50941e+06	3.57098e+06	3.92398e+06
P00550	PTM3C_ECOLI	mtlA	PTS system mannitol-specific EIICBA component	5	5	3.83867e+06	4.15411e+06	4.0003e+06	3.59583e+06	3.5123e+06	4.17902e+06
P00561	AK1H_ECOLI	thrA	Bifunctional aspartokinase/homoserine dehydrogenase 1	13	13	1.67878e+07	1.63434e+07	1.66419e+07	1.57124e+07	1.69672e+07	1.59711e+07
P00562	AK2H_ECOLI	metL	Bifunctional aspartokinase/homoserine dehydrogenase 2	16	16	8.4807e+06	7.67638e+06	7.39698e+06	7.87053e+06	7.69305e+06	7.41243e+06
P00579	RPOD_ECOLI	rpoD	RNA polymerase sigma factor RpoD	20	19	1.44657e+08	1.44595e+08	1.37044e+08	1.42202e+08	1.46162e+08	1.35234e+08
P00582	DPO1_ECOLI	polA	DNA polymerase I	45	45	2.16595e+07	2.40996e+07	2.41179e+07	2.38653e+07	2.31254e+07	2.3392e+07
P00709ups|LALBA_HUMAN_UPS	Alpha-lactalbumin	Alpha-lactalbumin		1	1	1.72028e+07			1.19773e+07	1.38468e+07	
P00803	LEP_ECOLI	lepB	Signal peptidase I	7	7	1.66009e+07	1.60097e+07	1.53502e+07	1.53442e+07	1.61065e+07	1.57856e+07
P00805	ASPG2_ECOLI	ansB	L-asparaginase 2	21	21	1.24947e+08	1.40913e+08	1.37915e+08	1.37669e+08	1.34775e+08	1.37413e+08
P00811	AMPC_ECOLI	ampC	Beta-lactamase	4	4	7.00171e+06	8.15993e+06	7.75385e+06	8.61715e+06	8.6714e+06	9.14468e+06
P00861	DCDA_ECOLI	lysA	Diaminopimelate decarboxylase	2	2	1.06397e+06	1.30517e+06	1.14218e+06	1.2066e+06	1.0279e+06	1.19063e+06
P00864	CAPP_ECOLI	ppc	Phosphoenolpyruvate carboxylase	41	41	5.89563e+07	6.10853e+07	5.9761e+07	6.10705e+07	6.33367e+07	6.05961e+07
P00887	AROH_ECOLI	aroH	Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive	4	4	7.9886e+06	7.59257e+06	7.78662e+06	7.68756e+06	6.98622e+06	7.33934e+06
P00888	AROF_ECOLI	aroF	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive	8	7	1.00256e+07	1.0904e+07	1.08071e+07	1.05718e+07	1.00108e+07	1.02571e+07
P00892	ILVG_ECOLI	ilvG	Acetolactate synthase isozyme 2 large subunit	2	2	850826	1.11196e+06	1.07316e+06	1.17936e+06	1.13985e+06	1.27688e+06
P00894	ILVH_ECOLI	ilvH	Acetolactate synthase isozyme 3 small subunit	3	3	1.66026e+06	1.53191e+06	1.35327e+06	1.72817e+06	1.32678e+06	1.62888e+06
P00914	PHR_ECOLI	phrB	Deoxyribodipyrimidine photo-lyase	4	4	1.77247e+06	1.60042e+06	1.63693e+06	1.67114e+06	1.80692e+06	1.52691e+06
P00915ups|CAH1_HUMAN_UPS	Carbonic	Carbonic		9	9	2.95585e+07			2.75041e+07	2.87573e+07	
P00918ups|CAH2_HUMAN_UPS	Carbonic	Carbonic		8	8	3.28656e+07	3.37934e+06	3.22149e+06	3.60019e+07	3.81719e+07	3.24071e+06
P00926	SDHD_ECOLI	dsdA	D-serine dehydratase	4	4	2.97738e+06	2.87021e+06	3.1676e+06	2.92764e+06	2.74282e+06	3.12246e+06
P00934	THRC_ECOLI	thrC	Threonine synthase	14	14	1.60823e+07	1.80564e+07	1.75278e+07	1.67366e+07	1.74805e+07	1.72236e+07
