Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML
A5A614	YCIZ_ECOLI	yciZ	UPF0509 protein YciZ	2	2		5.70225e+06		5.52043e+06	4.99432e+06	
O00762ups|UBE2C_HUMAN_UPS	Ubiquitin-conjugating	Ubiquitin-conjugating		3	3	2.09774e+07	4.02679e+06	1.946e+07	3.60002e+06	2.02157e+07	3.44486e+06
O76070ups|SYUG_HUMAN_UPS	Gamma-synuclein	Gamma-synuclein		7	7	8.00119e+07	2.48736e+07	8.84526e+07	2.14246e+07	8.74149e+07	2.30031e+07
P00167ups|CYB5_HUMAN_UPS	Cytochrome	Cytochrome		5	5	2.59106e+07	5.82748e+06	2.39971e+07		2.10192e+07	4.74235e+06
P00350	6PGD_ECOLI	gnd	6-phosphogluconate dehydrogenase, decarboxylating	27	27	3.3646e+08	3.26508e+08	3.42778e+08	3.26002e+08	3.31278e+08	3.28293e+08
P00363	FRDA_ECOLI	frdA	Fumarate reductase flavoprotein subunit	28	28	2.57554e+08	2.65316e+08	2.70665e+08	2.68458e+08	2.63808e+08	2.72653e+08
P00370	DHE4_ECOLI	gdhA	NADP-specific glutamate dehydrogenase	10	10	1.55567e+07	1.41814e+07	1.50271e+07	1.40637e+07	1.40929e+07	1.40014e+07
P00393	DHNA_ECOLI	ndh	NADH dehydrogenase	18	18	2.41509e+07	2.34064e+07	2.53123e+07	2.49145e+07	2.50236e+07	2.38746e+07
P00441ups|SODC_HUMAN_UPS	Superoxide	Superoxide		1	1	1.30039e+07		1.33728e+07		1.28294e+07	
P00448	SODM_ECOLI	sodA	Superoxide dismutase [Mn]	9	9	4.81924e+07	4.42813e+07	4.596e+07	4.63086e+07	4.72448e+07	4.30816e+07
P00452	RIR1_ECOLI	nrdA	Ribonucleoside-diphosphate reductase 1 subunit alpha	32	32	4.57225e+07	4.37589e+07	4.28965e+07	4.32566e+07	4.29848e+07	4.3515e+07
P00490	PHSM_ECOLI	malP	Maltodextrin phosphorylase	30	30	3.34748e+07	3.38868e+07	3.45432e+07	3.45043e+07	3.45238e+07	3.34936e+07
P00509	AAT_ECOLI	aspC	Aspartate aminotransferase	26	26	1.00606e+08	1.00475e+08	1.01613e+08	1.00592e+08	1.0176e+08	9.95081e+07
P00547	KHSE_ECOLI	thrB	Homoserine kinase	2	2	3.30749e+06	3.53153e+06	3.06588e+06	3.06118e+06	3.14934e+06	3.13781e+06
P00550	PTM3C_ECOLI	mtlA	PTS system mannitol-specific EIICBA component	5	5	3.87573e+06	3.76286e+06	3.50407e+06	3.91594e+06	3.43755e+06	3.83258e+06
