Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML
O00762ups|UBE2C_HUMAN_UPS	Ubiquitin-conjugating	Ubiquitin-conjugating		4	4	9.71942e+06	2.09335e+07	9.67282e+06	1.9347e+07	1.96781e+07	9.83281e+06
O76070ups|SYUG_HUMAN_UPS	Gamma-synuclein	Gamma-synuclein		7	7	3.8964e+07	8.64543e+07	4.50273e+07	8.86503e+07	8.99607e+07	4.2681e+07
P00167ups|CYB5_HUMAN_UPS	Cytochrome	Cytochrome		5	5	1.16645e+07	2.42081e+07	1.11436e+07	2.39431e+07	2.173e+07	1.17646e+07
P00350	6PGD_ECOLI	gnd	6-phosphogluconate dehydrogenase, decarboxylating	27	27	2.91811e+08	2.95649e+08	2.85815e+08	2.91446e+08	2.84963e+08	2.84781e+08
P00363	FRDA_ECOLI	frdA	Fumarate reductase flavoprotein subunit	28	28	2.71601e+08	2.47201e+08	2.55413e+08	2.66099e+08	2.59932e+08	2.60988e+08
P00370	DHE4_ECOLI	gdhA	NADP-specific glutamate dehydrogenase	11	11	1.44163e+07	1.65564e+07	1.4992e+07	1.62838e+07	1.55822e+07	1.4768e+07
P00393	DHNA_ECOLI	ndh	NADH dehydrogenase	18	18	3.02769e+07	3.24445e+07	2.88848e+07	3.11354e+07	3.01567e+07	2.88539e+07
P00441ups|SODC_HUMAN_UPS	Superoxide	Superoxide		1	1		1.40971e+07	6.75499e+06	1.36972e+07	1.37301e+07	
P00448	SODM_ECOLI	sodA	Superoxide dismutase [Mn]	9	9	4.6345e+07	4.52411e+07	4.48463e+07	4.69151e+07	4.88108e+07	4.54068e+07
P00452	RIR1_ECOLI	nrdA	Ribonucleoside-diphosphate reductase 1 subunit alpha	32	32	4.59068e+07	4.83177e+07	4.33934e+07	4.50032e+07	4.46844e+07	4.57417e+07
P00490	PHSM_ECOLI	malP	Maltodextrin phosphorylase	32	32	3.8483e+07	3.78173e+07	3.78891e+07	3.8836e+07	3.82429e+07	3.83822e+07
P00509	AAT_ECOLI	aspC	Aspartate aminotransferase	26	26	1.04975e+08	1.06765e+08	1.04124e+08	1.06178e+08	1.06636e+08	1.02828e+08
P00547	KHSE_ECOLI	thrB	Homoserine kinase	2	2	4.05957e+06	3.6401e+06	3.69881e+06	3.53966e+06	3.49083e+06	3.51144e+06
