Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML
O00762ups|UBE2C_HUMAN_UPS	Ubiquitin-conjugating	Ubiquitin-conjugating		7	7		5.2705e+07		5.18051e+07	5.11429e+07	
O76070ups|SYUG_HUMAN_UPS	Gamma-synuclein	Gamma-synuclein		8	8		1.87447e+08		1.79524e+08	1.84424e+08	
P00167ups|CYB5_HUMAN_UPS	Cytochrome	Cytochrome		5	5		5.47828e+07		5.21967e+07	5.56604e+07	
P00350	6PGD_ECOLI	gnd	6-phosphogluconate dehydrogenase, decarboxylating	28	28	3.47001e+08	3.34313e+08	3.44695e+08	3.32718e+08	3.2053e+08	3.35597e+08
P00363	FRDA_ECOLI	frdA	Fumarate reductase flavoprotein subunit	28	28	2.19396e+08	2.03071e+08	2.07366e+08	2.05712e+08	2.09051e+08	2.13392e+08
P00370	DHE4_ECOLI	gdhA	NADP-specific glutamate dehydrogenase	10	10	1.59027e+07	1.58465e+07	1.51961e+07	1.55899e+07	1.60849e+07	1.64658e+07
P00393	DHNA_ECOLI	ndh	NADH dehydrogenase	18	18	3.2422e+07	3.20422e+07	3.17132e+07	3.02174e+07	3.05306e+07	3.25222e+07
P00441ups|SODC_HUMAN_UPS	Superoxide	Superoxide		2	2		2.98051e+07		3.30336e+07	3.27876e+07	
P00448	SODM_ECOLI	sodA	Superoxide dismutase [Mn]	9	9	4.88431e+07	4.705e+07	4.56794e+07	4.77608e+07	4.72734e+07	4.80164e+07
P00452	RIR1_ECOLI	nrdA	Ribonucleoside-diphosphate reductase 1 subunit alpha	32	32	4.25873e+07	4.1224e+07	4.23753e+07	4.03033e+07	4.18219e+07	4.34248e+07
