Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML
O00762ups|UBE2C_HUMAN_UPS	Ubiquitin-conjugating	Ubiquitin-conjugating		2	2			2.18647e+06	2.37001e+06		2.19233e+06
O76070ups|SYUG_HUMAN_UPS	Gamma-synuclein	Gamma-synuclein		3	3			1.55705e+07	1.40287e+07		1.44681e+07
P00350	6PGD_ECOLI	gnd	6-phosphogluconate dehydrogenase, decarboxylating	27	27	3.26451e+08	3.23351e+08	3.08322e+08	3.10723e+08	3.12382e+08	3.14795e+08
P00363	FRDA_ECOLI	frdA	Fumarate reductase flavoprotein subunit	28	28	2.35025e+08	2.24679e+08	2.3127e+08	2.3666e+08	2.31615e+08	2.39218e+08
P00370	DHE4_ECOLI	gdhA	NADP-specific glutamate dehydrogenase	11	11	1.51228e+07	1.47461e+07	1.48467e+07	1.40659e+07	1.58542e+07	1.47014e+07
P00393	DHNA_ECOLI	ndh	NADH dehydrogenase	18	18	3.52258e+07	3.3892e+07	3.223e+07	3.30868e+07	3.51201e+07	3.32621e+07
P00448	SODM_ECOLI	sodA	Superoxide dismutase [Mn]	8	8	4.64808e+07	4.37193e+07	4.19052e+07	4.39677e+07	4.56026e+07	4.17213e+07
P00452	RIR1_ECOLI	nrdA	Ribonucleoside-diphosphate reductase 1 subunit alpha	33	33	4.00977e+07	4.08481e+07	4.02254e+07	3.95376e+07	4.11494e+07	3.98221e+07
P00490	PHSM_ECOLI	malP	Maltodextrin phosphorylase	30	30	3.38178e+07	3.46948e+07	3.34468e+07	3.35299e+07	3.49393e+07	3.34535e+07
P00509	AAT_ECOLI	aspC	Aspartate aminotransferase	27	27	9.54702e+07	9.45854e+07	9.03864e+07	9.23824e+07	9.33378e+07	9.26144e+07
P00547	KHSE_ECOLI	thrB	Homoserine kinase	2	2	2.88101e+06	3.29421e+06	3.99378e+06	3.39196e+06	3.25564e+06	3.56318e+06
P00550	PTM3C_ECOLI	mtlA	PTS system mannitol-specific EIICBA component	4	4	3.59171e+06	3.752e+06	3.70952e+06	3.73708e+06	3.75109e+06	3.59369e+06
P00561	AK1H_ECOLI	thrA	Bifunctional aspartokinase/homoserine dehydrogenase 1	13	13	1.22038e+07	1.3056e+07	1.40258e+07	1.35154e+07	1.2553e+07	1.35371e+07
P00562	AK2H_ECOLI	metL	Bifunctional aspartokinase/homoserine dehydrogenase 2	19	19	7.18321e+06	7.56932e+06	7.38393e+06	7.2901e+06	7.64098e+06	7.35288e+06
P00579	RPOD_ECOLI	rpoD	RNA polymerase sigma factor RpoD	21	20	1.29691e+08	1.35225e+08	1.33425e+08	1.34359e+08	1.36152e+08	1.32394e+08
