Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML
A5A614	YCIZ_ECOLI	yciZ	UPF0509 protein YciZ	1	1			3.58698e+06			
O00762ups|UBE2C_HUMAN_UPS	Ubiquitin-conjugating	Ubiquitin-conjugating		2	2	651622	2.50308e+06	1.12026e+06	2.76173e+06	2.45515e+06	746418
O76070ups|SYUG_HUMAN_UPS	Gamma-synuclein	Gamma-synuclein		2	2	2.26885e+06	5.08761e+06		3.79062e+06	4.47146e+06	
P00167ups|CYB5_HUMAN_UPS	Cytochrome	Cytochrome		1	1		4.05227e+06			3.41889e+06	
P00350	6PGD_ECOLI	gnd	6-phosphogluconate dehydrogenase, decarboxylating	26	26	3.23898e+08	3.34996e+08	3.30918e+08	3.23004e+08	3.31031e+08	3.28811e+08
P00363	FRDA_ECOLI	frdA	Fumarate reductase flavoprotein subunit	28	28	2.47152e+08	2.44802e+08	2.44626e+08	2.41332e+08	2.4544e+08	2.47384e+08
P00370	DHE4_ECOLI	gdhA	NADP-specific glutamate dehydrogenase	10	10	1.53804e+07	1.50951e+07	1.55491e+07	1.47882e+07	1.51179e+07	1.51321e+07
P00393	DHNA_ECOLI	ndh	NADH dehydrogenase	18	18	3.04706e+07	3.02696e+07	3.14845e+07	3.10655e+07	3.02375e+07	3.12375e+07
P00448	SODM_ECOLI	sodA	Superoxide dismutase [Mn]	9	9	4.45163e+07	4.29501e+07	4.23046e+07	4.42753e+07	4.16477e+07	4.55839e+07
P00452	RIR1_ECOLI	nrdA	Ribonucleoside-diphosphate reductase 1 subunit alpha	32	32	4.22312e+07	4.37612e+07	4.21378e+07	4.2343e+07	4.30401e+07	4.24926e+07
P00490	PHSM_ECOLI	malP	Maltodextrin phosphorylase	30	30	3.67726e+07	3.61986e+07	3.65685e+07	3.69541e+07	3.61101e+07	3.65085e+07
P00509	AAT_ECOLI	aspC	Aspartate aminotransferase	27	27	9.75831e+07	9.93862e+07	9.88771e+07	9.7742e+07	9.83823e+07	9.80732e+07
P00547	KHSE_ECOLI	thrB	Homoserine kinase	3	3	3.24634e+06	3.33773e+06	2.66532e+06	3.15155e+06	3.11315e+06	2.71997e+06
P00550	PTM3C_ECOLI	mtlA	PTS system mannitol-specific EIICBA component	4	4	3.58307e+06	3.67309e+06	3.82443e+06	4.01384e+06	3.90289e+06	4.35793e+06
P00561	AK1H_ECOLI	thrA	Bifunctional aspartokinase/homoserine dehydrogenase 1	12	12	1.45038e+07	1.55745e+07	1.48526e+07	1.39087e+07	1.47922e+07	1.37794e+07
P00562	AK2H_ECOLI	metL	Bifunctional aspartokinase/homoserine dehydrogenase 2	18	18	6.94236e+06	7.23072e+06	7.17126e+06	7.21684e+06	7.29059e+06	7.09904e+06
P00579	RPOD_ECOLI	rpoD	RNA polymerase sigma factor RpoD	21	20	1.41456e+08	1.38611e+08	1.36674e+08	1.30361e+08	1.34339e+08	1.3556e+08
P00582	DPO1_ECOLI	polA	DNA polymerase I	43	43	2.37046e+07	2.47142e+07	2.48968e+07	2.37945e+07	2.51042e+07	2.38709e+07
