Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML
O00762ups|UBE2C_HUMAN_UPS	Ubiquitin-conjugating	Ubiquitin-conjugating		7	7		9.97836e+07		9.76381e+07		9.57334e+07
O76070ups|SYUG_HUMAN_UPS	Gamma-synuclein	Gamma-synuclein		12	11		1.62544e+08		1.71719e+08		1.70695e+08
P00167ups|CYB5_HUMAN_UPS	Cytochrome	Cytochrome		5	5		1.28635e+08		1.24091e+08		1.27891e+08
P00350	6PGD_ECOLI	gnd	6-phosphogluconate dehydrogenase, decarboxylating	30	30	3.66555e+08	3.68916e+08	3.50795e+08	3.71166e+08	3.43428e+08	3.64684e+08
P00363	FRDA_ECOLI	frdA	Fumarate reductase flavoprotein subunit	27	27	2.12112e+08	1.97952e+08	2.05309e+08	2.01164e+08	2.07124e+08	1.96433e+08
P00370	DHE4_ECOLI	gdhA	NADP-specific glutamate dehydrogenase	11	11	1.51934e+07	1.44774e+07	1.46391e+07	1.47268e+07	1.52497e+07	1.48635e+07
P00393	DHNA_ECOLI	ndh	NADH dehydrogenase	19	19	2.53595e+07	2.60601e+07	2.57663e+07	2.45337e+07	2.48511e+07	2.46204e+07
P00441ups|SODC_HUMAN_UPS	Superoxide	Superoxide		2	2		5.90243e+07		5.93438e+07		5.73021e+07
P00448	SODM_ECOLI	sodA	Superoxide dismutase [Mn]	9	9	4.03338e+07	4.1956e+07	4.03851e+07	4.13147e+07	3.93978e+07	4.0983e+07
P00452	RIR1_ECOLI	nrdA	Ribonucleoside-diphosphate reductase 1 subunit alpha	30	30	4.24749e+07	4.24117e+07	4.0391e+07	4.33602e+07	4.21878e+07	4.28311e+07
P00490	PHSM_ECOLI	malP	Maltodextrin phosphorylase	30	30	3.73389e+07	3.55996e+07	3.56112e+07	3.4869e+07	3.58378e+07	3.47295e+07
P00509	AAT_ECOLI	aspC	Aspartate aminotransferase	28	28	9.76642e+07	1.00047e+08	9.81948e+07	1.04208e+08	9.84149e+07	9.84757e+07
P00547	KHSE_ECOLI	thrB	Homoserine kinase	3	3	3.6215e+06	3.45118e+06	3.66982e+06	3.64126e+06	3.37594e+06	3.1415e+06
P00550	PTM3C_ECOLI	mtlA	PTS system mannitol-specific EIICBA component	5	5	3.47338e+06	3.16595e+06	3.70928e+06	3.52178e+06	3.46778e+06	3.14982e+06
P00561	AK1H_ECOLI	thrA	Bifunctional aspartokinase/homoserine dehydrogenase 1	14	14	1.20716e+07	1.15559e+07	1.23727e+07	1.06203e+07	1.15665e+07	1.14154e+07
P00562	AK2H_ECOLI	metL	Bifunctional aspartokinase/homoserine dehydrogenase 2	18	18	7.66545e+06	7.24598e+06	7.37966e+06	7.448e+06	7.54987e+06	7.26514e+06
P00579	RPOD_ECOLI	rpoD	RNA polymerase sigma factor RpoD	20	19	8.60575e+07	8.36074e+07	8.40549e+07	8.99136e+07	8.61821e+07	8.87607e+07
