Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML
O00762ups|UBE2C_HUMAN_UPS	Ubiquitin-conjugating	Ubiquitin-conjugating		7	7	9.57951e+07	966700	9.58803e+07	1.64346e+06	9.58466e+07	1.63435e+06
O76070ups|SYUG_HUMAN_UPS	Gamma-synuclein	Gamma-synuclein		12	11	1.60138e+08	4.86504e+06	1.63183e+08		1.63263e+08	
P00167ups|CYB5_HUMAN_UPS	Cytochrome	Cytochrome		5	5	1.43676e+08		1.35298e+08		1.43611e+08	
P00350	6PGD_ECOLI	gnd	6-phosphogluconate dehydrogenase, decarboxylating	27	27	3.49849e+08	3.36378e+08	3.56325e+08	3.40534e+08	3.48712e+08	3.38784e+08
P00363	FRDA_ECOLI	frdA	Fumarate reductase flavoprotein subunit	28	28	2.3204e+08	2.18182e+08	2.06973e+08	2.20624e+08	2.05438e+08	2.23249e+08
P00370	DHE4_ECOLI	gdhA	NADP-specific glutamate dehydrogenase	10	10	1.34758e+07	1.26953e+07	1.32207e+07	1.39724e+07	1.32747e+07	1.30293e+07
P00393	DHNA_ECOLI	ndh	NADH dehydrogenase	18	18	2.72025e+07	2.47645e+07	2.60189e+07	2.69181e+07	2.5535e+07	2.60773e+07
P00441ups|SODC_HUMAN_UPS	Superoxide	Superoxide		2	2	5.0883e+07		5.89513e+07		5.49681e+07	
P00448	SODM_ECOLI	sodA	Superoxide dismutase [Mn]	9	9	3.96432e+07	3.81218e+07	3.89831e+07	3.96105e+07	3.84659e+07	4.13955e+07
P00452	RIR1_ECOLI	nrdA	Ribonucleoside-diphosphate reductase 1 subunit alpha	32	32	4.21823e+07	3.9884e+07	4.35624e+07	4.0461e+07	4.31107e+07	3.99852e+07
P00490	PHSM_ECOLI	malP	Maltodextrin phosphorylase	30	30	3.50722e+07	3.65352e+07	3.44299e+07	3.72484e+07	3.5938e+07	3.71758e+07
P00509	AAT_ECOLI	aspC	Aspartate aminotransferase	27	27	9.63542e+07	9.48782e+07	1.02802e+08	9.64417e+07	9.72662e+07	9.76999e+07
P00547	KHSE_ECOLI	thrB	Homoserine kinase	3	3	2.85526e+06	2.83087e+06	2.83277e+06	2.42009e+06	2.80376e+06	2.89305e+06
P00550	PTM3C_ECOLI	mtlA	PTS system mannitol-specific EIICBA component	4	4	3.00073e+06	3.30196e+06	2.71406e+06	3.19331e+06	3.26037e+06	4.04638e+06
P00561	AK1H_ECOLI	thrA	Bifunctional aspartokinase/homoserine dehydrogenase 1	12	12	1.1447e+07	1.16921e+07	1.10957e+07	1.21123e+07	1.118e+07	1.14567e+07
P00562	AK2H_ECOLI	metL	Bifunctional aspartokinase/homoserine dehydrogenase 2	15	15	7.19779e+06	7.57256e+06	7.35674e+06	7.53694e+06	7.43015e+06	7.54442e+06
P00579	RPOD_ECOLI	rpoD	RNA polymerase sigma factor RpoD	20	19	7.61607e+07	7.81677e+07	8.38228e+07	7.86048e+07	8.0302e+07	7.73845e+07
P00582	DPO1_ECOLI	polA	DNA polymerase I	44	44	2.25723e+07	2.18462e+07	2.29674e+07	2.32958e+07	2.24736e+07	2.28356e+07
P00709ups|LALBA_HUMAN_UPS	Alpha-lactalbumin	Alpha-lactalbumin		2	2	7.47492e+07		7.42765e+07		8.01432e+07	
P00803	LEP_ECOLI	lepB	Signal peptidase I	7	7	1.39421e+07	1.22519e+07	1.37572e+07	1.32138e+07	1.40115e+07	1.37961e+07
P00805	ASPG2_ECOLI	ansB	L-asparaginase 2	20	20	1.28843e+08	1.31322e+08	1.36491e+08	1.33152e+08	1.35237e+08	1.33292e+08
P00811	AMPC_ECOLI	ampC	Beta-lactamase	5	5	4.83907e+06	3.85177e+06	4.66032e+06	4.32804e+06	4.78854e+06	4.31028e+06
P00861	DCDA_ECOLI	lysA	Diaminopimelate decarboxylase	2	2	878358	872595	788353	820637	873578	799028
P00864	CAPP_ECOLI	ppc	Phosphoenolpyruvate carboxylase	42	42	5.60202e+07	5.53585e+07	5.88275e+07	5.65059e+07	5.81358e+07	5.76438e+07
P00887	AROH_ECOLI	aroH	Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive	4	4	8.7641e+06	7.69531e+06	9.00003e+06	7.69346e+06	9.66804e+06	7.50838e+06
P00888	AROF_ECOLI	aroF	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive	8	7	9.70726e+06	1.04601e+07	1.0483e+07	1.09594e+07	1.04929e+07	1.05821e+07
P00892	ILVG_ECOLI	ilvG	Acetolactate synthase isozyme 2 large subunit	2	2	691835	955158		916329	797049	812797
P00894	ILVH_ECOLI	ilvH	Acetolactate synthase isozyme 3 small subunit	3	3	1.09187e+06	1.19521e+06	1.30295e+06	1.03654e+06	1.27351e+06	1.46911e+06
P00914	PHR_ECOLI	phrB	Deoxyribodipyrimidine photo-lyase	3	3	1.95286e+06	1.5813e+06	1.60282e+06	1.69573e+06	1.88e+06	1.33472e+06
P00915ups|CAH1_HUMAN_UPS	Carbonic	Carbonic		10	10	1.30808e+08		1.24806e+08		1.33603e+08	
P00918ups|CAH2_HUMAN_UPS	Carbonic	Carbonic		11	11	1.97422e+08	3.25437e+06	1.9537e+08	3.1942e+06	2.00441e+08	3.21743e+06
P00926	SDHD_ECOLI	dsdA	D-serine dehydratase	4	4	1.73407e+06	2.07641e+06	1.40544e+06	1.86479e+06	1.83201e+06	2.16467e+06
P00934	THRC_ECOLI	thrC	Threonine synthase	14	14	1.50426e+07	1.68814e+07	1.56987e+07	1.68414e+07	1.78166e+07	1.60286e+07
P00935	METB_ECOLI	metB	Cystathionine gamma-synthase	2	2	2.49536e+06	1.82917e+06	2.10143e+06	1.85467e+06	1.83822e+06	1.74169e+06
P00936	CYAA_ECOLI	cyaA	Adenylate cyclase	3	3	2.68743e+06	2.53033e+06	2.92187e+06	2.7313e+06	2.98618e+06	1.93762e+06
P00946	MANA_ECOLI	manA	Mannose-6-phosphate isomerase	11	11	5.21105e+07	5.13716e+07	5.20999e+07	4.93528e+07	5.19925e+07	5.0547e+07
P00954	SYW_ECOLI	trpS	Tryptophan--tRNA ligase	12	12	8.29893e+07	8.70073e+07	7.95664e+07	8.91334e+07	8.36757e+07	8.93954e+07
P00956	SYI_ECOLI	ileS	Isoleucine--tRNA ligase	39	39	1.12609e+08	1.09823e+08	1.10497e+08	1.08565e+08	1.13129e+08	1.10303e+08
P00957	SYA_ECOLI	alaS	Alanine--tRNA ligase	41	41	1.26957e+08	1.29067e+08	1.2898e+08	1.29163e+08	1.27713e+08	1.27478e+08
P00959	SYM_ECOLI	metG	Methionine--tRNA ligase	33	33	6.14794e+07	5.87484e+07	6.05315e+07	6.02258e+07	6.11196e+07	6.01402e+07
P00960	SYGA_ECOLI	glyQ	Glycine--tRNA ligase alpha subunit	10	10	3.33966e+07	3.0562e+07	3.43275e+07	3.06885e+07	3.28381e+07	2.94296e+07
P00961	SYGB_ECOLI	glyS	Glycine--tRNA ligase beta subunit	38	38	7.2992e+07	7.12102e+07	7.19783e+07	7.21087e+07	7.31748e+07	7.37143e+07
P00962	SYQ_ECOLI	glnS	Glutamine--tRNA ligase	29	29	7.64489e+07	7.52872e+07	7.69234e+07	7.77388e+07	7.9326e+07	7.75412e+07
P00963	ASNA_ECOLI	asnA	Aspartate--ammonia ligase	9	9	1.00135e+08	9.97755e+07	1.00714e+08	9.73783e+07	1.01895e+08	1.03838e+08
P00968	CARB_ECOLI	carB	Carbamoyl-phosphate synthase large chain	30	30	1.75216e+07	1.78067e+07	1.83148e+07	1.81436e+07	1.74828e+07	1.80893e+07
P01008ups|ANT3_HUMAN_UPS	Antithrombin-III	Antithrombin-III		16	16	1.46614e+08	3.60572e+06	1.42254e+08	3.46255e+06	1.46103e+08	3.59398e+06
P01112ups|RASH_HUMAN_UPS	GTPase	GTPase		8	8	8.22907e+07		8.48106e+07		8.34179e+07	
P01127ups|PDGFB_HUMAN_UPS	Platelet-derived	Platelet-derived		4	4	1.12343e+08	2.98709e+06	1.11637e+08	2.66252e+06	1.11498e+08	
P01133ups|EGF_HUMAN_UPS	Pro-Epidermal	Pro-Epidermal		1	1	5.37452e+07		4.83817e+07		4.89103e+07	
P01344ups|IGF2_HUMAN_UPS	Insulin-like	Insulin-like		1	1	6.68638e+07		6.00713e+07		6.81534e+07	
P01375ups|TNFA_HUMAN_UPS	Tumor	Tumor		7	7	1.02176e+08		1.00029e+08		9.77205e+07	
P01579ups|IFNG_HUMAN_UPS	Interferon	Interferon		8	8	1.40461e+08	3.11436e+06	1.45274e+08	4.46194e+06	1.46038e+08	4.07092e+06
P02144ups|MYG_HUMAN_UPS	Myoglobin	Myoglobin		9	9	1.51491e+08	1.76443e+06	1.43882e+08	1.55091e+06	1.53881e+08	2.6797e+06
P02358	RS6_ECOLI	rpsF	30S ribosomal protein S6	11	11	8.40196e+08	9.0818e+08	9.01195e+08	9.18584e+08	8.66995e+08	8.97153e+08
P02359	RS7_ECOLI	rpsG	30S ribosomal protein S7	14	14	8.93257e+08	9.20829e+08	8.95317e+08	9.40405e+08	9.47456e+08	9.28493e+08
P02413	RL15_ECOLI	rplO	50S ribosomal protein L15	12	12	7.66939e+08	8.2417e+08	7.92667e+08	8.24351e+08	7.77762e+08	8.16743e+08
P02741ups|CRP_HUMAN_UPS	C-reactive	C-reactive		7	7	1.97123e+07		2.03784e+07		2.00411e+07	
P02753ups|RETBP_HUMAN_UPS	Retinol-binding	Retinol-binding		4	4	1.68236e+07		1.88183e+07		1.59529e+07	
P02768ups|ALBU_HUMAN_UPS	Serum	Serum		24	24	2.76986e+08	5.76886e+06	2.78241e+08	5.70782e+06	2.6883e+08	4.0541e+06
P02787ups|TRFE_HUMAN_UPS	Serotransferrin	Serotransferrin		20	20	1.64432e+08		1.62559e+08		1.6665e+08	
P02788ups|TRFL_HUMAN_UPS	Lactotransferrin	Lactotransferrin		23	23	1.44402e+08	2.45277e+06	1.47493e+08	2.19809e+06	1.43373e+08	2.70863e+06
P02918	PBPA_ECOLI	mrcA	Penicillin-binding protein 1A	7	7	1.84509e+07	1.66661e+07	1.86349e+07	1.95023e+07	1.8861e+07	1.84338e+07
P02919	PBPB_ECOLI	mrcB	Penicillin-binding protein 1B	15	15	2.23712e+07	2.13208e+07	2.20349e+07	2.07063e+07	2.33525e+07	2.05551e+07
P02925	RBSB_ECOLI	rbsB	D-ribose-binding periplasmic protein	13	13	4.40213e+07	4.12701e+07	4.44102e+07	4.27941e+07	4.3257e+07	4.23287e+07
P02930	TOLC_ECOLI	tolC	Outer membrane protein TolC	15	15	1.20831e+08	1.20566e+08	1.21962e+08	1.24744e+08	1.21893e+08	1.24292e+08
P02931	OMPF_ECOLI	ompF	Outer membrane protein F	16	15	2.04239e+08	2.0362e+08	2.15036e+08	2.03618e+08	1.93381e+08	1.98662e+08
P02932	PHOE_ECOLI	phoE	Outer membrane pore protein E	1	1	1.26907e+06	918471	1.53965e+06	1.01466e+06	970538	977758
P02942	MCP1_ECOLI	tsr	Methyl-accepting chemotaxis protein I	17	15	7.09289e+07	6.69999e+07	7.28196e+07	7.02359e+07	7.21146e+07	6.72551e+07
P02943	LAMB_ECOLI	lamB	Maltoporin	9	9	9.13806e+06	9.12827e+06	8.43048e+06	8.52846e+06	9.59196e+06	9.37756e+06
P03004	DNAA_ECOLI	dnaA	Chromosomal replication initiator protein DnaA	13	13	6.22641e+06	6.14318e+06	6.60928e+06	6.33853e+06	6.73674e+06	5.96559e+06
P03007	DPO3E_ECOLI	dnaQ	DNA polymerase III subunit epsilon	3	3	2.21762e+06	2.5024e+06		2.24364e+06	2.38226e+06	2.1902e+06
P03018	UVRD_ECOLI	uvrD	DNA helicase II	10	10	7.04636e+06	6.55574e+06	6.92548e+06	6.13832e+06	7.53235e+06	6.28766e+06
P03023	LACI_ECOLI	lacI	Lactose operon repressor	4	4	2.0506e+06	2.35941e+06	1.91237e+06	1.92497e+06	1.61033e+06	1.30295e+06
P03024	GALR_ECOLI	galR	HTH-type transcriptional regulator GalR	3	3	6.89114e+06	6.63724e+06	7.71035e+06	7.0408e+06	7.50363e+06	6.50555e+06
P03817	MIOC_ECOLI	mioC	Protein MioC	1	1	3.89445e+07	3.67055e+07	4.00314e+07	3.5932e+07	3.79093e+07	3.70652e+07
P03841	MALM_ECOLI	malM	Maltose operon periplasmic protein	6	6	3.21549e+07	3.16205e+07	3.16444e+07	3.31047e+07	3.24682e+07	3.21255e+07
P04036	DAPB_ECOLI	dapB	4-hydroxy-tetrahydrodipicolinate reductase	9	9	3.53172e+07	3.25043e+07	3.47917e+07	3.47052e+07	3.34806e+07	3.42166e+07
P04040ups|CATA_HUMAN_UPS	Catalase	Catalase		24	24	5.45983e+07	2.56211e+07	5.39847e+07		5.43644e+07	
P04079	GUAA_ECOLI	guaA	GMP synthase [glutamine-hydrolyzing]	26	26	7.46033e+07	7.40967e+07	7.59177e+07	7.52147e+07	7.646e+07	7.54635e+07
P04335	FRSA_ECOLI	frsA	Esterase FrsA	13	13	1.57324e+07	1.57865e+07	1.54843e+07	1.50757e+07	1.71011e+07	1.60255e+07
P04425	GSHB_ECOLI	gshB	Glutathione synthetase	14	14	3.44086e+07	3.7349e+07	3.6357e+07	3.71074e+07	3.58918e+07	3.68707e+07
P04693	TYRB_ECOLI	tyrB	Aromatic-amino-acid aminotransferase	5	5	2.73886e+07	2.49657e+07	2.79284e+07	2.5294e+07	2.61512e+07	2.5239e+07
P04805	SYE_ECOLI	gltX	Glutamate--tRNA ligase	23	23	1.49801e+08	1.41947e+08	1.509e+08	1.45063e+08	1.50509e+08	1.42646e+08
P04825	AMPN_ECOLI	pepN	Aminopeptidase N	26	26	7.38597e+07	7.10085e+07	7.21639e+07	7.09541e+07	7.3116e+07	7.13129e+07
P04846	NLPA_ECOLI	nlpA	Lipoprotein 28	4	4	6.95994e+06	7.15314e+06	8.19005e+06	7.31315e+06	7.72546e+06	7.01579e+06
P04949	FLIC_ECOLI	fliC	Flagellin	15	15	3.70689e+08	3.8705e+08	3.63222e+08	4.16202e+08	3.70182e+08	4.12246e+08
P04951	KDSB_ECOLI	kdsB	3-deoxy-manno-octulosonate cytidylyltransferase	6	6	3.74554e+07	3.45306e+07	3.71951e+07	3.67029e+07	3.68611e+07	3.55163e+07
P04968	ILVA_ECOLI	ilvA	L-threonine dehydratase biosynthetic IlvA	5	5	1.54975e+06	1.36498e+06	1.59812e+06	1.45851e+06	1.57364e+06	1.36902e+06
P04982	RBSD_ECOLI	rbsD	D-ribose pyranase	1	1	6.56784e+06	3.37188e+06	6.32566e+06	5.99358e+06	6.21253e+06	6.85397e+06
P04994	EX7L_ECOLI	xseA	Exodeoxyribonuclease 7 large subunit	4	4	2.73767e+06	2.68612e+06	2.4118e+06	2.88287e+06	1.8341e+06	2.47433e+06
P04995	EX1_ECOLI	sbcB	Exodeoxyribonuclease I	8	8	7.09754e+06	7.39741e+06	7.19434e+06	6.96415e+06	6.55634e+06	7.29843e+06
P05020	PYRC_ECOLI	pyrC	Dihydroorotase	11	11	1.94735e+07	2.05428e+07	1.93821e+07	2.1003e+07	2.00527e+07	2.07682e+07
P05041	PABB_ECOLI	pabB	Para-aminobenzoate synthase component 1	5	5	5.11603e+06	5.11141e+06	5.14152e+06	5.06935e+06	5.30263e+06	4.93608e+06
P05055	PNP_ECOLI	pnp	Polyribonucleotide nucleotidyltransferase	35	35	1.90778e+08	1.94996e+08	1.97578e+08	1.95701e+08	1.91982e+08	1.95847e+08
P05100	3MG1_ECOLI	tag	DNA-3-methyladenine glycosylase 1	1	1	7.01732e+06	5.32906e+06	5.63999e+06	5.5034e+06	6.28227e+06	5.39188e+06
P05194	AROD_ECOLI	aroD	3-dehydroquinate dehydratase	7	7	2.24254e+07	2.162e+07	2.17961e+07	2.15674e+07	2.12392e+07	2.34295e+07
P05413ups|FABPH_HUMAN_UPS	Fatty	Fatty		10	10	1.36098e+08	4.71172e+06	1.39598e+08	4.23278e+06	1.34751e+08	6.09465e+06
P05458	PTRA_ECOLI	ptrA	Protease 3	11	11	6.5197e+06	7.13549e+06	7.85498e+06	7.50052e+06	7.58252e+06	7.65209e+06
P05459	PDXB_ECOLI	pdxB	Erythronate-4-phosphate dehydrogenase	16	16	3.53855e+07	3.32578e+07	3.66238e+07	3.57602e+07	3.50374e+07	3.51901e+07
P05523	FPG_ECOLI	mutM	Formamidopyrimidine-DNA glycosylase	3	3	955349	788936	768759	621626		804576
P05637	APAH_ECOLI	apaH	Bis(5'-nucleosyl)-tetraphosphatase [symmetrical]	8	8	9.05792e+06	1.07347e+07	9.21494e+06	1.08287e+07	9.43674e+06	9.57475e+06
P05706	PTHA_ECOLI	srlB	Glucitol/sorbitol-specific phosphotransferase enzyme IIA component	1	1				1.3064e+06	1.36457e+06	
P05719	T1SK_ECOLI	hsdS	Type-1 restriction enzyme EcoKI specificity protein	4	4	1.08536e+07	1.13091e+07	1.03939e+07	1.1126e+07	9.82782e+06	1.20559e+07
P05791	ILVD_ECOLI	ilvD	Dihydroxy-acid dehydratase	11	11	1.38356e+07	1.307e+07	1.36242e+07	1.34006e+07	1.40746e+07	1.30516e+07
P05793	ILVC_ECOLI	ilvC	Ketol-acid reductoisomerase	14	14	2.06869e+07	2.26459e+07	2.21324e+07	2.14931e+07	2.1087e+07	2.21389e+07
P05825	FEPA_ECOLI	fepA	Ferrienterobactin receptor	15	15	9.70426e+06	9.63814e+06	9.00895e+06	9.9765e+06	9.08909e+06	9.51133e+06
P05852	GCP_ECOLI	gcp	Probable tRNA threonylcarbamoyladenosine biosynthesis protein Gcp	4	4	7.96946e+06	8.88075e+06	9.45465e+06	9.40184e+06	9.24333e+06	9.20864e+06
P06129	BTUB_ECOLI	btuB	Vitamin B12 transporter BtuB	24	24	5.01534e+07	4.8452e+07	4.47723e+07	4.97892e+07	5.27868e+07	5.00005e+07
P06136	FTSQ_ECOLI	ftsQ	Cell division protein FtsQ	3	3	2.62555e+07	2.66584e+07	2.25588e+07	3.08814e+07	2.86488e+07	2.9379e+07
P06149	DLD_ECOLI	dld	D-lactate dehydrogenase	18	18	1.88243e+07	1.7964e+07	1.80605e+07	1.79019e+07	1.9095e+07	1.8433e+07
P06282	CDH_ECOLI	cdh	CDP-diacylglycerol pyrophosphatase	4	4	7.96573e+06	7.04151e+06	8.09272e+06	7.3726e+06	7.84506e+06	7.51751e+06
P06396ups|GELS_HUMAN_UPS	Gelsolin	Gelsolin		21	21	6.58569e+07		6.59551e+07	724405	6.56536e+07	1.10793e+06
P06610	BTUE_ECOLI	btuE	Vitamin B12 transport periplasmic protein BtuE	8	8	5.75867e+07	4.7498e+07	5.45939e+07	5.31958e+07	5.92705e+07	5.26825e+07
P06611	BTUD_ECOLI	btuD	Vitamin B12 import ATP-binding protein BtuD	2	2	2.10757e+06	2.43398e+06	1.55253e+06	2.71235e+06		2.56475e+06
P06612	TOP1_ECOLI	topA	DNA topoisomerase 1	25	25	2.52496e+07	2.62124e+07	2.67046e+07	2.69037e+07	2.70293e+07	2.59429e+07
P06616	ERA_ECOLI	era	GTPase Era	9	9	8.60555e+06	9.06231e+06	8.86131e+06	8.80848e+06	8.38465e+06	9.09977e+06
P06709	BIRA_ECOLI	birA	Bifunctional protein BirA	6	6	4.74176e+06	5.55731e+06	4.72168e+06	5.4729e+06	5.33068e+06	5.13123e+06
P06710	DPO3X_ECOLI	dnaX	DNA polymerase III subunit tau	8	8	5.2015e+06	5.02938e+06	5.04225e+06	5.15653e+06	5.06747e+06	5.37616e+06
P06715	GSHR_ECOLI	gor	Glutathione reductase	12	12	2.10979e+07	2.30006e+07	2.33669e+07	2.31403e+07	2.23391e+07	2.23146e+07
P06721	METC_ECOLI	metC	Cystathionine beta-lyase MetC	2	2	1.83312e+06	2.56431e+06	2.25759e+06	2.05001e+06		2.49466e+06
P06722	MUTH_ECOLI	mutH	DNA mismatch repair protein MutH	3	3	2.26162e+06	1.82731e+06	2.12409e+06	2.0887e+06	2.02441e+06	1.99067e+06
P06732ups|KCRM_HUMAN_UPS	Creatine	Creatine		18	18	8.23958e+07	1.04143e+06	7.9323e+07	1.73051e+06	8.0795e+07	1.55958e+06
P06846	EBGR_ECOLI	ebgR	HTH-type transcriptional regulator EbgR	8	8	4.95764e+06	4.47368e+06	4.99098e+06	5.30007e+06	5.03006e+06	4.51094e+06
P06959	ODP2_ECOLI	aceF	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex	39	39	2.85986e+08	3.02286e+08	2.88905e+08	3.05936e+08	2.98057e+08	3.01824e+08
P06961	CCA_ECOLI	cca	Multifunctional CCA protein	10	10	1.06093e+07	1.13644e+07	1.0392e+07	1.10026e+07	1.02091e+07	1.04245e+07
P06968	DUT_ECOLI	dut	Deoxyuridine 5'-triphosphate nucleotidohydrolase	3	3	7.43782e+07	8.1602e+07	7.83809e+07	8.27008e+07	7.67272e+07	8.09502e+07
P06971	FHUA_ECOLI	fhuA	Ferrichrome-iron receptor	17	17	7.46044e+07	7.47584e+07	7.7898e+07	7.42822e+07	7.60749e+07	7.30399e+07
P06974	FLIM_ECOLI	fliM	Flagellar motor switch protein FliM	9	9	1.14524e+07	1.18454e+07	1.15764e+07	1.22636e+07	1.1417e+07	1.28191e+07
P06983	HEM3_ECOLI	hemC	Porphobilinogen deaminase	13	13	5.73158e+07	6.02781e+07	5.60183e+07	6.01092e+07	5.67174e+07	6.18801e+07
P06986	HIS8_ECOLI	hisC	Histidinol-phosphate aminotransferase	9	9	1.54158e+07	1.3698e+07	1.48811e+07	1.29515e+07	1.46861e+07	1.35804e+07
P06987	HIS7_ECOLI	hisB	Histidine biosynthesis bifunctional protein HisB	8	8	3.24699e+06	3.62056e+06	3.2587e+06	3.65767e+06	3.46898e+06	3.61424e+06
P06988	HISX_ECOLI	hisD	Histidinol dehydrogenase	6	6	4.45475e+06	4.42085e+06	4.05203e+06	4.25466e+06	4.15321e+06	4.18534e+06
P06992	RSMA_ECOLI	rsmA	Ribosomal RNA small subunit methyltransferase A	5	5	1.38496e+08	1.38491e+08	1.45341e+08	1.40238e+08	1.48096e+08	1.47162e+08
P06993	MALT_ECOLI	malT	HTH-type transcriptional regulator MalT	3	3	4.19505e+06	4.86638e+06	3.66698e+06	4.3697e+06	4.28099e+06	4.74929e+06
P06996	OMPC_ECOLI	ompC	Outer membrane protein C	19	16	1.24143e+09	1.32229e+09	1.31379e+09	1.34313e+09	1.25109e+09	1.32319e+09
