Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML
O00762ups|UBE2C_HUMAN_UPS	Ubiquitin-conjugating	Ubiquitin-conjugating		7	7	9.73551e+07	9.69109e+07	4.41368e+06	9.55446e+07	3.34836e+06	3.62653e+06
O76070ups|SYUG_HUMAN_UPS	Gamma-synuclein	Gamma-synuclein		11	10	1.56526e+08	1.60796e+08	1.10229e+07	1.61051e+08	8.46247e+06	1.03591e+07
P00167ups|CYB5_HUMAN_UPS	Cytochrome	Cytochrome		5	5	1.32951e+08	1.32169e+08	6.95097e+06	1.37499e+08		6.50687e+06
P00350	6PGD_ECOLI	gnd	6-phosphogluconate dehydrogenase, decarboxylating	27	27	3.54603e+08	3.61985e+08	3.40172e+08	3.49018e+08	3.2993e+08	3.41967e+08
P00363	FRDA_ECOLI	frdA	Fumarate reductase flavoprotein subunit	27	27	2.1546e+08	1.96601e+08	1.986e+08	1.89644e+08	2.00141e+08	2.01163e+08
P00370	DHE4_ECOLI	gdhA	NADP-specific glutamate dehydrogenase	10	10	1.43097e+07	1.45547e+07	1.36874e+07	1.40748e+07	1.42422e+07	1.36525e+07
P00393	DHNA_ECOLI	ndh	NADH dehydrogenase	19	19	3.50697e+07	3.38631e+07	3.26886e+07	3.28018e+07	3.47954e+07	3.40428e+07
P00441ups|SODC_HUMAN_UPS	Superoxide	Superoxide		2	2	4.96492e+07	5.77915e+07		5.39768e+07		
P00448	SODM_ECOLI	sodA	Superoxide dismutase [Mn]	9	9	4.26533e+07	4.28608e+07	4.08333e+07	4.13217e+07	4.38625e+07	4.03537e+07
P00452	RIR1_ECOLI	nrdA	Ribonucleoside-diphosphate reductase 1 subunit alpha	31	31	4.06707e+07	4.25244e+07	4.03807e+07	4.1038e+07	3.97966e+07	3.98792e+07
P00490	PHSM_ECOLI	malP	Maltodextrin phosphorylase	29	29	3.39777e+07	3.29263e+07	3.35459e+07	3.39599e+07	3.46155e+07	3.43653e+07
P00509	AAT_ECOLI	aspC	Aspartate aminotransferase	27	27	9.28516e+07	1.00802e+08	9.15494e+07	9.44219e+07	9.29139e+07	9.37366e+07
P00547	KHSE_ECOLI	thrB	Homoserine kinase	2	2	2.88189e+06	2.99513e+06	3.07032e+06	2.94611e+06	2.80679e+06	2.88288e+06
P00550	PTM3C_ECOLI	mtlA	PTS system mannitol-specific EIICBA component	4	4	2.7681e+06	2.63495e+06	3.18223e+06	2.92014e+06	3.51159e+06	3.33205e+06
P00561	AK1H_ECOLI	thrA	Bifunctional aspartokinase/homoserine dehydrogenase 1	12	12	1.25286e+07	1.2373e+07	1.33914e+07	1.20345e+07	1.27828e+07	1.35311e+07
P00562	AK2H_ECOLI	metL	Bifunctional aspartokinase/homoserine dehydrogenase 2	17	17	7.26689e+06	7.53136e+06	7.60774e+06	7.33461e+06	7.42353e+06	7.38669e+06
P00579	RPOD_ECOLI	rpoD	RNA polymerase sigma factor RpoD	20	19	8.66735e+07	9.46498e+07	8.74185e+07	9.00293e+07	8.55876e+07	8.63873e+07
P00582	DPO1_ECOLI	polA	DNA polymerase I	40	40	2.23568e+07	2.28548e+07	2.28552e+07	2.1691e+07	2.22373e+07	2.31504e+07
P00709ups|LALBA_HUMAN_UPS	Alpha-lactalbumin	Alpha-lactalbumin		2	2	7.13626e+07	7.14169e+07		7.78021e+07		
