Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML
A5A614	YCIZ_ECOLI	yciZ	UPF0509 protein YciZ	1	1	1.86187e+06	1.90094e+06				
O00762ups|UBE2C_HUMAN_UPS	Ubiquitin-conjugating	Ubiquitin-conjugating		3	3	7.78589e+06	7.47634e+06	3.92891e+06	4.33397e+06	7.29375e+06	3.77095e+06
O76070ups|SYUG_HUMAN_UPS	Gamma-synuclein	Gamma-synuclein		4	4	2.13334e+07	2.43807e+07	1.31313e+07	1.09938e+07	2.4205e+07	1.18307e+07
P00167ups|CYB5_HUMAN_UPS	Cytochrome	Cytochrome		3	3	1.19893e+07	1.14495e+07		7.68388e+06	1.25422e+07	
P00350	6PGD_ECOLI	gnd	6-phosphogluconate dehydrogenase, decarboxylating	26	26	3.49998e+08	3.44902e+08	3.45127e+08	3.35919e+08	3.44038e+08	3.46645e+08
P00363	FRDA_ECOLI	frdA	Fumarate reductase flavoprotein subunit	28	28	2.55365e+08	2.34753e+08	2.37305e+08	2.40627e+08	2.34833e+08	2.4154e+08
P00370	DHE4_ECOLI	gdhA	NADP-specific glutamate dehydrogenase	11	11	1.49204e+07	1.51775e+07	1.56821e+07	1.5661e+07	1.55446e+07	1.56683e+07
P00393	DHNA_ECOLI	ndh	NADH dehydrogenase	19	19	4.14696e+07	4.18449e+07	4.04988e+07	4.16569e+07	4.16525e+07	4.11685e+07
P00448	SODM_ECOLI	sodA	Superoxide dismutase [Mn]	9	9	4.40815e+07	4.33524e+07	4.30959e+07	4.41764e+07	4.33733e+07	4.15305e+07
P00452	RIR1_ECOLI	nrdA	Ribonucleoside-diphosphate reductase 1 subunit alpha	31	31	4.30004e+07	4.15602e+07	4.33148e+07	4.26958e+07	4.24066e+07	4.24091e+07
P00490	PHSM_ECOLI	malP	Maltodextrin phosphorylase	31	31	3.73702e+07	3.75714e+07	3.77211e+07	3.74689e+07	3.78814e+07	3.76249e+07
P00509	AAT_ECOLI	aspC	Aspartate aminotransferase	26	26	9.80438e+07	9.95182e+07	9.82589e+07	9.77767e+07	9.80845e+07	9.76051e+07
P00547	KHSE_ECOLI	thrB	Homoserine kinase	2	2	3.32481e+06	3.15545e+06	3.60731e+06	3.05925e+06	2.98775e+06	3.44314e+06
P00550	PTM3C_ECOLI	mtlA	PTS system mannitol-specific EIICBA component	5	5	3.49365e+06	3.77052e+06	3.58799e+06	3.79371e+06	3.55654e+06	3.72858e+06
P00561	AK1H_ECOLI	thrA	Bifunctional aspartokinase/homoserine dehydrogenase 1	13	13	1.56341e+07	1.61012e+07	1.72044e+07	1.75871e+07	1.65855e+07	1.66088e+07
P00562	AK2H_ECOLI	metL	Bifunctional aspartokinase/homoserine dehydrogenase 2	20	20	8.82958e+06	8.77562e+06	8.91142e+06	8.67473e+06	8.71439e+06	8.69215e+06
P00579	RPOD_ECOLI	rpoD	RNA polymerase sigma factor RpoD	21	20	9.59996e+07	1.00077e+08	9.71512e+07	9.63454e+07	9.94086e+07	9.53495e+07
P00582	DPO1_ECOLI	polA	DNA polymerase I	45	45	2.32797e+07	2.38186e+07	2.36402e+07	2.35441e+07	2.41729e+07	2.40671e+07
P00803	LEP_ECOLI	lepB	Signal peptidase I	8	8	1.4863e+07	1.5155e+07	1.63132e+07	1.66564e+07	1.42286e+07	1.48664e+07
P00805	ASPG2_ECOLI	ansB	L-asparaginase 2	18	18	1.30417e+08	1.38494e+08	1.37055e+08	1.35371e+08	1.40377e+08	1.38302e+08
P00811	AMPC_ECOLI	ampC	Beta-lactamase	4	4	5.7222e+06	5.71109e+06	6.55491e+06	6.06904e+06	6.43447e+06	6.16286e+06
P00861	DCDA_ECOLI	lysA	Diaminopimelate decarboxylase	2	2	1.16389e+06	578040	1.0466e+06	866100	1.01956e+06	1.14059e+06
P00864	CAPP_ECOLI	ppc	Phosphoenolpyruvate carboxylase	41	41	6.37234e+07	6.54534e+07	6.60896e+07	6.68891e+07	6.47935e+07	6.50012e+07
P00887	AROH_ECOLI	aroH	Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive	4	4	8.4232e+06	8.36663e+06	7.75745e+06	6.68631e+06	8.58469e+06	7.34912e+06
P00888	AROF_ECOLI	aroF	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive	8	7	1.10805e+07	1.15412e+07	1.11356e+07	1.15443e+07	1.16866e+07	1.12782e+07
P00892	ILVG_ECOLI	ilvG	Acetolactate synthase isozyme 2 large subunit	2	2	524572	670122	508967		621870	646909
