Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML
DECOY_sp|P0ACM5|YEGW_ECOLI	Uncharacterized	Uncharacterized		1	1		1.85853e+06	1.77181e+06			
DECOY_sp|P0AG82|PSTS_ECOLI	Phosphate-binding	Phosphate-binding		1	1	2.97581e+06		3.03732e+06		3.47459e+06	3.38033e+06
DECOY_sp|P29745|PEPT_ECOLI	Peptidase	Peptidase		1	1	7.44698e+07		1.01408e+08			
DECOY_sp|P37005|LAST_ECOLI	Uncharacterized	Uncharacterized		1	1					4.88773e+06	
DECOY_sp|P63389|YHES_ECOLI	Uncharacterized	Uncharacterized		1	1	9.72833e+06		9.85031e+06	1.05882e+07	9.66998e+06	1.01882e+07
O00762ups|UBE2C_HUMAN_UPS	Ubiquitin-conjugating	Ubiquitin-conjugating		4	4		2.03451e+07		1.96872e+07		2.00785e+07
O76070ups|SYUG_HUMAN_UPS	Gamma-synuclein	Gamma-synuclein		6	6		7.13633e+07		8.01009e+07		7.94346e+07
P00167ups|CYB5_HUMAN_UPS	Cytochrome	Cytochrome		5	5		2.44811e+07		2.48079e+07		2.2212e+07
P00350	6PGD_ECOLI	gnd	6-phosphogluconate dehydrogenase, decarboxylating	27	27	2.77897e+08	2.6991e+08	2.73921e+08	2.73387e+08	2.63753e+08	2.67697e+08
P00363	FRDA_ECOLI	frdA	Fumarate reductase flavoprotein subunit	28	28	2.41831e+08	2.19968e+08	2.23247e+08	2.57533e+08	2.29944e+08	2.33923e+08
P00370	DHE4_ECOLI	gdhA	NADP-specific glutamate dehydrogenase	10	10	1.45992e+07	1.50053e+07	1.37822e+07	1.39726e+07	1.48589e+07	1.40549e+07
P00393	DHNA_ECOLI	ndh	NADH dehydrogenase	17	17	2.63297e+07	2.59051e+07	2.6066e+07	2.61813e+07	2.66661e+07	2.58815e+07
P00441ups|SODC_HUMAN_UPS	Superoxide	Superoxide		1	1		1.29073e+07		1.27501e+07		1.33336e+07
P00448	SODM_ECOLI	sodA	Superoxide dismutase [Mn]	9	9	4.96142e+07	4.70066e+07	4.3575e+07	4.80875e+07	4.62507e+07	4.87047e+07
P00452	RIR1_ECOLI	nrdA	Ribonucleoside-diphosphate reductase 1 subunit alpha	33	33	4.25346e+07	4.50046e+07	4.23067e+07	4.13927e+07	4.30232e+07	4.15504e+07
P00490	PHSM_ECOLI	malP	Maltodextrin phosphorylase	31	31	3.58559e+07	3.63626e+07	3.72423e+07	3.63813e+07	3.64493e+07	3.60714e+07
P00509	AAT_ECOLI	aspC	Aspartate aminotransferase	27	27	9.94541e+07	1.01842e+08	9.78668e+07	1.02684e+08	9.71899e+07	9.99439e+07
P00547	KHSE_ECOLI	thrB	Homoserine kinase	2	2		3.78683e+06	3.78369e+06	4.13133e+06	3.7947e+06	3.97597e+06
P00550	PTM3C_ECOLI	mtlA	PTS system mannitol-specific EIICBA component	4	4	3.71503e+06	4.04101e+06	3.80995e+06	3.68807e+06	3.71781e+06	3.39812e+06
P00561	AK1H_ECOLI	thrA	Bifunctional aspartokinase/homoserine dehydrogenase 1	15	15	1.44967e+07	1.51035e+07	1.42632e+07	1.45101e+07	1.4813e+07	1.48982e+07
P00562	AK2H_ECOLI	metL	Bifunctional aspartokinase/homoserine dehydrogenase 2	15	15	7.75108e+06	9.24384e+06	8.33445e+06	8.35585e+06	8.13285e+06	8.25564e+06
P00579	RPOD_ECOLI	rpoD	RNA polymerase sigma factor RpoD	19	18	1.38553e+08	1.48981e+08	1.38845e+08	1.46353e+08	1.43831e+08	1.45986e+08
P00582	DPO1_ECOLI	polA	DNA polymerase I	40	40	2.39038e+07	2.25205e+07	2.42142e+07	2.44569e+07	2.37058e+07	2.35053e+07
P00709ups|LALBA_HUMAN_UPS	Alpha-lactalbumin	Alpha-lactalbumin		1	1		7.70134e+06		8.312e+06		8.29512e+06
P00803	LEP_ECOLI	lepB	Signal peptidase I	7	7	1.50609e+07	1.58361e+07	1.43471e+07	1.4731e+07	1.39451e+07	1.47656e+07
P00805	ASPG2_ECOLI	ansB	L-asparaginase 2	19	19	1.30012e+08	1.29662e+08	1.31443e+08	1.29534e+08	1.2887e+08	1.23889e+08
P00811	AMPC_ECOLI	ampC	Beta-lactamase	4	4	4.43991e+06	3.85126e+06	4.50709e+06	4.43989e+06	4.07056e+06	4.27914e+06
P00861	DCDA_ECOLI	lysA	Diaminopimelate decarboxylase	3	3	1.51744e+06	1.76208e+06	1.40357e+06	1.14233e+06	1.47971e+06	1.28528e+06
P00864	CAPP_ECOLI	ppc	Phosphoenolpyruvate carboxylase	38	38	5.99573e+07	5.84704e+07	5.8166e+07	5.90409e+07	5.74332e+07	6.00617e+07
P00887	AROH_ECOLI	aroH	Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive	3	3	6.44528e+06	6.96875e+06	6.58655e+06	6.68147e+06	6.45013e+06	6.22557e+06
P00888	AROF_ECOLI	aroF	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive	8	7	9.49074e+06	9.78939e+06	9.807e+06	9.77906e+06	9.98865e+06	9.50745e+06
P00892	ILVG_ECOLI	ilvG	Acetolactate synthase isozyme 2 large subunit	1	1		247756	322638	321537	308723	
P00894	ILVH_ECOLI	ilvH	Acetolactate synthase isozyme 3 small subunit	3	3	961845	1.22001e+06	1.18298e+06	1.085e+06	1.09757e+06	993834
P00914	PHR_ECOLI	phrB	Deoxyribodipyrimidine photo-lyase	4	4	893233	819402	738233		840539	864666
P00915ups|CAH1_HUMAN_UPS	Carbonic	Carbonic		9	9		3.18795e+07		2.89335e+07		2.99581e+07
P00918ups|CAH2_HUMAN_UPS	Carbonic	Carbonic		8	8		3.379e+07		3.4064e+07		3.43586e+07
P00926	SDHD_ECOLI	dsdA	D-serine dehydratase	4	4	2.758e+06	2.89509e+06	2.90013e+06	2.88617e+06	3.05003e+06	2.84939e+06
P00934	THRC_ECOLI	thrC	Threonine synthase	14	14	1.68989e+07	1.56056e+07	1.74764e+07	1.72701e+07	1.71911e+07	1.67143e+07
P00935	METB_ECOLI	metB	Cystathionine gamma-synthase	2	2	2.4123e+06	1.97719e+06	1.99593e+06	2.05728e+06	2.28894e+06	1.716e+06
P00936	CYAA_ECOLI	cyaA	Adenylate cyclase	3	3		2.76367e+06		2.28336e+06	2.79563e+06	2.50458e+06
P00946	MANA_ECOLI	manA	Mannose-6-phosphate isomerase	11	11	5.34173e+07	5.45208e+07	5.29418e+07	5.23767e+07	5.52534e+07	5.10648e+07
