Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML
DECOY_sp|P32668|YIJF_ECOLI	Uncharacterized	Uncharacterized		1	1	7.09228e+06		8.40354e+06		8.59474e+06	
DECOY_sp|P63389|YHES_ECOLI	Uncharacterized	Uncharacterized		1	1	8.98566e+06		9.64904e+06		9.91056e+06	1.02092e+07
O00762ups|UBE2C_HUMAN_UPS	Ubiquitin-conjugating	Ubiquitin-conjugating		5	5		2.17093e+07			2.14987e+07	2.17126e+07
O76070ups|SYUG_HUMAN_UPS	Gamma-synuclein	Gamma-synuclein		6	6		7.32621e+07			7.93386e+07	8.19736e+07
P00167ups|CYB5_HUMAN_UPS	Cytochrome	Cytochrome		5	5		2.54209e+07			2.46947e+07	2.25513e+07
P00350	6PGD_ECOLI	gnd	6-phosphogluconate dehydrogenase, decarboxylating	28	28	2.93496e+08	3.00236e+08	2.83619e+08	2.77315e+08	3.03997e+08	2.99277e+08
P00363	FRDA_ECOLI	frdA	Fumarate reductase flavoprotein subunit	27	27	2.57035e+08	2.40971e+08	2.50937e+08	2.51337e+08	2.72553e+08	2.55253e+08
P00370	DHE4_ECOLI	gdhA	NADP-specific glutamate dehydrogenase	10	10	1.35655e+07	1.47715e+07	1.34407e+07	1.32688e+07	1.45568e+07	1.41547e+07
P00393	DHNA_ECOLI	ndh	NADH dehydrogenase	19	19	2.66231e+07	2.89186e+07	2.58444e+07	2.54226e+07	2.84359e+07	2.84231e+07
P00441ups|SODC_HUMAN_UPS	Superoxide	Superoxide		1	1		1.2956e+07			1.44103e+07	1.3688e+07
P00448	SODM_ECOLI	sodA	Superoxide dismutase [Mn]	8	8	4.27474e+07	4.37538e+07	4.36054e+07	4.16542e+07	4.5815e+07	4.79955e+07
P00452	RIR1_ECOLI	nrdA	Ribonucleoside-diphosphate reductase 1 subunit alpha	32	32	4.35575e+07	4.545e+07	4.28564e+07	4.41319e+07	4.25046e+07	4.3119e+07
P00490	PHSM_ECOLI	malP	Maltodextrin phosphorylase	32	32	3.69539e+07	3.54279e+07	3.51802e+07	3.5445e+07	3.63619e+07	3.70237e+07
P00509	AAT_ECOLI	aspC	Aspartate aminotransferase	28	28	9.45852e+07	1.03462e+08	9.72632e+07	9.86512e+07	1.05183e+08	1.07014e+08
P00547	KHSE_ECOLI	thrB	Homoserine kinase	3	3	3.62793e+06	3.77461e+06	4.06802e+06	3.75419e+06	3.70958e+06	3.70778e+06
P00550	PTM3C_ECOLI	mtlA	PTS system mannitol-specific EIICBA component	5	5	3.47787e+06	3.25981e+06	3.94071e+06	3.90636e+06	3.39598e+06	3.32327e+06
P00561	AK1H_ECOLI	thrA	Bifunctional aspartokinase/homoserine dehydrogenase 1	12	12	1.22964e+07	1.47249e+07	1.41715e+07	1.36172e+07	1.34726e+07	1.41762e+07
P00562	AK2H_ECOLI	metL	Bifunctional aspartokinase/homoserine dehydrogenase 2	16	16	8.06362e+06	9.67526e+06	8.50316e+06	8.5416e+06	8.91131e+06	8.78253e+06
P00579	RPOD_ECOLI	rpoD	RNA polymerase sigma factor RpoD	19	18	1.41536e+08	1.4724e+08	1.41404e+08	1.40292e+08	1.46104e+08	1.51921e+08
P00582	DPO1_ECOLI	polA	DNA polymerase I	42	42	2.55707e+07	2.33188e+07	2.5864e+07	2.55728e+07	2.60853e+07	2.49504e+07
P00709ups|LALBA_HUMAN_UPS	Alpha-lactalbumin	Alpha-lactalbumin		1	1		1.47679e+07			1.1734e+07	1.29967e+07
P00803	LEP_ECOLI	lepB	Signal peptidase I	6	6	1.4476e+07	1.56985e+07	1.45996e+07	1.43095e+07	1.44766e+07	1.55226e+07
P00805	ASPG2_ECOLI	ansB	L-asparaginase 2	19	19	1.38991e+08	1.3766e+08	1.37271e+08	1.3316e+08	1.39871e+08	1.35714e+08
P00811	AMPC_ECOLI	ampC	Beta-lactamase	4	4	3.38958e+06	2.58129e+06	2.87134e+06	3.24454e+06	2.67992e+06	3.08841e+06
P00861	DCDA_ECOLI	lysA	Diaminopimelate decarboxylase	2	2	1.49981e+06	1.81894e+06	1.3675e+06	1.46858e+06	1.64272e+06	1.35672e+06
P00864	CAPP_ECOLI	ppc	Phosphoenolpyruvate carboxylase	42	42	6.1785e+07	6.25913e+07	6.1907e+07	6.30393e+07	6.36108e+07	6.50483e+07
P00887	AROH_ECOLI	aroH	Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive	4	4	7.53855e+06	7.62215e+06	6.71481e+06	6.72774e+06	8.17379e+06	7.85339e+06
P00888	AROF_ECOLI	aroF	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive	8	7	9.27056e+06	8.97439e+06	8.89921e+06	8.83196e+06	9.22509e+06	9.0617e+06
P00892	ILVG_ECOLI	ilvG	Acetolactate synthase isozyme 2 large subunit	1	1	974107	761153	1.34541e+06	1.25008e+06	994762	952512
P00894	ILVH_ECOLI	ilvH	Acetolactate synthase isozyme 3 small subunit	3	3	1.85889e+06	1.74277e+06	1.51327e+06	1.67869e+06	1.63717e+06	1.43592e+06
P00914	PHR_ECOLI	phrB	Deoxyribodipyrimidine photo-lyase	4	4	987093	985885	874491	942238	974340	962161
P00915ups|CAH1_HUMAN_UPS	Carbonic	Carbonic		9	9		2.71161e+07			2.46116e+07	2.55125e+07
P00918ups|CAH2_HUMAN_UPS	Carbonic	Carbonic		8	8		3.3686e+07			3.36583e+07	3.5946e+07
P00926	SDHD_ECOLI	dsdA	D-serine dehydratase	4	4	3.22945e+06	3.0805e+06	2.86653e+06	2.88262e+06	3.08179e+06	2.90774e+06
P00934	THRC_ECOLI	thrC	Threonine synthase	15	15	1.85838e+07	1.66523e+07	1.80306e+07	1.82327e+07	1.79753e+07	1.7733e+07
P00935	METB_ECOLI	metB	Cystathionine gamma-synthase	2	2	2.61392e+06	2.35268e+06	2.33555e+06	2.67257e+06	2.1893e+06	2.14166e+06
P00936	CYAA_ECOLI	cyaA	Adenylate cyclase	3	3	1.63001e+06	1.77783e+06	1.34846e+06	1.56424e+06	1.3064e+06	1.59318e+06
P00946	MANA_ECOLI	manA	Mannose-6-phosphate isomerase	11	11	5.21502e+07	5.33931e+07	5.23353e+07	5.31854e+07	5.15292e+07	5.1382e+07
P00954	SYW_ECOLI	trpS	Tryptophan--tRNA ligase	11	11	8.83895e+07	9.37968e+07	8.95049e+07	8.84887e+07	9.79011e+07	9.55328e+07
P00956	SYI_ECOLI	ileS	Isoleucine--tRNA ligase	38	38	1.17694e+08	1.17947e+08	1.18361e+08	1.18272e+08	1.23676e+08	1.22343e+08
P00957	SYA_ECOLI	alaS	Alanine--tRNA ligase	43	43	1.20945e+08	1.14659e+08	1.21894e+08	1.24451e+08	1.24063e+08	1.24827e+08
P00959	SYM_ECOLI	metG	Methionine--tRNA ligase	31	31	5.96487e+07	5.8889e+07	5.87309e+07	5.93515e+07	6.12046e+07	5.97564e+07
P00960	SYGA_ECOLI	glyQ	Glycine--tRNA ligase alpha subunit	9	9	3.12133e+07	3.52737e+07	3.11988e+07	3.12395e+07	3.52404e+07	3.35873e+07
