Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML
DECOY_sp|P63389|YHES_ECOLI	Uncharacterized	Uncharacterized		1	1			9.5474e+06	1.0873e+07	1.07462e+07	9.51837e+06
DECOY_sp|P76251|DMLA_ECOLI	D-malate	D-malate		1	1					498409	577501
O00762ups|UBE2C_HUMAN_UPS	Ubiquitin-conjugating	Ubiquitin-conjugating		5	5	2.32344e+07	2.56132e+06	2.03256e+06	2.06839e+07	2.1606e+07	1.99444e+06
O76070ups|SYUG_HUMAN_UPS	Gamma-synuclein	Gamma-synuclein		6	6	9.41264e+07	6.89953e+06	1.00715e+07	9.70573e+07	9.79235e+07	7.27627e+06
P00167ups|CYB5_HUMAN_UPS	Cytochrome	Cytochrome		5	5	2.27374e+07			2.34441e+07	2.29506e+07	
P00350	6PGD_ECOLI	gnd	6-phosphogluconate dehydrogenase, decarboxylating	27	27	2.90792e+08	2.80679e+08	2.80733e+08	2.8975e+08	2.90683e+08	2.87843e+08
P00363	FRDA_ECOLI	frdA	Fumarate reductase flavoprotein subunit	28	28	2.35878e+08	2.51391e+08	2.43752e+08	2.52551e+08	2.50925e+08	2.52763e+08
P00370	DHE4_ECOLI	gdhA	NADP-specific glutamate dehydrogenase	10	10	1.4968e+07	1.43007e+07	1.48029e+07	1.43735e+07	1.46148e+07	1.4465e+07
P00393	DHNA_ECOLI	ndh	NADH dehydrogenase	19	19	2.98461e+07	2.7432e+07	2.81264e+07	2.85969e+07	2.92252e+07	2.75989e+07
P00441ups|SODC_HUMAN_UPS	Superoxide	Superoxide		1	1	1.48805e+07			1.52564e+07	1.51059e+07	
P00448	SODM_ECOLI	sodA	Superoxide dismutase [Mn]	9	9	4.54502e+07	4.66898e+07	4.65336e+07	4.83772e+07	4.88579e+07	4.82298e+07
