Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML
DECOY_sp|P0A6L9|HSCB_ECOLI	Co-chaperone	Co-chaperone		1	1		4.67887e+07				
DECOY_sp|P0A9P0|DLDH_ECOLI	Dihydrolipoyl	Dihydrolipoyl		1	1				2.21635e+06		2.51146e+06
DECOY_sp|P0AG82|PSTS_ECOLI	Phosphate-binding	Phosphate-binding		1	1		2.92305e+06	3.7617e+06	3.36373e+06	3.52587e+06	3.08779e+06
DECOY_sp|P30125|LEU3_ECOLI	3-isopropylmalate	3-isopropylmalate		1	1		2.59949e+06	2.47643e+06			
DECOY_sp|P37005|LAST_ECOLI	Uncharacterized	Uncharacterized		1	1		1.49286e+07		1.39361e+07		1.1901e+07
DECOY_sp|P63389|YHES_ECOLI	Uncharacterized	Uncharacterized		1	1			9.44213e+06		9.65679e+06	
DECOY_sp|P64619|YHDU_ECOLI	Uncharacterized	Uncharacterized		1	1					4.12208e+06	
DECOY_sp|P76251|DMLA_ECOLI	D-malate	D-malate		1	1					477221	
DECOY_sp|P76344|ZINT_ECOLI	Metal-binding	Metal-binding		1	1						3.38929e+06
DECOY_sp|Q57083|PERR_ECOLI	HTH-type	HTH-type		1	1		1.41971e+06	1.15932e+06			1.27175e+06
O00762ups|UBE2C_HUMAN_UPS	Ubiquitin-conjugating	Ubiquitin-conjugating		5	5	2.16425e+07	4.73497e+06	2.00946e+07	4.81986e+06	2.03869e+07	5.48785e+06
O76070ups|SYUG_HUMAN_UPS	Gamma-synuclein	Gamma-synuclein		6	6	9.31541e+07	2.52578e+07	9.74746e+07	2.3714e+07	9.6071e+07	2.55205e+07
