Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML
DECOY_sp|P41067|TRAB1_ECOLI	Protein	Protein		2	2		3.45158e+06		2.56843e+06		3.49685e+06
DECOY_sp|P63389|YHES_ECOLI	Uncharacterized	Uncharacterized		1	1	9.97089e+06	1.05045e+07	9.92138e+06	1.04591e+07		9.59494e+06
DECOY_sp|P76621|CSID_ECOLI	Protein	Protein		1	1				1.12119e+06		
O00762ups|UBE2C_HUMAN_UPS	Ubiquitin-conjugating	Ubiquitin-conjugating		7	7		5.71861e+07		5.50127e+07		5.24171e+07
O76070ups|SYUG_HUMAN_UPS	Gamma-synuclein	Gamma-synuclein		8	8		2.09682e+08		2.04784e+08		2.09234e+08
P00167ups|CYB5_HUMAN_UPS	Cytochrome	Cytochrome		5	5		5.98063e+07		5.60991e+07		5.82592e+07
P00350	6PGD_ECOLI	gnd	6-phosphogluconate dehydrogenase, decarboxylating	28	28	3.59653e+08	3.59956e+08	3.44492e+08	3.53936e+08	3.31986e+08	3.3415e+08
P00363	FRDA_ECOLI	frdA	Fumarate reductase flavoprotein subunit	28	28	2.41411e+08	2.28963e+08	2.37752e+08	2.33319e+08	2.38341e+08	2.27967e+08
P00370	DHE4_ECOLI	gdhA	NADP-specific glutamate dehydrogenase	10	10	1.58414e+07	1.63664e+07	1.57777e+07	1.62767e+07	1.54253e+07	1.63407e+07
P00393	DHNA_ECOLI	ndh	NADH dehydrogenase	18	18	2.76412e+07	2.93517e+07	2.64389e+07	2.81243e+07	2.65929e+07	2.77812e+07
P00441ups|SODC_HUMAN_UPS	Superoxide	Superoxide		2	2		3.47189e+07		3.36537e+07		3.43606e+07
P00448	SODM_ECOLI	sodA	Superoxide dismutase [Mn]	9	9	4.53793e+07	4.599e+07	4.59157e+07	4.70152e+07	4.31129e+07	4.65723e+07
P00452	RIR1_ECOLI	nrdA	Ribonucleoside-diphosphate reductase 1 subunit alpha	32	32	4.36194e+07	4.36628e+07	4.23804e+07	4.21538e+07	4.36754e+07	4.20673e+07
P00490	PHSM_ECOLI	malP	Maltodextrin phosphorylase	31	31	3.91679e+07	3.46453e+07	3.66779e+07	3.43374e+07	3.68919e+07	3.57826e+07
P00509	AAT_ECOLI	aspC	Aspartate aminotransferase	28	28	8.96403e+07	9.7434e+07	9.09535e+07	9.47993e+07	9.19543e+07	9.55683e+07
P00547	KHSE_ECOLI	thrB	Homoserine kinase	3	3	3.52629e+06	3.82077e+06	3.96838e+06	3.88026e+06	3.80986e+06	4.07085e+06
P00550	PTM3C_ECOLI	mtlA	PTS system mannitol-specific EIICBA component	4	4	3.44636e+06	3.78656e+06	4.05367e+06	4.01776e+06	4.13108e+06	3.41464e+06
P00561	AK1H_ECOLI	thrA	Bifunctional aspartokinase/homoserine dehydrogenase 1	12	12	1.33931e+07	1.40747e+07	1.48082e+07	1.35456e+07	1.44758e+07	1.52799e+07
P00562	AK2H_ECOLI	metL	Bifunctional aspartokinase/homoserine dehydrogenase 2	14	14	7.81058e+06	7.89969e+06	8.05682e+06	7.49883e+06	8.02239e+06	8.14591e+06
P00579	RPOD_ECOLI	rpoD	RNA polymerase sigma factor RpoD	20	19	1.36601e+08	1.38387e+08	1.3422e+08	1.34656e+08	1.3309e+08	1.36776e+08
P00582	DPO1_ECOLI	polA	DNA polymerase I	44	44	2.58065e+07	2.57101e+07	2.55245e+07	2.47234e+07	2.51819e+07	2.46706e+07
P00709ups|LALBA_HUMAN_UPS	Alpha-lactalbumin	Alpha-lactalbumin		1	1		3.08644e+07		3.6588e+07		3.39806e+07
P00803	LEP_ECOLI	lepB	Signal peptidase I	5	5	1.40724e+07	1.56239e+07	1.50313e+07	1.49127e+07	1.40225e+07	1.46068e+07
P00805	ASPG2_ECOLI	ansB	L-asparaginase 2	19	19	1.50046e+08	1.42317e+08	1.45954e+08	1.4171e+08	1.43451e+08	1.41676e+08
P00811	AMPC_ECOLI	ampC	Beta-lactamase	6	6	4.9479e+06	4.75454e+06	4.25111e+06	4.30619e+06	4.79446e+06	4.44249e+06
P00861	DCDA_ECOLI	lysA	Diaminopimelate decarboxylase	3	3	1.58422e+06	1.96516e+06	1.60779e+06	1.72039e+06	1.64193e+06	2.0196e+06
P00864	CAPP_ECOLI	ppc	Phosphoenolpyruvate carboxylase	43	43	6.36793e+07	6.24042e+07	6.26064e+07	6.38245e+07	6.39121e+07	6.30814e+07
P00887	AROH_ECOLI	aroH	Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive	4	4	6.55914e+06	6.84385e+06	5.93527e+06	6.64295e+06	5.96998e+06	7.45969e+06
P00888	AROF_ECOLI	aroF	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive	8	7	1.14696e+07	1.12534e+07	1.07091e+07	1.11525e+07	1.07452e+07	1.10626e+07
P00892	ILVG_ECOLI	ilvG	Acetolactate synthase isozyme 2 large subunit	1	1	1.08611e+06	949803	1.21502e+06	1.04494e+06	1.27085e+06	1.07871e+06
P00894	ILVH_ECOLI	ilvH	Acetolactate synthase isozyme 3 small subunit	3	3	1.736e+06	1.46854e+06	1.45081e+06	1.66812e+06	1.67664e+06	1.68284e+06
P00914	PHR_ECOLI	phrB	Deoxyribodipyrimidine photo-lyase	5	5	2.31574e+06	1.79261e+06	2.04633e+06	1.98346e+06	2.33735e+06	2.5419e+06
P00915ups|CAH1_HUMAN_UPS	Carbonic	Carbonic		10	10		6.65117e+07		6.60706e+07		6.55037e+07
P00918ups|CAH2_HUMAN_UPS	Carbonic	Carbonic		10	10		9.22551e+07		8.92092e+07		9.3516e+07
P00926	SDHD_ECOLI	dsdA	D-serine dehydratase	4	4	3.4517e+06	3.25066e+06	2.98678e+06	3.06633e+06	3.16172e+06	2.97517e+06
