Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML
DECOY_sp|P0A9P0|DLDH_ECOLI	Dihydrolipoyl	Dihydrolipoyl		1	1			1.62666e+06			
DECOY_sp|P0ACM5|YEGW_ECOLI	Uncharacterized	Uncharacterized		1	1			1.17214e+06	1.5201e+06		
DECOY_sp|P0AG82|PSTS_ECOLI	Phosphate-binding	Phosphate-binding		1	1	8.44337e+06		3.16354e+06		3.6551e+06	3.405e+06
DECOY_sp|P25549|ASLA_ECOLI	Arylsulfatase	Arylsulfatase		1	1	2.49551e+06	4.62502e+06	3.6428e+06	3.59944e+06	3.49262e+06	
DECOY_sp|P33224|AIDB_ECOLI	Putative	Putative		1	1	5.22419e+06					
DECOY_sp|P41067|TRAB1_ECOLI	Protein	Protein		1	1					7.80476e+06	
DECOY_sp|P63389|YHES_ECOLI	Uncharacterized	Uncharacterized		1	1	9.96874e+06		1.02012e+07	1.00037e+07	9.50958e+06	9.58225e+06
DECOY_sp|P76621|CSID_ECOLI	Protein	Protein		1	1			1.09928e+06			
O00762ups|UBE2C_HUMAN_UPS	Ubiquitin-conjugating	Ubiquitin-conjugating		7	7	5.53461e+07	2.31356e+07	5.20674e+07	2.20291e+07	5.25954e+07	2.20843e+07
O76070ups|SYUG_HUMAN_UPS	Gamma-synuclein	Gamma-synuclein		8	8	2.00946e+08	8.11482e+07	1.94325e+08	8.17648e+07	1.9702e+08	8.30166e+07
P00167ups|CYB5_HUMAN_UPS	Cytochrome	Cytochrome		5	5	6.19102e+07	2.56446e+07	6.00096e+07	2.65836e+07	6.24592e+07	2.30635e+07
P00350	6PGD_ECOLI	gnd	6-phosphogluconate dehydrogenase, decarboxylating	27	27	3.42655e+08	3.43185e+08	3.38036e+08	3.40245e+08	3.18363e+08	3.34674e+08
P00363	FRDA_ECOLI	frdA	Fumarate reductase flavoprotein subunit	28	28	2.59148e+08	2.51591e+08	2.47576e+08	2.80663e+08	2.46953e+08	2.55328e+08
P00370	DHE4_ECOLI	gdhA	NADP-specific glutamate dehydrogenase	10	10	1.62348e+07	1.64623e+07	1.60629e+07	1.57321e+07	1.59293e+07	1.55626e+07
P00393	DHNA_ECOLI	ndh	NADH dehydrogenase	18	18	3.04748e+07	2.95406e+07	2.83324e+07	3.00313e+07	2.86254e+07	2.90501e+07
P00441ups|SODC_HUMAN_UPS	Superoxide	Superoxide		2	2	2.96258e+07	1.57362e+07	3.18073e+07	1.43598e+07	3.24901e+07	1.50453e+07
P00448	SODM_ECOLI	sodA	Superoxide dismutase [Mn]	9	9	4.81438e+07	4.87491e+07	4.95299e+07	4.84845e+07	4.83191e+07	4.9178e+07
P00452	RIR1_ECOLI	nrdA	Ribonucleoside-diphosphate reductase 1 subunit alpha	32	32	4.6026e+07	4.99147e+07	4.48004e+07	4.52926e+07	4.53065e+07	4.50411e+07
P00490	PHSM_ECOLI	malP	Maltodextrin phosphorylase	32	32	3.49424e+07	3.72316e+07	3.53576e+07	3.70977e+07	3.55981e+07	3.65987e+07
P00509	AAT_ECOLI	aspC	Aspartate aminotransferase	26	26	1.0278e+08	1.00966e+08	9.87747e+07	1.01832e+08	1.01155e+08	1.00929e+08
P00547	KHSE_ECOLI	thrB	Homoserine kinase	2	2	3.49784e+06	3.62532e+06	3.96848e+06	3.40578e+06	3.9368e+06	3.5332e+06
P00550	PTM3C_ECOLI	mtlA	PTS system mannitol-specific EIICBA component	4	4	4.16127e+06	4.13328e+06	4.04749e+06	3.94889e+06	3.75004e+06	3.58138e+06
P00561	AK1H_ECOLI	thrA	Bifunctional aspartokinase/homoserine dehydrogenase 1	14	14	1.49135e+07	1.64673e+07	1.55211e+07	1.53127e+07	1.64008e+07	1.64431e+07
P00562	AK2H_ECOLI	metL	Bifunctional aspartokinase/homoserine dehydrogenase 2	16	16	8.11668e+06	9.57782e+06	7.89698e+06	8.32988e+06	8.35391e+06	8.2291e+06
P00579	RPOD_ECOLI	rpoD	RNA polymerase sigma factor RpoD	20	19	1.34964e+08	1.41262e+08	1.32383e+08	1.38372e+08	1.36658e+08	1.38949e+08
P00582	DPO1_ECOLI	polA	DNA polymerase I	44	44	2.53668e+07	2.33304e+07	2.47735e+07	2.46927e+07	2.43651e+07	2.40717e+07
P00709ups|LALBA_HUMAN_UPS	Alpha-lactalbumin	Alpha-lactalbumin		1	1	3.54876e+07	1.65106e+07	3.74996e+07	1.40823e+07	3.57562e+07	1.39665e+07
P00803	LEP_ECOLI	lepB	Signal peptidase I	6	6	1.59757e+07	1.72727e+07	1.58905e+07	1.56999e+07	1.60011e+07	1.57389e+07
P00805	ASPG2_ECOLI	ansB	L-asparaginase 2	19	19	1.39876e+08	1.46894e+08	1.41743e+08	1.44564e+08	1.42493e+08	1.40234e+08
P00811	AMPC_ECOLI	ampC	Beta-lactamase	5	5	4.19778e+06	3.55751e+06	4.04973e+06	4.16282e+06	4.11244e+06	3.88627e+06
P00861	DCDA_ECOLI	lysA	Diaminopimelate decarboxylase	3	3	1.39921e+06	1.76232e+06	1.49005e+06	1.17713e+06	1.7682e+06	1.2609e+06
P00864	CAPP_ECOLI	ppc	Phosphoenolpyruvate carboxylase	40	40	6.21746e+07	6.09402e+07	6.31787e+07	6.13344e+07	6.20772e+07	6.32719e+07
P00887	AROH_ECOLI	aroH	Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive	4	4	7.69112e+06	8.22478e+06	7.42313e+06	7.58179e+06	7.92182e+06	7.32006e+06
P00888	AROF_ECOLI	aroF	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive	8	7	1.04431e+07	1.02096e+07	1.01647e+07	1.02352e+07	9.81514e+06	9.99987e+06
P00892	ILVG_ECOLI	ilvG	Acetolactate synthase isozyme 2 large subunit	1	1	964798	837428	1.11916e+06	1.05968e+06	1.13449e+06	
P00894	ILVH_ECOLI	ilvH	Acetolactate synthase isozyme 3 small subunit	3	3	1.15434e+06	1.53399e+06	1.46831e+06	1.37293e+06	1.38442e+06	1.21275e+06
P00914	PHR_ECOLI	phrB	Deoxyribodipyrimidine photo-lyase	5	5	1.25542e+06	1.57851e+06	1.20989e+06		1.59641e+06	1.44174e+06
P00915ups|CAH1_HUMAN_UPS	Carbonic	Carbonic		10	10	6.21382e+07	2.79894e+07	6.16275e+07	2.61679e+07	6.19746e+07	2.75704e+07
P00918ups|CAH2_HUMAN_UPS	Carbonic	Carbonic		10	10	9.36631e+07	3.65314e+07	9.15159e+07	3.71602e+07	9.25668e+07	3.77908e+07
P00926	SDHD_ECOLI	dsdA	D-serine dehydratase	4	4	3.31562e+06	3.59625e+06	3.28555e+06	3.4756e+06	3.21723e+06	3.48365e+06
