Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML
A5A614	YCIZ_ECOLI	yciZ	UPF0509 protein YciZ	1	1		2.22177e+06				
DECOY_sp|P0AG82|PSTS_ECOLI	Phosphate-binding	Phosphate-binding		1	1	2.60396e+06	3.38051e+06	3.27867e+06	2.68998e+06	3.19383e+06	3.12353e+06
DECOY_sp|P22525|YCBB_ECOLI	Probable	Probable		1	1			1.12545e+06			
DECOY_sp|P25889|PREA_ECOLI	NAD-dependent	NAD-dependent		1	1					2.86834e+06	
DECOY_sp|P63389|YHES_ECOLI	Uncharacterized	Uncharacterized		1	1	9.5079e+06	9.74394e+06	8.98541e+06		9.83772e+06	9.94789e+06
O00762ups|UBE2C_HUMAN_UPS	Ubiquitin-conjugating	Ubiquitin-conjugating		2	2			2.60388e+06		3.33834e+06	2.48997e+06
O76070ups|SYUG_HUMAN_UPS	Gamma-synuclein	Gamma-synuclein		2	2			6.5484e+06		5.3309e+06	5.85933e+06
P00350	6PGD_ECOLI	gnd	6-phosphogluconate dehydrogenase, decarboxylating	27	27	3.3594e+08	3.22034e+08	3.32499e+08	3.16106e+08	3.27153e+08	3.32154e+08
P00363	FRDA_ECOLI	frdA	Fumarate reductase flavoprotein subunit	28	28	2.33599e+08	2.31502e+08	2.3193e+08	2.30256e+08	2.40558e+08	2.37591e+08
P00370	DHE4_ECOLI	gdhA	NADP-specific glutamate dehydrogenase	10	10	1.56341e+07	1.54579e+07	1.56006e+07	1.57937e+07	1.55783e+07	1.53766e+07
P00393	DHNA_ECOLI	ndh	NADH dehydrogenase	18	18	2.6127e+07	2.61687e+07	2.60016e+07	2.63656e+07	2.64824e+07	2.58112e+07
P00448	SODM_ECOLI	sodA	Superoxide dismutase [Mn]	9	9	4.26995e+07	4.32741e+07	4.41846e+07	4.14968e+07	4.60081e+07	4.20667e+07
P00452	RIR1_ECOLI	nrdA	Ribonucleoside-diphosphate reductase 1 subunit alpha	30	30	4.30341e+07	4.16227e+07	4.27971e+07	4.3543e+07	4.25848e+07	4.21276e+07
P00490	PHSM_ECOLI	malP	Maltodextrin phosphorylase	31	31	3.71364e+07	3.55016e+07	3.59275e+07	3.62208e+07	3.66182e+07	3.60949e+07
P00509	AAT_ECOLI	aspC	Aspartate aminotransferase	27	27	9.01622e+07	9.32443e+07	9.55899e+07	9.43434e+07	9.6166e+07	9.59552e+07
P00547	KHSE_ECOLI	thrB	Homoserine kinase	3	3	3.32741e+06	3.65222e+06	3.67531e+06	3.52914e+06	3.26606e+06	3.27761e+06
P00550	PTM3C_ECOLI	mtlA	PTS system mannitol-specific EIICBA component	4	4	3.50316e+06	3.90888e+06	3.6117e+06	3.93651e+06	3.84004e+06	3.95075e+06
P00561	AK1H_ECOLI	thrA	Bifunctional aspartokinase/homoserine dehydrogenase 1	12	12	1.3337e+07	1.44079e+07	1.51859e+07	1.4018e+07	1.37218e+07	1.4525e+07
P00562	AK2H_ECOLI	metL	Bifunctional aspartokinase/homoserine dehydrogenase 2	15	15	7.02415e+06	7.43503e+06	7.53804e+06	7.55953e+06	7.51614e+06	7.57539e+06
P00579	RPOD_ECOLI	rpoD	RNA polymerase sigma factor RpoD	20	19	1.41393e+08	1.38976e+08	1.42132e+08	1.4014e+08	1.40571e+08	1.39551e+08
P00582	DPO1_ECOLI	polA	DNA polymerase I	41	41	2.42406e+07	2.43109e+07	2.38377e+07	2.413e+07	2.32388e+07	2.40714e+07
P00803	LEP_ECOLI	lepB	Signal peptidase I	5	5	1.35856e+07	1.36214e+07	1.47769e+07	1.34181e+07	1.45416e+07	1.32778e+07
