Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML
DECOY_sp|P0AG82|PSTS_ECOLI	Phosphate-binding	Phosphate-binding		1	1	3.05695e+06	3.38771e+06	2.91147e+06	3.26314e+06	3.0282e+06	3.43288e+06
DECOY_sp|P25549|ASLA_ECOLI	Arylsulfatase	Arylsulfatase		1	1	2.68426e+06	2.879e+06	3.30468e+06	2.58412e+06	3.497e+06	1.56308e+06
DECOY_sp|P29745|PEPT_ECOLI	Peptidase	Peptidase		1	1	7.66048e+07		8.50082e+07		8.58813e+07	5.12115e+07
DECOY_sp|P63389|YHES_ECOLI	Uncharacterized	Uncharacterized		2	2		1.17557e+07	1.16631e+07		1.3107e+07	1.13651e+07
O00762ups|UBE2C_HUMAN_UPS	Ubiquitin-conjugating	Ubiquitin-conjugating		2	2	579206	2.27874e+06	1.19495e+06	2.50786e+06	2.53165e+06	615429
O76070ups|SYUG_HUMAN_UPS	Gamma-synuclein	Gamma-synuclein		3	3	2.10981e+06	4.76265e+06		3.74036e+06	4.1167e+06	
P00350	6PGD_ECOLI	gnd	6-phosphogluconate dehydrogenase, decarboxylating	27	27	3.2963e+08	3.31526e+08	3.26566e+08	3.31532e+08	3.35815e+08	3.34068e+08
P00363	FRDA_ECOLI	frdA	Fumarate reductase flavoprotein subunit	28	28	2.2997e+08	2.30375e+08	2.22357e+08	2.30769e+08	2.337e+08	2.34941e+08
P00370	DHE4_ECOLI	gdhA	NADP-specific glutamate dehydrogenase	10	10	1.56045e+07	1.56036e+07	1.58499e+07	1.53853e+07	1.54676e+07	1.57839e+07
P00393	DHNA_ECOLI	ndh	NADH dehydrogenase	18	18	2.35997e+07	2.34196e+07	2.43493e+07	2.41584e+07	2.41804e+07	2.38686e+07
P00448	SODM_ECOLI	sodA	Superoxide dismutase [Mn]	9	9	4.52123e+07	4.35163e+07	4.28847e+07	4.56234e+07	4.11252e+07	4.51383e+07
P00452	RIR1_ECOLI	nrdA	Ribonucleoside-diphosphate reductase 1 subunit alpha	33	33	4.18068e+07	4.322e+07	4.18418e+07	4.32423e+07	4.25577e+07	4.27938e+07
P00490	PHSM_ECOLI	malP	Maltodextrin phosphorylase	29	29	3.69084e+07	3.74163e+07	3.67716e+07	3.75782e+07	3.77471e+07	3.73311e+07
P00509	AAT_ECOLI	aspC	Aspartate aminotransferase	26	26	9.75409e+07	9.90976e+07	9.85544e+07	9.8278e+07	9.87039e+07	9.834e+07
P00547	KHSE_ECOLI	thrB	Homoserine kinase	3	3	3.2841e+06	3.29116e+06	2.73177e+06	3.01497e+06	2.77603e+06	3.2869e+06
