Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML
DECOY_sp|P29745|PEPT_ECOLI	Peptidase	Peptidase		1	1	6.97354e+07	7.75045e+07	9.429e+07			
O00762ups|UBE2C_HUMAN_UPS	Ubiquitin-conjugating	Ubiquitin-conjugating		7	7		9.33775e+07		9.25287e+07	9.41153e+07	
O76070ups|SYUG_HUMAN_UPS	Gamma-synuclein	Gamma-synuclein		12	11		1.52948e+08		1.61467e+08	1.59779e+08	
P00167ups|CYB5_HUMAN_UPS	Cytochrome	Cytochrome		5	5		1.22814e+08		1.20358e+08	1.25591e+08	
P00350	6PGD_ECOLI	gnd	6-phosphogluconate dehydrogenase, decarboxylating	27	27	3.38642e+08	3.37124e+08	3.36169e+08	3.3924e+08	3.4081e+08	3.27163e+08
P00363	FRDA_ECOLI	frdA	Fumarate reductase flavoprotein subunit	27	27	2.16113e+08	2.05974e+08	1.97784e+08	2.07671e+08	2.06009e+08	2.05651e+08
P00370	DHE4_ECOLI	gdhA	NADP-specific glutamate dehydrogenase	10	10	1.47175e+07	1.36335e+07	1.35879e+07	1.37027e+07	1.4559e+07	1.51585e+07
P00393	DHNA_ECOLI	ndh	NADH dehydrogenase	16	16	2.29294e+07	2.28392e+07	2.28075e+07	2.22524e+07	2.22127e+07	2.33964e+07
P00441ups|SODC_HUMAN_UPS	Superoxide	Superoxide		2	2		5.52038e+07		5.45691e+07	5.33286e+07	
P00448	SODM_ECOLI	sodA	Superoxide dismutase [Mn]	8	8	4.49767e+07	4.30897e+07	3.93523e+07	3.97618e+07	4.09937e+07	4.15509e+07
P00452	RIR1_ECOLI	nrdA	Ribonucleoside-diphosphate reductase 1 subunit alpha	32	32	3.88051e+07	4.03383e+07	3.84737e+07	4.12826e+07	4.09533e+07	4.00069e+07
P00490	PHSM_ECOLI	malP	Maltodextrin phosphorylase	31	31	3.68809e+07	3.6402e+07	3.83966e+07	3.65973e+07	3.60141e+07	3.8138e+07
P00509	AAT_ECOLI	aspC	Aspartate aminotransferase	26	26	9.25565e+07	8.98124e+07	9.11782e+07	9.54732e+07	9.16087e+07	9.14255e+07
P00547	KHSE_ECOLI	thrB	Homoserine kinase	2	2		4.01239e+06	3.59319e+06	3.95806e+06	4.19049e+06	3.78644e+06
P00550	PTM3C_ECOLI	mtlA	PTS system mannitol-specific EIICBA component	4	4	3.21574e+06	2.79831e+06	3.36675e+06	3.27434e+06	3.23755e+06	3.27034e+06
P00561	AK1H_ECOLI	thrA	Bifunctional aspartokinase/homoserine dehydrogenase 1	12	12	1.10969e+07	1.1105e+07	1.10923e+07	1.04491e+07	1.058e+07	1.16189e+07
P00562	AK2H_ECOLI	metL	Bifunctional aspartokinase/homoserine dehydrogenase 2	14	14	7.20543e+06	7.25108e+06	7.49225e+06	7.25311e+06	7.37056e+06	7.59634e+06
P00579	RPOD_ECOLI	rpoD	RNA polymerase sigma factor RpoD	20	19	8.22175e+07	8.25267e+07	8.24487e+07	9.08754e+07	8.78037e+07	8.69673e+07
P00582	DPO1_ECOLI	polA	DNA polymerase I	37	37	2.24645e+07	2.25624e+07	2.28664e+07	2.1951e+07	2.16054e+07	2.28609e+07
P00709ups|LALBA_HUMAN_UPS	Alpha-lactalbumin	Alpha-lactalbumin		2	2		6.54619e+07		6.88677e+07	7.96913e+07	
P00803	LEP_ECOLI	lepB	Signal peptidase I	6	6	1.35016e+07	1.42309e+07	1.28633e+07	1.33763e+07	1.48211e+07	1.29659e+07
P00805	ASPG2_ECOLI	ansB	L-asparaginase 2	19	19	1.31471e+08	1.27322e+08	1.33819e+08	1.29943e+08	1.31526e+08	1.32095e+08
P00811	AMPC_ECOLI	ampC	Beta-lactamase	5	5	5.06917e+06	5.68407e+06	5.36273e+06	5.72994e+06	5.54995e+06	4.93558e+06
P00861	DCDA_ECOLI	lysA	Diaminopimelate decarboxylase	2	2	1.3474e+06	1.22632e+06	1.17689e+06	1.11647e+06	1.44876e+06	1.37453e+06
P00864	CAPP_ECOLI	ppc	Phosphoenolpyruvate carboxylase	39	39	5.96241e+07	6.01824e+07	5.91747e+07	6.07628e+07	6.1567e+07	5.96955e+07
P00887	AROH_ECOLI	aroH	Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive	4	4	7.19953e+06	8.51926e+06	7.38597e+06	8.48295e+06	9.1212e+06	7.38806e+06
P00888	AROF_ECOLI	aroF	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive	7	6	9.90373e+06	8.93746e+06	1.01545e+07	1.02247e+07	1.00367e+07	1.04464e+07
P00892	ILVG_ECOLI	ilvG	Acetolactate synthase isozyme 2 large subunit	1	1		308365	409791		338872	409507
P00894	ILVH_ECOLI	ilvH	Acetolactate synthase isozyme 3 small subunit	3	3	825137	850092	953573	898140	822850	899739
P00914	PHR_ECOLI	phrB	Deoxyribodipyrimidine photo-lyase	3	3	871585	818849	853340	716738	787061	802218
P00915ups|CAH1_HUMAN_UPS	Carbonic	Carbonic		10	10		1.25346e+08		1.15701e+08	1.32912e+08	
P00918ups|CAH2_HUMAN_UPS	Carbonic	Carbonic		12	12		1.85802e+08		1.81876e+08	1.88753e+08	
P00926	SDHD_ECOLI	dsdA	D-serine dehydratase	4	4	1.49427e+06	1.36031e+06	1.52068e+06	1.27119e+06	1.43259e+06	1.55474e+06
P00934	THRC_ECOLI	thrC	Threonine synthase	14	14	1.64709e+07	1.6807e+07	1.6763e+07	1.61287e+07	1.76887e+07	1.70085e+07
P00935	METB_ECOLI	metB	Cystathionine gamma-synthase	2	2	2.11536e+06	2.4024e+06	1.90216e+06	1.95401e+06	2.26309e+06	1.96885e+06
P00936	CYAA_ECOLI	cyaA	Adenylate cyclase	3	3		2.43699e+06		1.91206e+06	2.72384e+06	2.2929e+06
P00946	MANA_ECOLI	manA	Mannose-6-phosphate isomerase	11	11	4.9458e+07	5.02921e+07	4.79589e+07	4.96601e+07	4.9753e+07	5.11145e+07
P00954	SYW_ECOLI	trpS	Tryptophan--tRNA ligase	12	12	7.67708e+07	8.1588e+07	7.56674e+07	8.0418e+07	8.02006e+07	7.37793e+07
P00956	SYI_ECOLI	ileS	Isoleucine--tRNA ligase	37	37	1.0298e+08	1.09923e+08	1.02489e+08	1.09167e+08	1.11985e+08	1.07073e+08
P00957	SYA_ECOLI	alaS	Alanine--tRNA ligase	40	40	1.20417e+08	1.22606e+08	1.20405e+08	1.26058e+08	1.2545e+08	1.20449e+08
P00959	SYM_ECOLI	metG	Methionine--tRNA ligase	33	33	6.37074e+07	6.4073e+07	6.21154e+07	6.30819e+07	6.39694e+07	6.35568e+07
