Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML
DECOY_sp|P0A9P0|DLDH_ECOLI	Dihydrolipoyl	Dihydrolipoyl		1	1					1.87447e+06	
DECOY_sp|P76344|ZINT_ECOLI	Metal-binding	Metal-binding		2	2						3.21569e+06
O00762ups|UBE2C_HUMAN_UPS	Ubiquitin-conjugating	Ubiquitin-conjugating		7	7	9.66154e+07	9.90525e+07	5.47198e+06	9.6649e+07	4.9563e+06	4.1609e+06
O76070ups|SYUG_HUMAN_UPS	Gamma-synuclein	Gamma-synuclein		12	11	1.57308e+08	1.65484e+08	9.86547e+06	1.62678e+08	9.09135e+06	9.77727e+06
P00167ups|CYB5_HUMAN_UPS	Cytochrome	Cytochrome		5	5	1.27004e+08	1.23042e+08		1.25829e+08	9.5615e+06	
P00350	6PGD_ECOLI	gnd	6-phosphogluconate dehydrogenase, decarboxylating	27	27	3.43668e+08	3.54916e+08	3.42618e+08	3.46564e+08	3.29832e+08	3.41737e+08
P00363	FRDA_ECOLI	frdA	Fumarate reductase flavoprotein subunit	28	28	2.1896e+08	2.10241e+08	2.1203e+08	2.02133e+08	2.08786e+08	2.11445e+08
P00370	DHE4_ECOLI	gdhA	NADP-specific glutamate dehydrogenase	10	10	1.31889e+07	1.32425e+07	1.3494e+07	1.42798e+07	1.32179e+07	1.31752e+07
P00393	DHNA_ECOLI	ndh	NADH dehydrogenase	18	18	2.29983e+07	2.28002e+07	2.18165e+07	2.19521e+07	2.24156e+07	2.24012e+07
P00441ups|SODC_HUMAN_UPS	Superoxide	Superoxide		2	2	5.58827e+07	5.39667e+07		5.2933e+07		
P00448	SODM_ECOLI	sodA	Superoxide dismutase [Mn]	8	8	4.26666e+07	4.08975e+07	3.993e+07	4.06902e+07	4.11938e+07	3.91957e+07
P00452	RIR1_ECOLI	nrdA	Ribonucleoside-diphosphate reductase 1 subunit alpha	31	31	4.09153e+07	4.25492e+07	4.07602e+07	4.1146e+07	3.99916e+07	3.99395e+07
P00490	PHSM_ECOLI	malP	Maltodextrin phosphorylase	30	30	3.37194e+07	3.49625e+07	3.52692e+07	3.30562e+07	3.43607e+07	3.47344e+07
P00509	AAT_ECOLI	aspC	Aspartate aminotransferase	26	26	9.16766e+07	9.97177e+07	9.13234e+07	9.34736e+07	9.11712e+07	9.25478e+07
P00547	KHSE_ECOLI	thrB	Homoserine kinase	2	2	3.20157e+06	3.21663e+06	3.42818e+06	3.27569e+06	3.11813e+06	3.21205e+06
P00550	PTM3C_ECOLI	mtlA	PTS system mannitol-specific EIICBA component	4	4	2.96225e+06	3.36696e+06	3.37977e+06	3.14213e+06	3.34331e+06	3.35436e+06
P00561	AK1H_ECOLI	thrA	Bifunctional aspartokinase/homoserine dehydrogenase 1	12	12	1.0311e+07	1.03427e+07	1.18618e+07	1.0381e+07	1.18421e+07	1.13474e+07
P00562	AK2H_ECOLI	metL	Bifunctional aspartokinase/homoserine dehydrogenase 2	14	14	7.35728e+06	7.68238e+06	7.70003e+06	7.61949e+06	7.76644e+06	7.79733e+06
P00579	RPOD_ECOLI	rpoD	RNA polymerase sigma factor RpoD	20	19	8.38953e+07	9.35801e+07	8.84561e+07	9.05947e+07	8.47816e+07	8.51497e+07
P00582	DPO1_ECOLI	polA	DNA polymerase I	43	43	2.20266e+07	2.22283e+07	2.23347e+07	2.15052e+07	2.21506e+07	2.27231e+07
P00709ups|LALBA_HUMAN_UPS	Alpha-lactalbumin	Alpha-lactalbumin		2	2	6.75786e+07	6.99601e+07		7.85725e+07		
P00803	LEP_ECOLI	lepB	Signal peptidase I	7	7	1.44792e+07	1.44296e+07	1.51392e+07	1.49335e+07	1.48197e+07	1.36571e+07
P00805	ASPG2_ECOLI	ansB	L-asparaginase 2	18	18	1.33001e+08	1.37926e+08	1.36341e+08	1.34916e+08	1.33408e+08	1.33982e+08
P00811	AMPC_ECOLI	ampC	Beta-lactamase	5	5	4.13196e+06	4.10774e+06	3.95802e+06	3.86581e+06	3.76482e+06	3.80767e+06
P00861	DCDA_ECOLI	lysA	Diaminopimelate decarboxylase	2	2	1.12357e+06	916045	1.15562e+06	1.13643e+06	1.05502e+06	1.25174e+06
P00864	CAPP_ECOLI	ppc	Phosphoenolpyruvate carboxylase	40	40	6.1e+07	6.20546e+07	6.28108e+07	6.30498e+07	6.22626e+07	6.23988e+07
P00887	AROH_ECOLI	aroH	Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive	3	3	8.29934e+06	8.20968e+06	6.50412e+06	8.83478e+06	6.30249e+06	6.90313e+06
