Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML
DECOY_sp|P0AE37|ASTA_ECOLI	Arginine	Arginine		1	1	454932	404859	445104		555290	365762
DECOY_sp|P45539|FRLA_ECOLI	Putative	Putative		1	1			1.90412e+06			
DECOY_sp|P63389|YHES_ECOLI	Uncharacterized	Uncharacterized		1	1	1.11415e+07		1.18374e+07	1.01744e+07	1.18036e+07	1.00059e+07
DECOY_sp|P76621|CSID_ECOLI	Protein	Protein		1	1	1.95749e+06		1.77442e+06			
O00762ups|UBE2C_HUMAN_UPS	Ubiquitin-conjugating	Ubiquitin-conjugating		3	3	6.98251e+06	725811	7.20632e+06	1.79977e+06	6.91107e+06	857597
O76070ups|SYUG_HUMAN_UPS	Gamma-synuclein	Gamma-synuclein		4	4	2.20978e+07	5.71544e+06	2.33834e+07		2.39612e+07	
P00167ups|CYB5_HUMAN_UPS	Cytochrome	Cytochrome		3	3	1.27146e+07		1.22646e+07		1.23699e+07	
P00350	6PGD_ECOLI	gnd	6-phosphogluconate dehydrogenase, decarboxylating	27	27	3.81307e+08	3.68726e+08	3.74097e+08	3.62581e+08	3.71749e+08	3.72538e+08
P00363	FRDA_ECOLI	frdA	Fumarate reductase flavoprotein subunit	28	28	2.36444e+08	2.42846e+08	2.41561e+08	2.40311e+08	2.41105e+08	2.50015e+08
P00370	DHE4_ECOLI	gdhA	NADP-specific glutamate dehydrogenase	10	10	1.51951e+07	1.52941e+07	1.50179e+07	1.61198e+07	1.49016e+07	1.59415e+07
P00393	DHNA_ECOLI	ndh	NADH dehydrogenase	18	18	3.47788e+07	3.39651e+07	3.40831e+07	3.55342e+07	3.51174e+07	3.48315e+07
P00448	SODM_ECOLI	sodA	Superoxide dismutase [Mn]	8	8	4.43519e+07	4.33913e+07	4.39202e+07	4.30045e+07	4.26178e+07	4.54357e+07
P00452	RIR1_ECOLI	nrdA	Ribonucleoside-diphosphate reductase 1 subunit alpha	33	33	4.37462e+07	4.31774e+07	4.28329e+07	4.28642e+07	4.29979e+07	4.36445e+07
P00490	PHSM_ECOLI	malP	Maltodextrin phosphorylase	30	30	4.2818e+07	3.94762e+07	4.1926e+07	4.08727e+07	4.11774e+07	4.14404e+07
P00509	AAT_ECOLI	aspC	Aspartate aminotransferase	27	27	1.0463e+08	1.0657e+08	1.08395e+08	1.06816e+08	1.05365e+08	1.05908e+08
P00547	KHSE_ECOLI	thrB	Homoserine kinase	3	3	3.69684e+06	3.88676e+06	3.70154e+06	3.29671e+06	3.28824e+06	4.18594e+06
P00550	PTM3C_ECOLI	mtlA	PTS system mannitol-specific EIICBA component	4	4	3.27982e+06	3.50218e+06	3.72504e+06	3.77662e+06	3.69664e+06	4.22044e+06
P00561	AK1H_ECOLI	thrA	Bifunctional aspartokinase/homoserine dehydrogenase 1	12	12	1.44036e+07	1.45614e+07	1.4521e+07	1.53468e+07	1.47844e+07	1.50769e+07
P00562	AK2H_ECOLI	metL	Bifunctional aspartokinase/homoserine dehydrogenase 2	16	16	8.06846e+06	8.00323e+06	8.16148e+06	8.03641e+06	7.88297e+06	8.17955e+06
P00579	RPOD_ECOLI	rpoD	RNA polymerase sigma factor RpoD	20	19	8.49522e+07	8.5232e+07	8.75339e+07	8.37186e+07	8.5182e+07	8.27715e+07
P00582	DPO1_ECOLI	polA	DNA polymerase I	43	43	2.34206e+07	2.35181e+07	2.3758e+07	2.39359e+07	2.40524e+07	2.3877e+07
P00803	LEP_ECOLI	lepB	Signal peptidase I	6	6	1.50547e+07	1.543e+07	1.52314e+07	1.50727e+07	1.37553e+07	1.56823e+07
P00805	ASPG2_ECOLI	ansB	L-asparaginase 2	19	19	1.47459e+08	1.46033e+08	1.47805e+08	1.45151e+08	1.47613e+08	1.46954e+08
P00811	AMPC_ECOLI	ampC	Beta-lactamase	5	5	4.51609e+06	4.21981e+06	4.84619e+06	4.32487e+06	4.9121e+06	4.68171e+06
P00861	DCDA_ECOLI	lysA	Diaminopimelate decarboxylase	2	2	904755	1.0113e+06		815321	722892	844103
P00864	CAPP_ECOLI	ppc	Phosphoenolpyruvate carboxylase	42	42	6.44375e+07	6.40186e+07	6.61103e+07	6.3745e+07	6.40231e+07	6.63492e+07
P00887	AROH_ECOLI	aroH	Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive	3	3	8.95723e+06	7.68793e+06	9.00429e+06	8.43207e+06	8.6353e+06	7.72897e+06
