Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Gamma_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Beta_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Gamma_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Beta_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Beta_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Gamma_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Beta_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Alpha_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Alpha_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Alpha_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Alpha_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Alpha_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Alpha_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Gamma_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Beta_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Gamma_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Beta_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Gamma_02.d
A0A024R1R8	A0A024R1R8		TMA7B		70121.6	72656.3	72062.6	75354.5	73751.1	79124.3	66210.4	65660.1	66643.2	61334.9	60443.6	60527.2	67479.8	65830.2	72849.1	57409.7	58392.3	62878.8
A0A096LP01	A0A096LP01		SMIM26		10106.4	7243.89	9050.77	9634.33	11010.1	9329.66	10005.4	8949	7805.88	9186.48	8641.22	8659.38	8009.79	9136.23	8822.82	8357.28	9287.47	7748.72
A0A096LP55	A0A096LP55		UQCRHL			8176.78		8838.43	9396.97			7477.49			9623.06		8522.27	8050.64	6665.87	6533.37	7512.95	7306.76
A0A0B4J2A2	A0A0B4J2A2		PPIAL4C		128515	139631	265178	153057	135198	130666	151323	145635	144817	158178	236717	141748	151261	155307	168669	130515	141078	161366
A0A0U1RRL7	A0A0U1RRL7		MMP24OS		8002.43	11895.3	6681.76	7005.33	6728.81	4663.04	3994.13	10912	8857.5	10050.9	7052.01	7877.23	4200.01	5078.42	7296.8	10175.7	11064.2	6857.64
A0A1B0GUS4	A0A1B0GUS4		UBE2L5		15252.6	18237.3	10273.2	23987.7	8443.23			14560.7	10387.2	10833.1	16138	26467.1	14689.8		19049	21222.3	22729.9	24563
A0A3B3ISX7	A0A3B3ISX7		LOC128706665		40539.9	41829.1	46615.2	40500.1	30761.3	29996.2	49521.8	68594	62158.6	53130.7	44627	50173.6	41536.2	54931.1	64002	72254.4	71977.7	73508.6
A0AAG2SUK6	A0AAG2SUK6				69862.3	74383.8	78835.8	76595.2	71588.9	75236.5	74484.6	80332.7	75510.5	78102.2	72953.6	74807.8	75696.7	75654.5	79404.7	84255.3	74845	79363.6
A0AAG2UWQ9	A0AAG2UWQ9		NKRF		122967	118762	126100	117692	120395	119209	121581	118371	121722	122384	116673	122872	120315	123010	122027	119224	119878	123662
A0ACI8SQ87	A0ACI8SQ87		ERVK3-1		61826.1	63151.2	61365.4	65873.3	56561.4	58771.7	57860.5	63913.7	57998	61952	52431.4	69734.3	53183.1	59501	56246.7	61933.9	61056.5	62724.6
A0AV96	A0AV96		RBM47		5529.66	5361.15	6984.17	5945.41	5502.52	6510.77	6343.76	7343.63	6686.41	6834.34	6799.51	7335.63	6239.33	7946.34	5045.83	7251.49	5937.49	6361.11
A0AVK6	A0AVK6		E2F8		4049.77	3780.76	3962.17	4118.56	5687.75	3497.49	4106.87	4828.9	4357.97	4954.28	3982.01	5174.31	3752.44	4849.87	4762.17	4227.71	3988.45	4714.15
A0AVT1	A0AVT1		UBA6		153016	156190	151501	154903	147969	145524	160334	162174	161981	153562	158816	157806	147028	163897	158304	167319	166063	166393
