Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Gamma_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Beta_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Gamma_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Beta_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Beta_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Gamma_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Beta_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Alpha_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Alpha_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Alpha_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Alpha_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Alpha_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Alpha_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Gamma_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Beta_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Gamma_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Beta_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Gamma_02.d
A0A096LP01	A0A096LP01		SMIM26		10812.1	7476.95	8965.8	9873.46	10867.2	9209.08	10079.1	8871.97	8083.07	9176.42	9231.63	8092.04	7714.17	9359.73	9195.56	9002.65	9256.34	8114.85
A0A096LP55	A0A096LP55		UQCRHL					9245.83	9793.88	9185.82		7310.12		8427.89					6686.36			
A0A0B4J2A2	A0A0B4J2A2		PPIAL4C		177444	144532	361867	156079	253631	325451	227327	225392	178500	194344	210023	178234	184095	205837	199953	162078	327699	221031
A0A0U1RRL7	A0A0U1RRL7		MMP24OS		9008.05	12047.4	8183.07	7202.65	6390.04	5103.77	4439	10631.9	9373.4	11363.6	8086.82	8830.36	5443.47	5847.49	7541.36	10848.9	11791	7614.68
A0A1B0GUS4	A0A1B0GUS4		UBE2L5		13876.3	18463.3	9929.19	23560.1	11899.2			13493.2	10366.2	10989.4	15819	24737.6	14571.5	21760.9	17467.8	20561.8	19196	25273.9
A0A3B3ISX7	A0A3B3ISX7		LOC128706665		40703.8	43050.4	47536.1	39710.4	28156	30033.4	50094.1	68472.2	60757.6	53779.2	49423.9	52512	38745	56751.4	64252.5	70560.4	72337.3	73724.1
A0AAG2SUK6	A0AAG2SUK6				74404	80289.8	77164.2	77959.1	72321.5	73872.4	75856.5	81257	75699.7	79332	76447.4	76582.4	74562.6	76694.5	77715.5	83431.6	74945.3	78881.6
A0AAG2UWQ9	A0AAG2UWQ9		NKRF		112027	110240	115413	108754	109049	108188	112405	108542	113040	110136	108154	113520	110638	113685	115578	115760	112400	113606
A0ACI8SQ87	A0ACI8SQ87		ERVK3-1		64743.8	62846.5	60307.8	64908.8	61102.9	56903.7	60467.9	64275.8	59025.9	65194.7	53541.8	66686.9	54177.6	56199.9	57605.7	59991.2	60501.9	63976.1
A0AV96	A0AV96		RBM47		2221.68	1879.28	2018.25	2058.8	1550.17	2280.22	2185.69	2636.42	2127.13	2129.13	2548.61	2506.06	2077.76	2472.49	2004.23	2322.73	1908.54	2281.33
A0AVK6	A0AVK6		E2F8		4261.77	5115.39	3979.78	4432.17	5395.23	4100.99	5311.54	4794.83	4951.06	5371.53	5313.84	5212.5	4007.38	5584.31	5472.67	4829.97	4139.12	5216.27
A0AVT1	A0AVT1		UBA6		150892	154885	152719	155815	149621	147785	161614	162059	162757	153998	158832	157891	147840	164153	160455	168379	165799	164665
A0FGR8	A0FGR8		ESYT2		31207.3	31082.7	31071.3	31414.9	30479.8	29848	30769.3	28731.6	30414.3	29923.3	31417.1	31419.6	31465.3	29570	29515	29659.1	29672.5	31412
A0JLT2	A0JLT2		MED19		44476.2	47710	40152.1	48882.1	49474.9	47716.1	44843.7	49942.3	41998	46394.5	48259.6	43631.3	47525.2	55552.2	49618.8	48781.3	48466.7	48857.7
A0JNW5	A0JNW5		BLTP3B		12197.1	11542.8	11921.5	11239	12098.4	11226.8	12139.9	12742.6	12315.5	14143.2	12486.5	12166.4	13454.6	12735.1	11764.5	12077.8	11581.7	13401.6
A0MZ66	A0MZ66		SHTN1		47942.2	44955.1	46111.2	47035.1	45281.2	42566.3	47349.9	47686.9	47136.2	46068	47221	48423	45191.2	47790.1	48261.3	46724.1	46587	46804.1
A0PJW6	A0PJW6		TMEM223		14745.8	13649	12433.8	13373.3	12421.7	12930.8	15166.5	13007.9	13049	14254.8	13965.1	12871.1	13302.9	13010.9	12309.8	11123.1	13371.7	13545.8
A2IDD5	A2IDD5		CCDC78		201625		204237	216187	194054	177352	232574	272587	261374	223063	246756	195623	170179	240248	249310	267141	257721	255699
A2RRD8	A2RRD8		ZNF320		3298.94	3964.73	3445.56	3445.3	3864.74	3112.48	3665	4144.42	4320.53	3384	3833.73	4445.11	4564.52	5177.57	4898.68	4178.97	4452.35	4365.82
A2RRP1	A2RRP1		NBAS		83854	80752.5	80300.8	83667.1	79297.5	79825.3	79102.3	80720.4	79327.6	78075.6	80451.3	80838.1	81782.2	78124.7	80006.3	78117.7	77176.4	79480.2
A2RTX5	A2RTX5		TARS3		12539.5	10007.2	10376.9	10707.4	10192.3	9989.74	11199.2	10105.2	11184.4	11115.5	9641.56	11756	9920.56	10566.4	9892.78	9359.4	10282.1	10060.6
A2VDF0	A2VDF0		FUOM		5707.22	4487.07	2579.73	4454.49	2884.22	2345.67	2617.73	3243.89	4826.78	4422.08	4361.47	4438.54	2959.71	2218.76	4119.19	4304.94	4978.35	4067.39
A3KMH1	A3KMH1		VWA8		34343.8	32913.8	32051.7	35683.7	33897	33899.7	31783.3	30042.5	30207	31937.6	31639.4	33418.7	33878.1	33149.4	32712.3	30229.9	29879.1	33460.2
A3KN83	A3KN83		SBNO1		50815.5	53277.3	48567.7	50337.9	50532.7	47284.5	51288.4	56403.7	56057.6	50467.2	51315.3	56575.7	49824.8	54682.6	53248.8	54896.4	53657	51853.4
A4D0V7	A4D0V7		CPED1		9106.73	10123.6	9067.52	8590.19	10066.4	8727.58	8803.15	10014.9	10308.5	9338.72	9981.82	10902.3	10718.5	10796.2	9656.57	11433.2	8771.8	8029.15
A4D126	A4D126		CRPPA		6376.15	6585.5	4949.64	5481.31	4638.83	6618.91	5850.18	6442.21	7470.01	6372.67	7102.73	7036.73	6455.92	7594.7	6498	6074.43	6907.78	7659.31
A4D1E9	A4D1E9		GTPBP10		44151.8	43529	44399.8	46078.3	44767.8	42829.7	44971.6	40736.9	42301.4	40202.2	44354.3	41359.7	45201.2	43790.7	40915	43905.7	40008.9	40358.3
A4D1P6	A4D1P6		WDR91		10521.1	9648.94	8184.66	9667.27	10424	10514.6	9564.43	9522.17	8790.49	10494.8	9633.59	10022.7	10243.3	8924.24	9980.41	7782.83	9583.2	9426.29
A5A3E0	A5A3E0		POTEF		451230	435934	427959	427574	343278	458135	436576	443580	443638	457389	460609	482369	409052	386874	396269	377072	421727	392421
A5PL33	A5PL33		KRABD3		1851.04	3777.34						1472.36		1716.09	313.451	888.438				931.38	2285.54	
A5PLN9	A5PLN9		TRAPPC13		92382	83089.1	108345	94385.6	94658.1	99188.4	93241.8	78890.5	86205.9	93279.6	83409.2	95283	106965	102090	90139.5	92754.5	80422.1	105665
A5YKK6	A5YKK6		CNOT1		239250	234405	233915	231326	233863	231431	237429	233370	238334	236105	239407	231115	233615	232446	235051	230661	236133	231781
A5Z2X5	A5Z2X5		YPR010C-A		41848.4	42010.2	37280.6	42728.2	38842	42631.1	21047.8	21912.6	22706.3	37939.4	21120.4	44306	45446.7	21262.9	22376.9	23675.3	23130.4	22747.8
A6NCE7	A6NCE7		MAP1LC3B2		102794	99328.4	97578.3	104300	106824	102368	104300	95602.8	104198	83455.4	102099	98738	102301	103562	100495	102572	97368.3	102695
A6NDB9	A6NDB9		PALM3		2495.7	2173.08	1427.98	1496.1	2094.91	2558.12	2831.22	2429.9	3189.74	3135.28	3344.9	2741.38	1686.44	3756.98	2353.05	2962.69	3422.72	3197.61
A6NDG6	A6NDG6		PGP		311144	288807	289136	305152	283034	287523	311973	330129	317793	337086	326746	306041	279951	325918	334657	337274	349113	338013
A6NDU8	A6NDU8		RIMOC1		58236.9	56437.5	58813.1	56089	52982.2	57704.5	55966.6	59923.1	60895.8	61454.1	58906.1	57464	57716.6	58663.2	56593.4	58528.4	60065.4	61844.7
A6NED2	A6NED2		RCCD1		23004.2	25449.7	23456.2	24275.9	23482.1	22489.2	25970	25645.1	23391.3	25614.4	24561.9	23463	23164.4	25410	25806.6	25993.5	26161.5	25344.8
A6NFI3	A6NFI3		ZNF316		29547.8	30223.6	28983.5	29942.4	28160.4	29739.9	32631.4	28127.9	29035.8	28223.1	29072.9	27075.6	29316	31007.8	31281.9	30312.4	29194.1	31721.1
A6NFQ2	A6NFQ2		TCAF2		63384.1	59973.8	67681.1	59859.5	64392.9	54990.7	74383.4	67073.3	71323.1	56126.8	68162	72424.8	67918.2	68237.3	64953.8	64031.5	64629.7	64132.8
