Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_02.mzML
A0A024R1R8	A0A024R1R8		TMA7B		7.88386e+06	8.05213e+06	8.83587e+06	8.74841e+06	5.13734e+06	6.46434e+06	7.57542e+06	7.66525e+06	8.03967e+06	9.73739e+06	5.80364e+06	6.85265e+06	7.7046e+06	7.82019e+06	7.98695e+06	1.12126e+07	6.81081e+06	7.9308e+06
A0A024RBG1	A0A024RBG1		NUDT4B		2.16159e+06	2.04962e+06	2.10355e+06	2.08517e+06	1.78079e+06	2.17988e+06	2.21021e+06	2.0207e+06	2.16845e+06	1.99546e+06	1.85034e+06	2.08024e+06	2.19778e+06	2.11344e+06	2.10141e+06	2.3167e+06	2.13547e+06	1.93247e+06
A0A0B4J2A2	A0A0B4J2A2		PPIAL4C		1.23524e+06	3.1656e+06	1.78576e+06	3.62629e+06	1.60349e+06	3.82503e+06	835230	1.47763e+06	1.48105e+06	749444	1.81262e+06	1.41349e+06	2.1748e+06	1.6923e+06	1.51207e+06	1.47036e+06	1.69568e+06	1.3248e+06
A0A0B4J2F0	A0A0B4J2F0		PIGBOS1		873321	1.53749e+06	607241	1.38433e+06	836457	4.35469e+06	530251	815415	1.24037e+06	777503	811226	410371	1.08057e+06	1.17237e+06	1.21071e+06	830791	1.1138e+06	1.01849e+06
A0A0U1RRL7	A0A0U1RRL7		MMP24OS		918590	1.07014e+06	1.04594e+06	1.11835e+06	1.00347e+06	1.31046e+06	1.02764e+06	980448	1.08585e+06	652848	1.18083e+06	1.09616e+06	1.26372e+06	908122	1.02792e+06	451842	1.24344e+06	1.11616e+06
A0A3B3ISX7	A0A3B3ISX7		LOC128706665		3.88498e+06	3.69571e+06	4.03941e+06	4.10756e+06	3.38806e+06	3.87986e+06	3.71137e+06	3.791e+06	3.6886e+06	3.40282e+06	3.42551e+06	3.88455e+06	3.96139e+06	3.83537e+06	4.03344e+06	3.72186e+06	3.91194e+06	4.01253e+06
A0A8I5KQE6	A0A8I5KQE6		RPSA2						3.74468e+06	8.24211e+06					3.90379e+06			4.86443e+06				3.30116e+06
A0AAG2SWI5	A0AAG2SWI5				1.74487e+06	2.29316e+06	1.54313e+06	1.8964e+06	874203	1.09708e+06	2.03401e+06	1.92599e+06	1.9009e+06	2.31126e+06	921309	1.10209e+06	1.5845e+06	1.88147e+06	2.08041e+06	2.17864e+06	1.30943e+06	1.49171e+06
A0ACI8SQ87	A0ACI8SQ87		ERVK3-1		2.83297e+06		2.78611e+06		3.2647e+06		3.6692e+06	2.59664e+06	2.76144e+06	2.18256e+06	2.87084e+06	3.16412e+06	2.11594e+06	2.47622e+06	1.20726e+06	978687	1.29729e+06	2.85412e+06
A0AVT1	A0AVT1		UBA6		6.10368e+06	6.5698e+06	6.26705e+06	6.61347e+06	5.11151e+06	5.92849e+06	6.16854e+06	6.02388e+06	6.33576e+06	5.87306e+06	5.55316e+06	6.01357e+06	6.1945e+06	6.27722e+06	6.25822e+06	6.09771e+06	5.72775e+06	6.1468e+06
A0FGR8	A0FGR8		ESYT2		6.75614e+06	7.13959e+06	6.72935e+06	6.88898e+06	5.47729e+06	7.13073e+06	6.65547e+06	6.70135e+06	7.16686e+06	6.39669e+06	6.51038e+06	6.95528e+06	7.35656e+06	7.20406e+06	6.76654e+06	7.25211e+06	6.96191e+06	6.29163e+06
A0JLT2	A0JLT2		MED19		708732	941381	770274	1.32943e+06	787560	1.15091e+06	544724	602866	654299	502783	719163	644413	1.02055e+06	796763	960208	527987	984572	650302
A0MZ66	A0MZ66		SHTN1		2.68225e+06	2.85753e+06	2.51372e+06	2.70492e+06	2.24536e+06	2.88342e+06	2.69279e+06	2.58627e+06	2.74687e+06	2.38766e+06	2.44202e+06	2.56043e+06	2.70295e+06	2.64218e+06	2.69772e+06	2.1323e+06	2.57641e+06	2.52718e+06
A2RRP1	A2RRP1		NBAS		4.90568e+06	5.07541e+06	5.08029e+06	5.18973e+06	4.50706e+06	4.50795e+06	4.8534e+06	5.07635e+06	4.94774e+06	4.43754e+06	4.78595e+06	4.89827e+06	5.24361e+06	5.22269e+06	5.18383e+06	4.51336e+06	5.17691e+06	4.79718e+06
A2RTX5	A2RTX5		TARS3		550127	682010	411234	448209	396751	524823	408761	432743		490452	465566	431348	624118	455190	484048	445083	538377	274638
A3KN83	A3KN83		SBNO1		2.68603e+06	3.08073e+06	2.99221e+06	3.00046e+06	2.70916e+06	3.23985e+06	2.84434e+06	2.65419e+06	2.97165e+06	2.60066e+06	2.81289e+06	2.8478e+06	3.09245e+06	3.02882e+06	2.9378e+06	2.86271e+06	3.02106e+06	2.71285e+06
A4D1E9	A4D1E9		GTPBP10		1.50317e+06	1.53187e+06	1.52457e+06	1.48515e+06	1.45242e+06	1.55458e+06	1.40561e+06	1.41986e+06	1.65834e+06	1.3542e+06	1.54456e+06	1.43083e+06	1.66079e+06	1.58824e+06	1.51695e+06	1.51537e+06	1.42922e+06	1.43672e+06
A5A3E0	A5A3E0		POTEF		9.88337e+07	7.93679e+07	1.01674e+08	4.54755e+07	9.67393e+07	7.44546e+07	1.09611e+08	8.81719e+07	1.12908e+08	1.02864e+08	9.90763e+07	8.91196e+07	1.05897e+08	1.00984e+08	9.10672e+07	1.26332e+08	9.30641e+07	9.38768e+07
A5D8V6	A5D8V6		VPS37C		1.91636e+06	1.85674e+06	1.72365e+06	1.86013e+06	1.85606e+06	1.82427e+06	2.00378e+06	1.54784e+06	1.65984e+06	1.28364e+06	1.84095e+06	1.81792e+06	1.94378e+06	1.74851e+06	1.04494e+06	1.80426e+06	1.15038e+06	1.97232e+06
A5PLN9	A5PLN9		TRAPPC13		1.0253e+06	976537	1.01062e+06	793682	845985	875181	803579	973470	989852	750031	983524	848806	1.03923e+06	1.05514e+06	980989	867395	899053	852885
A5YKK6	A5YKK6		CNOT1		1.04878e+07	1.13163e+07	1.07056e+07	1.14561e+07	9.03864e+06	1.08113e+07	1.01099e+07	1.01253e+07	1.04974e+07	9.53293e+06	9.69963e+06	1.02727e+07	1.07513e+07	1.08651e+07	1.10274e+07	1.03088e+07	1.03717e+07	1.02617e+07
A5Z2X5	A5Z2X5		YPR010C-A		1.26545e+06	647344	1.58382e+06	686483	1.53204e+06	610467	1.17052e+06	1.26722e+06	684374	1.53031e+06	1.40082e+06	1.41434e+06	775313	570941	572082	619039	644577	1.31533e+06
A6NCE7	A6NCE7		MAP1LC3B2		1.1013e+07	1.19778e+07	1.17435e+07	1.14461e+07	7.76675e+06	9.5429e+06	1.03464e+07	1.11658e+07	9.97349e+06	1.02232e+07	9.40795e+06	1.02071e+07	1.09256e+07	1.09362e+07	1.09548e+07	1.11838e+07	1.0515e+07	9.55542e+06
A6NDG6	A6NDG6		PGP		1.32285e+07	1.43004e+07	1.31182e+07	1.41e+07	1.29899e+07	1.60065e+07	1.26638e+07	1.28072e+07	1.37082e+07	1.28518e+07	1.30375e+07	1.3047e+07	1.43282e+07	1.38312e+07	1.39686e+07	1.39295e+07	1.44326e+07	1.22152e+07
A6NDU8	A6NDU8		RIMOC1		3.42451e+06	3.51205e+06	3.25449e+06	2.89124e+06	3.30374e+06	3.43087e+06	3.5525e+06	3.35726e+06	3.44724e+06	3.75595e+06	3.39477e+06	3.32422e+06	3.42285e+06	3.45984e+06	3.49458e+06	3.41942e+06	3.33741e+06	3.23198e+06
A6NED2	A6NED2		RCCD1		802883	946283	764710	942913	925651	1.07844e+06	872329	833148	823175	644827	827626	823128	869187	837203	808522	848736	835790	695404
A6NFI3	A6NFI3		ZNF316		313493	280356	306585	302002	303445	373067	193438	334515	289448	185294	362630	304769	341329	232058	343772	196767	326900	300236
A6NFQ2	A6NFQ2		TCAF2		430569	483102	408081	374837	313903	356567		315857			397443	353308	455533		397597	435695	417569	
A6NGK3	A6NGK3		GAGE10		5.76066e+06		3.05611e+06		2.99639e+06		5.45703e+06	4.10985e+06	3.90841e+06	2.07906e+06	3.56108e+06	5.14159e+06	2.47216e+06	2.50189e+06	1.14709e+06	479202	1.13004e+06	4.59119e+06
A6NHL2	A6NHL2		TUBAL3		1.57748e+07	1.15863e+07	1.62503e+07	1.2046e+07	1.64283e+07	1.20492e+07	1.39768e+07	1.5219e+07	1.86211e+07	1.40941e+07	1.69989e+07	1.52253e+07	1.98278e+07	1.89881e+07	1.77602e+07	1.53347e+07	1.83207e+07	1.52003e+07
A6NHQ2	A6NHQ2		FBLL1		6.26211e+06	6.95829e+06	6.56484e+06	5.68308e+06	6.76145e+06	6.6037e+06		8.2621e+06			8.615e+06	8.05718e+06	7.19526e+06		8.11672e+06		7.62094e+06	7.35694e+06
A6NHR9	A6NHR9		SMCHD1		1.14702e+07	1.19283e+07	1.17837e+07	1.20667e+07	9.94868e+06	1.18232e+07	1.13289e+07	1.12473e+07	1.1551e+07	1.08439e+07	1.06106e+07	1.12101e+07	1.15287e+07	1.19173e+07	1.18213e+07	1.08511e+07	1.16629e+07	1.12466e+07
A6NJ78	A6NJ78		METTL15		538263	429917	404250	446836	767860	709089	450049	518143	535957	388509	507497	572301	641924	549363	583227		606824	487331
