Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_02.mzML
A0A024R1R8	A0A024R1R8		TMA7B		7.88415e+06	8.03084e+06	8.76918e+06		5.05904e+06	6.17679e+06	7.58707e+06	7.6765e+06	8.01846e+06					7.81829e+06	8.03959e+06	1.07346e+07	6.61039e+06	8.1032e+06
A0A024RBG1	A0A024RBG1		NUDT4B		5.66851e+06	5.47258e+06	5.70855e+06	5.56877e+06	4.99208e+06	5.77782e+06	5.84093e+06	5.43922e+06	5.75922e+06	5.49644e+06	5.26102e+06	5.9527e+06	5.88949e+06	5.4903e+06	5.35693e+06	5.34565e+06	5.50606e+06	5.36564e+06
A0A0B4J2A2	A0A0B4J2A2		PPIAL4C				3.6907e+06		3.80612e+06			3.28087e+06			4.01716e+06	897440			516315		524072	
A0A0B4J2F0	A0A0B4J2F0		PIGBOS1		877830	1.55251e+06	615170	1.42577e+06	774349	4.2746e+06	535551	834672	1.24302e+06	779576	836032	412190	1.11715e+06	1.30794e+06	1.2434e+06	830954	1.07691e+06	1.02227e+06
A0A0U1RRL7	A0A0U1RRL7		MMP24OS		945890	1.06276e+06	1.04256e+06	1.12042e+06	1.02887e+06	1.29412e+06	1.06705e+06	988505	1.07844e+06	644327	1.11324e+06	1.10771e+06	1.2748e+06	951152	1.0555e+06	474476	1.29641e+06	1.10997e+06
A0A3B3ISX7	A0A3B3ISX7		LOC128706665		3.65245e+06	3.54765e+06	3.98871e+06	4.12765e+06	4.1362e+06	4.79216e+06	3.42933e+06	3.40777e+06	3.69767e+06	2.76257e+06	4.10205e+06	4.26882e+06	4.39753e+06	4.00539e+06	3.81785e+06	2.58298e+06	4.46016e+06	3.57671e+06
A0A8I5KQE6	A0A8I5KQE6		RPSA2						4.41086e+06					8.93034e+06						4.96871e+06		3.57322e+06
A0ACI8SQ87	A0ACI8SQ87		ERVK3-1		2.84142e+06		2.78398e+06		3.27506e+06		3.37615e+06	2.60896e+06	2.78722e+06	2.13221e+06	2.84589e+06	3.11952e+06	2.08412e+06	2.37715e+06	1.18972e+06	1.10954e+06	1.27818e+06	2.86039e+06
A0AVT1	A0AVT1		UBA6		6.14682e+06	6.43109e+06	6.22038e+06	6.51496e+06	5.05228e+06	5.82269e+06	6.06184e+06	6.02316e+06	6.11654e+06	5.68285e+06	5.46817e+06	5.84316e+06	6.10762e+06	6.21818e+06	6.11312e+06	6.01238e+06	5.66412e+06	6.15117e+06
A0FGR8	A0FGR8		ESYT2		5.74984e+06	5.78838e+06	5.51416e+06	5.43863e+06	4.81987e+06	5.93599e+06	5.75894e+06	5.37392e+06	5.76468e+06	5.73217e+06	5.45108e+06	5.89101e+06	6.07002e+06	6.01885e+06	5.49612e+06	6.51227e+06	5.7976e+06	5.12081e+06
