Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_02.mzML
A0A024R1R8	A0A024R1R8		TMA7B		7.93142e+06	8.16787e+06	8.60419e+06	8.94295e+06	4.9709e+06	6.52601e+06	7.67984e+06	7.91047e+06	7.91915e+06	9.27999e+06	5.67761e+06	6.56244e+06	7.6997e+06	7.84163e+06	8.12387e+06	1.08741e+07	6.627e+06	7.83471e+06
A0A0B4J2A2	A0A0B4J2A2		PPIAL4C		1.18423e+07	3.57707e+07	1.21533e+07	3.98466e+07	1.15969e+07	4.25592e+07	7.84578e+06	1.26639e+07	1.57202e+07	8.8167e+06	1.45611e+07	9.69677e+06	2.01172e+07	1.68294e+07	2.48774e+07	1.52304e+07	2.65268e+07	9.10446e+06
A0A1B0GUA9	A0A1B0GUA9		C13orf46		3.60847e+06	1.85237e+06	4.46044e+06	3.09511e+06	4.15528e+06	4.25396e+06	2.89644e+06	3.15189e+06	1.66097e+06	2.95866e+06	5.04617e+06	4.98755e+06	3.33757e+06	2.87382e+06	2.29399e+06	1.5877e+06	3.94936e+06	3.46928e+06
A0A3B3ISX7	A0A3B3ISX7		LOC128706665		3.77828e+06	3.53143e+06	3.97228e+06	4.10015e+06	4.08996e+06	5.00639e+06	3.42684e+06	3.503e+06	3.72245e+06	2.79348e+06	3.86752e+06	4.29858e+06	4.3957e+06	3.93301e+06	3.93421e+06	2.52891e+06	4.41975e+06	3.71128e+06
A0A804HLA8	A0A804HLA8		GNG5B		1.90396e+06	1.75237e+06	1.78578e+06	1.86144e+06	1.00285e+06	1.11082e+06	1.48786e+06	1.7837e+06	1.63434e+06	1.77054e+06	1.04586e+06	1.51585e+06	1.52713e+06	1.55966e+06	1.72348e+06	2.00018e+06	1.50894e+06	1.84241e+06
A0ACI8SQ87	A0ACI8SQ87		ERVK3-1		2.74846e+06		2.36575e+06		3.14383e+06		3.38754e+06	2.58459e+06	2.7859e+06	1.84901e+06	2.78401e+06	3.27607e+06	2.11646e+06	2.40524e+06	1.12668e+06	973467	1.2194e+06	3.02833e+06
A0AVT1	A0AVT1		UBA6		6.12215e+06	6.26397e+06	6.11532e+06	6.31082e+06	5.00108e+06	5.60026e+06	6.17543e+06	5.97425e+06	6.32266e+06	5.82487e+06	5.32404e+06	5.81509e+06	5.8994e+06	6.23798e+06	6.23888e+06	6.09466e+06	5.51319e+06	6.14876e+06
A0MZ66	A0MZ66		SHTN1		2.39896e+06	2.46005e+06	2.21527e+06	2.39644e+06	2.24052e+06	2.66738e+06	2.35619e+06	2.2874e+06	2.42422e+06	2.34536e+06	2.43138e+06	2.38887e+06	2.5102e+06	2.37889e+06	2.40111e+06	1.8802e+06	2.42424e+06	2.25047e+06
A2RRP1	A2RRP1		NBAS		1.35213e+06	1.60757e+06	1.57067e+06	1.64839e+06	1.15401e+06	1.22998e+06	1.44108e+06	1.51012e+06	1.49739e+06	1.45171e+06	1.32343e+06	1.41931e+06	1.39924e+06	1.49565e+06	1.68581e+06	1.69415e+06	1.23414e+06	1.26823e+06
A3KN83	A3KN83		SBNO1		2.53542e+06	2.87974e+06	2.80943e+06	2.91574e+06	2.66078e+06	3.20673e+06	2.74996e+06	2.49158e+06	2.81833e+06	2.47275e+06	2.69833e+06	2.91393e+06	2.96651e+06	2.92014e+06	2.75581e+06	2.63014e+06	3.17515e+06	2.61781e+06
