Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_02.mzML
A0A024R1R8	A0A024R1R8		TMA7B		7.95023e+06	8.2452e+06	8.69204e+06	9.02276e+06	5.28422e+06	6.682e+06	7.71619e+06	8.02789e+06	7.94603e+06	9.20453e+06	5.60778e+06	6.90996e+06	7.6845e+06	7.87974e+06	8.14834e+06	1.14957e+07	6.79273e+06	8.05815e+06
A0A0B4J2A2	A0A0B4J2A2		PPIAL4C		1.16948e+07	3.56869e+07	1.19746e+07	3.99265e+07	1.16633e+07	4.30416e+07	7.72045e+06	1.30617e+07	1.57764e+07	8.92072e+06	1.45954e+07	9.65012e+06	2.03822e+07	1.69291e+07	2.46698e+07	1.51828e+07	2.72457e+07	9.3365e+06
A0A3B3ISX7	A0A3B3ISX7		LOC128706665		3.79817e+06	3.5319e+06	3.98301e+06	4.11016e+06	4.14154e+06	4.95323e+06	3.58816e+06	3.65007e+06	3.70281e+06	2.68003e+06	4.38331e+06	4.25337e+06	4.38143e+06	4.00449e+06	3.86716e+06	2.55945e+06	4.41645e+06	3.7715e+06
A0A804HLA8	A0A804HLA8		GNG5B		1.8424e+06	1.66135e+06	1.7814e+06	1.58934e+06	1.21812e+06	1.19197e+06	1.55066e+06	1.87512e+06	1.56728e+06	1.63575e+06	1.28724e+06	1.47118e+06	1.5039e+06	1.58148e+06	1.51622e+06	1.70173e+06	1.46822e+06	1.80284e+06
A0ACI8SQ87	A0ACI8SQ87		ERVK3-1		2.81492e+06	195802	2.36357e+06		3.20966e+06		3.62606e+06	2.66104e+06	2.79957e+06	1.5386e+06	2.80862e+06	3.3902e+06	2.06785e+06	2.42004e+06	1.16102e+06		1.27884e+06	3.22084e+06
A0AVT1	A0AVT1		UBA6		6.18212e+06	6.36516e+06	6.30007e+06	6.60556e+06	5.05059e+06	5.70026e+06	6.33224e+06	6.08531e+06	6.34513e+06	5.95045e+06	5.58157e+06	5.93013e+06	6.19377e+06	6.37378e+06	6.30324e+06	6.07957e+06	5.62919e+06	6.34994e+06
A0MZ66	A0MZ66		SHTN1		2.56541e+06	2.62576e+06	2.42761e+06	2.57137e+06	2.45434e+06	2.7759e+06	2.55213e+06	2.42897e+06	2.56141e+06	2.3392e+06	2.49779e+06	2.50943e+06	2.66366e+06	2.56146e+06	2.51609e+06	2.03646e+06	2.55448e+06	2.41556e+06
A2RRP1	A2RRP1		NBAS		1.3915e+06	1.50153e+06	1.61792e+06	1.63808e+06	1.23978e+06	1.27637e+06	1.45417e+06	1.46446e+06	1.51885e+06	1.39483e+06	1.30281e+06	1.45072e+06	1.51099e+06	1.53105e+06	1.68051e+06	1.59309e+06	1.24588e+06	1.29407e+06
A3KN83	A3KN83		SBNO1		2.66075e+06	3.04004e+06	3.0063e+06	3.02556e+06	2.86906e+06	3.16246e+06	2.97578e+06	2.6932e+06	3.04688e+06	2.70542e+06	3.02526e+06	2.97383e+06	3.11144e+06	2.9862e+06	2.90127e+06	2.79057e+06	3.1961e+06	2.79055e+06
A4D1E9	A4D1E9		GTPBP10		1.34771e+06	1.50339e+06	1.40545e+06	1.35383e+06	1.30526e+06	1.31219e+06	1.40793e+06	1.27181e+06	1.47342e+06	1.31082e+06	1.24411e+06	1.36495e+06	1.43612e+06	1.46447e+06	1.47259e+06	1.55411e+06	1.28523e+06	1.31425e+06
A5A3E0	A5A3E0		POTEF		7.98836e+07	1.5594e+08	7.6155e+07	1.50174e+08	8.69283e+07	1.81948e+08	7.61454e+07	7.51399e+07	7.94837e+07	7.8835e+07	9.51964e+07	7.53288e+07	8.9385e+07	9.23048e+07	7.03537e+07	7.36529e+07	8.52508e+07	6.25891e+07
A5D8V6	A5D8V6		VPS37C		1.85243e+06	1.85116e+06	1.74433e+06	1.90337e+06	1.58822e+06	1.90049e+06	1.59458e+06	1.653e+06	1.99114e+06	1.38748e+06	1.65993e+06	1.7002e+06	1.84973e+06	1.76581e+06	1.78759e+06	1.70629e+06	1.78847e+06	1.78711e+06
A5PLN9	A5PLN9		TRAPPC13		690928	771109	725910	564910	585770	637176	561721	657792	639906	439886	668220	534153	664257	716989	698181	558416	691659	498251
A5YKK6	A5YKK6		CNOT1		5.12733e+06	5.40055e+06	5.24914e+06	5.5247e+06	4.23858e+06	5.17194e+06	4.96002e+06	5.00566e+06	5.15563e+06	4.84666e+06	4.69758e+06	4.93754e+06	5.10446e+06	5.25912e+06	5.43004e+06	4.89192e+06	4.89686e+06	5.13834e+06
A5Z2X5	A5Z2X5		YPR010C-A		1.54387e+06	679726	1.67134e+06	756592	1.50163e+06	673205	1.31813e+06	1.33998e+06	730288	1.63322e+06	1.44312e+06	1.46812e+06	769905	650530	582665	616815	693903	1.34792e+06
A6NCE7	A6NCE7		MAP1LC3B2		9.44126e+06	1.11318e+07	9.53011e+06	1.00538e+07	6.5189e+06	8.57247e+06	9.36793e+06	9.25029e+06	9.47966e+06	1.14508e+07	7.7886e+06	8.33484e+06	8.82505e+06	8.97278e+06	9.35437e+06	1.24218e+07	8.34768e+06	8.65084e+06
A6NDG6	A6NDG6		PGP		1.35002e+07	1.44442e+07	1.38229e+07	1.37038e+07	1.29025e+07	1.51957e+07	1.37213e+07	1.34877e+07	1.37167e+07	1.36491e+07	1.34314e+07	1.3614e+07	1.39765e+07	1.38156e+07	1.38822e+07	1.45532e+07	1.40752e+07	1.30914e+07
A6NDU8	A6NDU8		RIMOC1		3.27232e+06	3.41514e+06	3.38635e+06	3.12698e+06	3.60611e+06	3.4252e+06	3.33401e+06	3.09378e+06	3.58189e+06	3.10284e+06	3.66268e+06	3.38253e+06	3.58774e+06	3.40095e+06	3.19603e+06	3.58171e+06	3.54937e+06	3.26671e+06
A6NGK3	A6NGK3		GAGE10		5.71888e+06	1.14437e+06	3.05522e+06		3.17456e+06		5.60722e+06	4.45245e+06	3.93134e+06	2.08051e+06	3.65335e+06	5.19076e+06	2.53161e+06	2.54076e+06	1.14616e+06	508617	1.17632e+06	4.50964e+06
A6NHL2	A6NHL2		TUBAL3		1.05481e+07	1.55317e+07	9.27253e+06	1.63786e+07	1.15186e+07	2.85749e+07	8.85384e+06	8.39828e+06	1.08525e+07	7.90154e+06	9.75693e+06	6.65327e+06	1.52406e+07	1.21008e+07	1.50905e+07	1.37983e+07	1.67692e+07	6.18415e+06
A6NHR9	A6NHR9		SMCHD1		1.4799e+07	1.47207e+07	1.48858e+07	1.49469e+07	1.26892e+07	1.38949e+07	1.4165e+07	1.45575e+07	1.4495e+07	1.30707e+07	1.37188e+07	1.42627e+07	1.47764e+07	1.46344e+07	1.48645e+07	1.29386e+07	1.44402e+07	1.43761e+07
A8CG34	A8CG34		POM121C		938761	903764	869932	952684	912647	1.06852e+06	864795	879106	913901	776593	918223	905252	888194	949619	917243	383816	987044	824664
A8MWD9	A8MWD9		SNRPGP15		3.17087e+07	2.15024e+07	3.31804e+07	2.87628e+07	3.96319e+07	4.42056e+07	4.04487e+07	3.02598e+07	4.56811e+07	3.61933e+07	4.55857e+07	3.96751e+07	4.26549e+07	3.04033e+07	2.78569e+07	3.46739e+07	5.09259e+07	3.3443e+07
C9JLW8	C9JLW8		MCRIP1		1.72334e+06	1.37212e+06	1.67401e+06	1.48089e+06	1.52246e+06	1.27757e+06	1.50276e+06	1.66665e+06	1.49869e+06	1.3042e+06	1.50938e+06	1.84844e+06	1.53146e+06	1.57996e+06	1.59269e+06	1.11227e+06	1.5155e+06	1.73137e+06
