Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML
P00350	P00350		gnd		3.56043e+07	3.59468e+07	3.60032e+07	3.68102e+07	3.56716e+07	3.61324e+07
P00363	P00363		frdA		4.63683e+07	4.50631e+07	4.64547e+07	4.57159e+07	4.69397e+07	4.54538e+07
P00370	P00370		gdhA		2.16651e+06	2.16591e+06	2.14751e+06	2.18574e+06	2.25426e+06	2.30458e+06
P00393	P00393		ndh		5.36496e+06	5.91847e+06	5.53364e+06	5.60842e+06	5.32906e+06	5.87387e+06
P00448	P00448		sodA		3.7506e+06	3.91951e+06	3.76862e+06	4.09766e+06	3.71209e+06	3.96947e+06
P00452	P00452		nrdA		9.7303e+06	9.7856e+06	9.72437e+06	9.81839e+06	9.82972e+06	9.82408e+06
P00490	P00490		malP		7.69524e+06	7.36998e+06	7.62786e+06	7.32218e+06	7.41268e+06	7.22963e+06
P00509	P00509		aspC		1.79186e+07	1.8365e+07	1.80966e+07	1.86841e+07	1.80541e+07	1.81486e+07
P00547	P00547		thrB		909981	859248	970094	968491	926512	931311
P00550	P00550		mtlA		1.60297e+06	1.5016e+06	1.65966e+06	1.5141e+06	1.59038e+06	1.40756e+06
P00561	P00561		thrA		2.97872e+06	3.06758e+06	3.05191e+06	3.19471e+06	3.07604e+06	3.21673e+06
P00562	P00562		metL		2.78617e+06	2.76058e+06	2.71959e+06	2.71691e+06	2.79213e+06	2.79705e+06
P00579	P00579		rpoD		8.43901e+06	7.84458e+06	8.45628e+06	7.66779e+06	8.35632e+06	7.93954e+06
P00582	P00582		polA		5.21079e+06	5.13935e+06	5.06181e+06	5.12954e+06	5.063e+06	5.06741e+06
P00803	P00803		lepB		4.61244e+06	4.42898e+06	4.64352e+06	4.75512e+06	4.45558e+06	4.44115e+06
P00805	P00805		ansB		2.0234e+07	2.06194e+07	2.01266e+07	2.01398e+07	1.97109e+07	2.01973e+07
P00811	P00811		ampC		986657	958359	855984	914484	956775	921300
P00861	P00861		lysA		633371	545045	510732	678215	550962	539824
P00864	P00864		ppc		1.11755e+07	1.11797e+07	1.10979e+07	1.10825e+07	1.12138e+07	1.10788e+07
P00887	P00887		aroH		2.91378e+06	2.8648e+06	2.9658e+06	3.04382e+06	2.63035e+06	2.92049e+06
P00888	P00888		aroF		2.22306e+06	2.20639e+06	2.10375e+06	2.27224e+06	2.15911e+06	2.11599e+06
P00892	P00892		ilvG		1.18329e+06	1.2885e+06	1.30114e+06	1.13039e+06	1.38272e+06	1.25481e+06
P00894	P00894		ilvH		813217	816943	775596	737730	776823	837433
P00914	P00914		phrB		596737	655983	579543	621163	610267	597446
P00926	P00926		dsdA		1.39576e+06	1.37893e+06	1.41695e+06	1.31096e+06	1.31057e+06	1.27796e+06
P00934	P00934		thrC		4.56278e+06	4.47594e+06	4.38093e+06	4.32066e+06	4.41786e+06	4.40533e+06
P00935	P00935		metB		2.32256e+06	2.25102e+06	2.16301e+06	2.20788e+06	2.30869e+06	2.07213e+06
P00946	P00946		manA		1.10686e+07	1.11734e+07	1.11193e+07	1.1013e+07	1.10697e+07	1.12551e+07
P00954	P00954		trpS		1.33186e+07	1.34472e+07	1.30504e+07	1.36908e+07	1.2992e+07	1.32932e+07
