Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)				2.78475e+06	2.69787e+06	806256	738569	703881	2.41289e+06
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)				4.39937e+06	4.52394e+06	1.55498e+06	1.62513e+06	1.49288e+06	3.95914e+06
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)				4.2305e+06	4.24764e+06	1.90363e+06	1.81386e+06	1.70807e+06	3.84919e+06
P00350	P00350		gnd		3.68258e+07	3.6862e+07	3.65732e+07	3.62704e+07	3.59638e+07	3.55022e+07
P00363	P00363		frdA		4.84329e+07	4.81776e+07	4.86453e+07	4.89271e+07	4.80513e+07	4.61516e+07
P00370	P00370		gdhA		2.33976e+06	2.34675e+06	2.28068e+06	2.35706e+06	2.31503e+06	2.38304e+06
P00393	P00393		ndh		6.0914e+06	6.02789e+06	5.8955e+06	5.80709e+06	5.93676e+06	5.77132e+06
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)				2.59412e+06	2.77164e+06	1.37123e+06	1.53646e+06	1.33569e+06	2.31829e+06
P00448	P00448		sodA		2.419e+06	2.55846e+06	2.46161e+06	2.33533e+06	2.2885e+06	2.57728e+06
P00452	P00452		nrdA		9.80148e+06	9.79308e+06	9.84802e+06	9.75762e+06	9.81868e+06	9.54805e+06
