Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)				1.43635e+06	2.68886e+06	2.65252e+06	1.40446e+06	1.38051e+06	2.46724e+06
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)				2.89167e+06	4.85444e+06	4.78452e+06	2.76518e+06	2.40952e+06	4.60776e+06
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)				2.73601e+06	4.46044e+06	4.45581e+06	2.81361e+06	2.69896e+06	4.25403e+06
P00350	P00350		gnd		3.83323e+07	3.87247e+07	3.85651e+07	3.85794e+07	3.8431e+07	3.71182e+07
P00363	P00363		frdA		5.07922e+07	5.12776e+07	5.07644e+07	5.02926e+07	5.02738e+07	4.83606e+07
P00370	P00370		gdhA		2.02717e+06	2.0849e+06	2.02248e+06	2.06896e+06	1.96082e+06	2.09688e+06
P00393	P00393		ndh		5.33737e+06	5.51196e+06	5.4447e+06	5.37495e+06	5.38478e+06	5.16255e+06
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)				1.58239e+06	2.19907e+06	2.2925e+06	1.48655e+06	1.48515e+06	2.02237e+06
P00448	P00448		sodA		3.58727e+06	3.6997e+06	3.75862e+06	3.60719e+06	3.54476e+06	3.9465e+06
P00452	P00452		nrdA		9.83228e+06	9.82746e+06	9.91085e+06	9.92866e+06	9.76661e+06	9.75826e+06
P00490	P00490		malP		5.87202e+06	5.85236e+06	5.90964e+06	5.95294e+06	5.7148e+06	5.35904e+06
P00509	P00509		aspC		1.98631e+07	1.96342e+07	1.98187e+07	1.93945e+07	1.93055e+07	1.91453e+07
P00547	P00547		thrB		863118	1.05631e+06	1.07834e+06	776157	909671	809501
