Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)					375495	464173		525101	
P00350	P00350		gnd		9.05719e+07	9.04039e+07	9.06079e+07	9.23149e+07	9.1209e+07	9.05949e+07
P00363	P00363		frdA		3.04949e+07	3.14555e+07	3.12913e+07	3.11421e+07	3.16278e+07	3.05477e+07
P00370	P00370		gdhA		1.73262e+06	1.82428e+06	1.8225e+06	1.86501e+06	1.8288e+06	1.91422e+06
P00393	P00393		ndh		5.87461e+06	5.56872e+06	5.61977e+06	5.79346e+06	5.50503e+06	5.87953e+06
P00448	P00448		sodA		3.31682e+06	3.37883e+06	3.36681e+06	3.49131e+06	3.5593e+06	3.51898e+06
P00452	P00452		nrdA		9.71219e+06	9.67782e+06	9.55386e+06	9.86309e+06	9.56655e+06	9.81986e+06
P00490	P00490		malP		5.69671e+06	5.57811e+06	5.67022e+06	5.55891e+06	5.52704e+06	5.58547e+06
P00509	P00509		aspC		1.7894e+07	1.7969e+07	1.76809e+07	1.78088e+07	1.78318e+07	1.74574e+07
P00547	P00547		thrB		720221	933829	930548	854997	923069	812616
P00550	P00550		mtlA		1.44597e+06	1.59816e+06	1.50712e+06	1.48497e+06	1.54667e+06	1.44452e+06
P00561	P00561		thrA		3.00349e+06	2.89394e+06	2.90517e+06	3.03893e+06	2.94979e+06	2.93896e+06
