Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)					497998	652514		344346	574965
P00350	P00350		gnd		3.82028e+07	3.76533e+07	3.7559e+07	3.83654e+07	3.72542e+07	3.79778e+07
P00363	P00363		frdA		3.17146e+07	3.21658e+07	3.20371e+07	3.21412e+07	3.1901e+07	3.25258e+07
P00370	P00370		gdhA		2.2187e+06	2.27211e+06	2.25749e+06	2.20341e+06	2.25789e+06	2.32996e+06
P00393	P00393		ndh		5.59946e+06	5.63545e+06	5.7375e+06	5.71421e+06	5.53327e+06	5.71869e+06
P00448	P00448		sodA		3.94282e+06	4.12428e+06	4.09313e+06	4.05487e+06	3.95247e+06	4.26352e+06
P00452	P00452		nrdA		1.00195e+07	9.93525e+06	9.90904e+06	1.00626e+07	1.00667e+07	9.80666e+06
P00490	P00490		malP		5.95547e+06	5.69366e+06	5.71272e+06	5.78786e+06	5.81272e+06	5.78676e+06
P00509	P00509		aspC		1.84784e+07	1.9294e+07	1.8921e+07	1.85196e+07	1.85081e+07	1.93193e+07
P00547	P00547		thrB		886232	1.02741e+06	932904	868040	899806	966603
P00550	P00550		mtlA		1.58733e+06	1.58408e+06	1.54097e+06	1.61777e+06	1.66774e+06	1.53649e+06
P00561	P00561		thrA		2.30606e+06	2.28656e+06	2.23477e+06	2.19146e+06	2.24634e+06	2.24858e+06
P00562	P00562		metL		2.63492e+06	2.68752e+06	2.63873e+06	2.61242e+06	2.67997e+06	2.48474e+06
P00579	P00579		rpoD		8.4048e+06	8.51407e+06	8.66982e+06	8.23866e+06	8.37226e+06	9.04545e+06
P00582	P00582		polA		3.6145e+06	3.56161e+06	3.63901e+06	3.52278e+06	3.53542e+06	3.47482e+06
P00803	P00803		lepB		4.80787e+06	5.063e+06	4.79051e+06	4.94155e+06	4.65964e+06	4.79957e+06
P00805	P00805		ansB		2.26018e+07	2.19087e+07	2.2534e+07	2.23928e+07	2.19879e+07	2.2278e+07
P00811	P00811		ampC		1.24109e+06	1.20795e+06	1.09758e+06	1.08564e+06	1.10637e+06	1.2359e+06
P00861	P00861		lysA		240441	487087	344804	376554	357621	444212
P00864	P00864		ppc		3.34395e+07	3.42368e+07	3.39783e+07	3.29077e+07	3.38149e+07	3.45772e+07
P00887	P00887		aroH		2.97247e+06	3.06597e+06	2.94926e+06	2.94529e+06	2.93824e+06	2.81628e+06
P00888	P00888		aroF		2.1502e+06	2.02878e+06	2.09391e+06	2.08049e+06	2.0246e+06	2.05596e+06
P00892	P00892		ilvG		1.22139e+06	1.26586e+06	1.17116e+06	1.36686e+06	1.38793e+06	1.13014e+06
P00894	P00894		ilvH		838153	790041	841808	784453	834117	877412
P00914	P00914		phrB		760923	791147	777888	724706	714845	743380
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)					951652	928139	706760	542384	1.05185e+06
P00926	P00926		dsdA		1.40376e+06	1.39915e+06	1.34999e+06	1.4835e+06	1.39775e+06	1.34296e+06
P00934	P00934		thrC		4.68668e+06	4.4699e+06	4.5251e+06	4.56936e+06	4.38758e+06	4.59776e+06
P00935	P00935		metB		2.56614e+06	2.34233e+06	2.37751e+06	2.24306e+06	2.64364e+06	2.34915e+06
P00946	P00946		manA		1.15382e+07	1.15963e+07	1.15087e+07	1.14507e+07	1.14691e+07	1.1777e+07
P00954	P00954		trpS		1.41736e+07	1.52306e+07	1.53562e+07	1.37474e+07	1.38094e+07	1.5181e+07
P00956	P00956		ileS		2.47133e+07	2.63868e+07	2.60226e+07	2.51593e+07	2.55803e+07	2.65625e+07
P00957	P00957		alaS		1.49037e+07	1.52909e+07	1.52385e+07	1.48497e+07	1.48324e+07	1.50726e+07
P00959	P00959		metG		1.88834e+07	1.96734e+07	1.96753e+07	1.9054e+07	1.86589e+07	1.94623e+07
P00960	P00960		glyQ		4.77862e+06	4.97566e+06	4.80988e+06	4.94027e+06	4.70558e+06	4.91191e+06
P00961	P00961		glyS		1.31624e+07	1.34915e+07	1.33637e+07	1.32748e+07	1.31309e+07	1.34338e+07
P00962	P00962		glnS		1.01744e+07	1.04297e+07	1.03084e+07	1.0112e+07	1.04181e+07	1.03806e+07
P00963	P00963		asnA		1.73518e+07	1.84721e+07	1.84487e+07	1.73912e+07	1.60707e+07	1.91927e+07
P00968	P00968		carB		4.40261e+06	4.44518e+06	4.41057e+06	4.48816e+06	4.40896e+06	4.37535e+06
P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)	P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)				344718	600222	549710	305488	330280	562081
