Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML
A5A625	A5A625		yibV		822534		739881		822470	
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)				774024	642647	1.11115e+06	826414	967787	778450
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)				884871	981656	1.83922e+06	2.05388e+06	1.97949e+06	984227
P00350	P00350		gnd		3.66794e+07	3.67175e+07	3.73602e+07	3.70324e+07	3.68359e+07	3.70203e+07
P00363	P00363		frdA		2.77826e+07	2.76518e+07	2.78546e+07	2.85097e+07	2.79593e+07	2.80342e+07
P00370	P00370		gdhA		1.88781e+06	1.90502e+06	1.81223e+06	1.87055e+06	1.84776e+06	1.92297e+06
P00393	P00393		ndh		1.50512e+07	1.51936e+07	1.49462e+07	1.49271e+07	1.51441e+07	1.50425e+07
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)				1.18048e+06	1.38256e+06	1.48439e+06	1.62213e+06	1.56006e+06	1.40486e+06
P00448	P00448		sodA		2.35193e+06	2.33482e+06	2.37415e+06	2.19293e+06	2.27186e+06	2.38763e+06
P00452	P00452		nrdA		7.40582e+06	7.41419e+06	7.54751e+06	7.42873e+06	7.51405e+06	7.4127e+06
P00490	P00490		malP		5.80864e+06	5.66011e+06	5.84641e+06	5.75946e+06	5.75475e+06	5.6001e+06
P00509	P00509		aspC		1.842e+07	1.83572e+07	1.83914e+07	1.84618e+07	1.84273e+07	1.83535e+07
P00547	P00547		thrB		1.03187e+06	965938	959086	1.05872e+06	989853	982510
P00550	P00550		mtlA		1.57858e+06	1.50705e+06	1.56047e+06	1.49221e+06	1.56255e+06	1.59603e+06
P00561	P00561		thrA		3.25824e+06	3.15442e+06	3.29136e+06	3.31726e+06	3.36983e+06	3.26309e+06
P00562	P00562		metL		2.84759e+06	2.92808e+06	2.89526e+06	2.95752e+06	2.84406e+06	2.84973e+06
P00579	P00579		rpoD		7.38914e+06	7.58683e+06	7.43759e+06	7.39288e+06	7.35349e+06	7.68721e+06
P00582	P00582		polA		3.41784e+06	3.48982e+06	3.39729e+06	3.46315e+06	3.49263e+06	3.47408e+06
P00803	P00803		lepB		5.29493e+06	5.2178e+06	5.57024e+06	4.91464e+06	5.04814e+06	5.22108e+06
P00805	P00805		ansB		1.4046e+07	1.4092e+07	1.41491e+07	1.4201e+07	1.41795e+07	1.41767e+07
P00811	P00811		ampC		1.30733e+06	1.20731e+06	1.14203e+06	1.19978e+06	1.25694e+06	1.29137e+06
P00861	P00861		lysA		841252	782978	756996	891820	704300	931385
P00864	P00864		ppc		1.10401e+07	1.10368e+07	1.09774e+07	1.11188e+07	1.11003e+07	1.12608e+07
P00887	P00887		aroH		1.55764e+06	1.5633e+06	1.50559e+06	1.55248e+06	1.51423e+06	1.49573e+06
P00888	P00888		aroF		2.09136e+06	2.22387e+06	2.13648e+06	2.18898e+06	2.19327e+06	2.18667e+06
P00892	P00892		ilvG		1.3871e+06	1.2011e+06	1.20543e+06	1.25239e+06	1.30636e+06	1.25499e+06
P00894	P00894		ilvH		778910	848522	746364	867395	779894	856812
P00914	P00914		phrB		727647	674304	619352	632479	652909	663317
P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)	P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)				1.07327e+06	930090	1.32716e+06	1.19888e+06	1.21985e+06	924719
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)				683669	721842	1.80795e+06	1.79741e+06	1.7505e+06	699491
P00926	P00926		dsdA		1.43623e+06	1.41209e+06	1.3946e+06	1.461e+06	1.40648e+06	1.36193e+06
P00934	P00934		thrC		4.44895e+06	4.48107e+06	4.5033e+06	4.34623e+06	4.54687e+06	4.43221e+06
P00935	P00935		metB		2.53437e+06	2.47576e+06	2.69999e+06	2.4492e+06	2.4856e+06	2.24683e+06
P00946	P00946		manA		1.11307e+07	1.09176e+07	1.15041e+07	1.13949e+07	1.12846e+07	1.13424e+07
P00954	P00954		trpS		1.43224e+07	1.43461e+07	1.35564e+07	1.3268e+07	1.34757e+07	1.3996e+07
P00956	P00956		ileS		2.49285e+07	2.46563e+07	2.45302e+07	2.49598e+07	2.43418e+07	2.54075e+07
P00957	P00957		alaS		1.46311e+07	1.46019e+07	1.42457e+07	1.42478e+07	1.43501e+07	1.47245e+07
P00959	P00959		metG		1.87202e+07	1.88577e+07	1.82688e+07	1.82304e+07	1.87112e+07	1.85293e+07
P00960	P00960		glyQ		4.92125e+06	4.72127e+06	4.78046e+06	4.79431e+06	4.80464e+06	4.82368e+06
P00961	P00961		glyS		1.14708e+07	1.12366e+07	1.13537e+07	1.13541e+07	1.12307e+07	1.14577e+07
P00962	P00962		glnS		1.0647e+07	1.0346e+07	1.05872e+07	1.05049e+07	1.06537e+07	1.04816e+07
