Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)				2.75702e+06	4.28621e+06	3.4215e+06	4.331e+06	2.78374e+06	4.06827e+06
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)					1.47565e+07	7.6628e+06	1.44499e+07		1.59765e+07
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)					1.75436e+07		1.76086e+07		1.7695e+07
P00350	P00350		gnd		3.74775e+07	3.78906e+07	3.83539e+07	3.7793e+07	3.69849e+07	3.78629e+07
P00363	P00363		frdA		4.23716e+07	4.05335e+07	4.18423e+07	4.0821e+07	4.28911e+07	4.05192e+07
P00370	P00370		gdhA		2.21003e+06	2.16745e+06	2.20057e+06	2.14582e+06	2.22701e+06	2.11447e+06
P00393	P00393		ndh		5.28035e+06	5.42271e+06	5.37786e+06	5.65928e+06	5.1326e+06	5.66332e+06
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)					6.86046e+06		6.80673e+06		6.58162e+06
P00448	P00448		sodA		3.81661e+06	3.98946e+06	4.03305e+06	4.08696e+06	3.63816e+06	3.85289e+06
P00452	P00452		nrdA		9.91194e+06	9.87172e+06	1.00879e+07	9.89474e+06	1.00938e+07	1.00161e+07
P00490	P00490		malP		5.81828e+06	5.56261e+06	5.76596e+06	5.43504e+06	5.73596e+06	5.39472e+06
P00509	P00509		aspC		1.87169e+07	1.86115e+07	1.85879e+07	1.85692e+07	1.87176e+07	1.87818e+07
P00547	P00547		thrB		914062	774846	983545	767797	860950	844481
P00550	P00550		mtlA		1.30257e+06	1.20422e+06	1.38677e+06	1.25584e+06	1.43465e+06	1.23418e+06
P00561	P00561		thrA		2.43835e+06	2.48205e+06	2.37692e+06	2.56777e+06	2.54193e+06	2.33783e+06
P00562	P00562		metL		2.52386e+06	2.60164e+06	2.43203e+06	2.63391e+06	2.56979e+06	2.56197e+06
P00579	P00579		rpoD		8.43498e+06	8.50107e+06	8.38482e+06	8.30047e+06	8.55977e+06	8.38795e+06
P00582	P00582		polA		4.08949e+06	3.7959e+06	3.99777e+06	3.93541e+06	3.88311e+06	3.80871e+06
P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)	P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)				5.46556e+06	6.507e+06	2.96826e+06	6.54473e+06	3.74292e+06	6.50514e+06
P00803	P00803		lepB		4.6154e+06	4.6381e+06	4.71363e+06	4.64803e+06	4.56e+06	4.6567e+06
P00805	P00805		ansB		1.9287e+07	1.84807e+07	1.89649e+07	1.8874e+07	1.85369e+07	1.84486e+07
P00811	P00811		ampC		1.53561e+06	1.63748e+06	1.32595e+06	1.53164e+06	1.42723e+06	1.53296e+06
P00861	P00861		lysA		379038	644513	455277	608276	476537	621972
P00864	P00864		ppc		1.06072e+07	1.0523e+07	1.04808e+07	1.0348e+07	1.04512e+07	1.05265e+07
P00887	P00887		aroH		2.55485e+06	2.80688e+06	2.65475e+06	2.78243e+06	2.50852e+06	3.16706e+06
P00888	P00888		aroF		2.09587e+06	2.06906e+06	1.99476e+06	2.06858e+06	2.05262e+06	2.10198e+06
P00892	P00892		ilvG		610973	407234	747476	357728	631803	363956
P00894	P00894		ilvH		848617	804915	802006	819244	848735	893065
P00914	P00914		phrB		613272	717984	620003	750259	693315	594710
P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)	P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)				3.7789e+06	8.32324e+06	7.43579e+06	8.16249e+06		8.33837e+06
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)				1.10187e+07	1.43005e+07	1.08349e+07	1.43696e+07		1.45803e+07
P00926	P00926		dsdA		1.23044e+06	1.22048e+06	1.27716e+06	1.28822e+06	1.17802e+06	1.35314e+06
