Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML
A5A625	A5A625		yibV		697264	449641		790662	576656	600290
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)				860986	1.12311e+07	708202	821600	1.13152e+07	1.08032e+07
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)				1.46534e+06	1.9413e+07	1.52239e+06	1.67974e+06	1.87185e+07	1.93957e+07
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)				1.29503e+06	1.43938e+07	1.026e+06	1.12922e+06	1.41256e+07	1.41557e+07
P00350	P00350		gnd		3.61189e+07	3.63785e+07	3.67483e+07	3.62932e+07	3.61807e+07	3.61935e+07
P00363	P00363		frdA		4.70184e+07	4.4384e+07	4.78267e+07	4.67572e+07	4.44519e+07	4.46489e+07
P00370	P00370		gdhA		1.89524e+06	1.91302e+06	1.85646e+06	1.86316e+06	1.93409e+06	1.89859e+06
P00393	P00393		ndh		8.30646e+06	8.70732e+06	8.22864e+06	8.44327e+06	8.86033e+06	8.64553e+06
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)				841257	8.83917e+06	806819	832883	8.86156e+06	8.6442e+06
P00448	P00448		sodA		3.44342e+06	3.45371e+06	3.08521e+06	3.23089e+06	3.45045e+06	3.2707e+06
